sagenid;werkid;sagenidautor;sagenidimwerk;titel;sagenkategorie;sagengruppe;ortschaft;longitude;latitude;volltext;buchtitel
692;5;1;1;Schlettstadt's Ursprung;;;Schlettstadt;7.46224896454;48.2481136279;"Die Sage führt den Ursprung von Schlettstadt auf die Zeit  der Riesen zurück. Einer der mächtigsten unter ihnen, Schletto,  grub mit eigenen Händen das Leberthal; er riß Bäume und Felsen  aus den Bergen und schleuderte sie in die Ebene. Damit baute er  ein ungeheures Schloß auf der Stelle, wo sich jetzt Schlettstadt  erhebt.  ";Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
693;5;2;2;Die Kirche und das Kloster St. Fides;;;Schlettstadt;7.46224896454;48.2481136279;"von Gläubigen aus den nahen, so wie aus den entferntesten Ge-  genden angezogen ; so daß man glauben konnte, ihre Einkünfte  wären auch für längere Zeiten zum Unterhalt der Mönche hinrei-  chend; allein nach und nach nahm der Eifer der Pilgrime ab, und  das Kloster war genöthigt sich seinen Bedarf zu erbetteln.  ,,Da nun die beiden Brüder (Benediktiner, Bertram und  Stephan, welche das Kloster besorgten) während zwei Jahren  Hunger und Durst und oft strenge Kälte gelitten hatten, so gedach-  ten sie den Ort zu verlassen und in ihre Heimath zurückzu-  kehren ; als die heilige Fides sie plöglich mit ihrem Trost erquickte,  sie einer unerträglichen Armuth auf wunderbare Weise entriß und  mit unerwarteter Freude übergoß.  ""Walter von Tubelsheim, ein kühner, kriegserfahrener  Ritter, erfüllte hier zu dieser Zeit ein Gelübde. Im härenen Buß-  gewande, baarfuß, verbrachte er seine Nächte, vor der Kirche lie-  gend, im Gebete, bis die Mönche ihren Morgengottesdienst geen-  digt hatten.  Eines <a href=""https://mosel-sagen.de/einzelansicht-sagen/?markerid=693"">[...]</a>";Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
694;5;3;3;Der Schimmelreiter bei Schlettstadt;;;Schlettstadt;7.46224896454;48.2481136279;In der Umgegend von Schlettstadt sieht man oft bei Nacht  einen Schimmelreiter, der seinen Kopf (auf einem Teller) unter dem  Arme trägt. Er hat Offizierskleider an und reitet hin und her auf  einem Felde, wo in alten Zeiten eine Schlacht vorgefallen sein soll,  indem er mit ungeheuer lauter Stimme beständig kommandiert.  Man sagt, der Schimmelreiter habe während jener Schlacht ein  großes Unrecht verübt und müsse deshalb noch immer hier umgehen.  ;Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
697;5;6;6;Die heilige Odilia in Scherrweiler;;;Scherweiler;7.41512520333;48.2952491317;"Nachdem der grausame Attich sein Töchterlein Odilia verstoßen  hatte, lebte dieselbe während einem Jahre in Scherrweiler bei  einer Amme und wurde von da erst nach dem Kloster Palma ge=  bracht. In Scherrweiler is nt och eine ihr geweihte Kapelle.  Eine andere Sage meldet, Odilia sei in einer Kiste ins Wasser  ausgesezt worden ; als dieselbe aber gegen die jeßige Odilienmühle  zu schwimmen kam, standen die Räder still. Der Müller kam heraus,  fand das Mägdlein in der Kiste und erzog es.  Während die hl. Odilia als Kind bei dem Müller zu Scherr-  weiler lebte, kam sie einmal zu einem Zimmermann, der machte ein  gar grämlich Gesicht, denn er hatte einen Balken um einen Schuh  zu kurz geschnitten und sich dadurch in Schaden gebracht. Das hei-  lige Kind hatte Mitleiden mit ihm und sagte zu dem armen Manne:  „Zieh du an dem einen Ende, ich will an dem andern ziehen. “  Der Zimmermann, der das wunderbare Kind wohl kannte, that,  wie es ihm sagte, und siehe, der Balken zog sich in die gewüns<a href=""https://mosel-sagen.de/einzelansicht-sagen/?markerid=697"">[...]</a>";Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
700;5;9;9;Die treue Gattin;;;Ebersmünster;7.53361664193;48.3033027968;"In kurzer Entfernung von der alten Abtei Ebersmünster  an der Römerstraße finden sich Spuren einer alten Befestigung, die  „Heidenschloß“ genannt wird. Man erzählt, daß der Besizer des  festen Schlosses bösen Argwohn gegen seine Gattin gefaßt hatte.  Um sie zu prüfen, gab er eines Tages eine Reise vor ; verbarg sich  aber nur in der Nähe, und, um sie zu überraschen, stieg er Nachts,  verkleidet, mittelst einer Leiter vor das Fenster ihres Schlafgemachs.  Die treue Gattin erwachte plößlich bei dem Geräusche und da sie  der vermummten Gestalt an ihrem Fenster ansichtig wurde, faßte sie  ein Schwert und brachte derselben einen tödtlichen Streich bei.  Kaum war sie ihres Irrthums gewahr worden, so gerieth sie  in Verzweiflung, welche ihrem Leben bald ein Ende machte.  Jezt noch, erzählt das Volk, fahre das unglückliche Paar in  stillen Nächten in einer krystallenen Kutsche längs des Römerweges  hin und ein Rudel höllischer Hunde jage ihnen bellend nach.  - 11 --  ";Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
701;5;10;10;Der Sturm auf dem Rheine;;;Markolsheim;7.56101805973;48.1496222393;"Eine Frau von Markolsheim fuhr vor einigen Jahren  mit andern Weibern und Mädchen ihres Dorfes am Himmel-  fahrtstage über den Rhein. Als sie mitten im Flusse waren,  erhob sich plöglich ein furchtbares Gewitter ; der Nachen schwankte  auf und nieder und alle begannen zu zagen. Da fragte der  Ferge : „Hat eins von Euch ein Kleidungsstück, an welchem es  heute etwas gearbeitet hat?"" Alle schwiegen; jedoch ein Mädchen,  welches sich zu verbergen suchte, wurde von den andern verrathen,  und gestand, daß es etwas an seinem Vorstecker genäht habe. „ Nur  fohlen, und alsogleich legte sich der Sturm.  ";Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
703;5;12;12;Das versunkene Kloster zu Rheinau;;;Rheinau;7.70444455631;48.3122226913;"Auf einer zwei Stunden unterhalb Straßburg gelegenen, zuvor  öden Rheininsel, Honau genannt, hatten sich zu Anfange des 8ten  Jahrhunderts schottische oder irländische Mönche niedergelassen und  hier unter Anleitung des Abtes Benedikt ein Ke irche erbaut, welcher  sie den Namen St. Michael gaben. Sie beschäftigten sich an-  fänglich theils mit Handarbeiten, theils mit Bekehrung der Heiden.  Eine von Schilter, im Anhang zu Königshoven mitgetheilte  Urkunde führt jedoch die Stiftung auf Chlodwig, im Anfang des  sechsten Jahrhunderts zurück. Es heißt daselbst : „Zum ersten ist  zu wissen das zu den ziten do Clodoveus der erste Cristen Künig  von Frankrich regieret, das ist do man zalte von Christi geburt  Und di wile dasselbe lant noch nit Cristen was, do warent aber vil  guter und göttlicher lite darinne, die zugent mit Clodoveo und  finem volck in dis lait uff das sie mechtent Cristen glouben be-  halten, Also unter andern do kommt derselben etwie vil in die insel  Honouwe und woltent d<a href=""https://mosel-sagen.de/einzelansicht-sagen/?markerid=703"">[...]</a>";Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
706;5;15;15;Das Queermännel;;;Sermersheim;7.55277785563;48.3443357629;Zwischen Sermersheim und Hüttenheim auf der Land-  straße von Straßburg nach Lyon ist eine Stelle, welche man das  Queer nennt. Es ging da unter diesem Namen ein Arm der Jll  hinüber gegen Kerzfeld, wo er in die Scheer mündete und bei großem  Wasser dieser Gemeinde sehr gefährlich wurde. Wenn man Nachts  nach zehn Uhr über diese Stelle fährt, so kommt ein kleines dickes  Männchen, das Quermännchen genannt, läuft neben dem Wagen  her, womöglich zwischen den Rädern und giebt sich alle Mühe den-  selben sammt den Pferden in den Graben zu werfen. Führt man  aber mit der Peitsche einen Kreuzstreich in die Luft, so verschwindet  es augenblicklich und sein Treiben hat ein Ende.  ;Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
707;5;16;16;Der Stubenhanzel von Benfeld;;;Benfeld;7.60197338557;48.3659229092;"Auf dem Thurme des Gemeindehauses von Benfeld sieht  man auswendig drei Figuren, welche das Zifferblatt einer Uhr um-  geben : ein geharnischter Ritter, vom Volke gewöhnlich als Kaiser  bezeichnet, gegenüber der Tod mit Sanduhr und Sense, und oben  drauf ein Amtsbote in altmodischer Tracht ; letterer ist der soge-  nannte Stubenhanzel; er trägt in der rechten Hand einen Stab und  in der linken einen vollen Geldbeutel.  Der Kaiser schlägt die Viertel auf ein auswendig befestigtes  Glöckchen, und wenn es auf der inneren Glocke anschlägt, so giebt  der Stubenhanzel bei jedem Schlage ein Zeichen mit seinem Stabe  und sperrt das Maul auf ; dann dreht der Tod seine Sanduhr um.  Der Volkssage nach war vor sehr alten Zeiten, vor drei oder  vier hundert Jahren, sagen die Aeltesten des Ortes in Benfeld  ein Amtsbote unter dem Namen „ Stubenhanzel"" bekannt, welcher  gegen Zahlung die Stadt verrathen hat, so daß der Feind dieselbe  hat bestürmen und einnehmen können, während der Rath ruhig auf  de<a href=""https://mosel-sagen.de/einzelansicht-sagen/?markerid=707"">[...]</a>";Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
713;5;22;22;Die Gräfin von Geroldseck und Schwanau;;;Gerstheim;7.70453174528;48.3807788366;"genannt Herr Walter, einen trefflichen langwirigen Kriege mit  den Reichsstetten gehabt. Anno 1333 seind die von Straßburg an  dem grünen Donnerstag vor Ostern vor Schwanaw gelegen, aber  wider abgezoge .n Aber hernach, auff S. Mary tag, seind sie mit  Hilf der Statt Bern, Lucern, Basel, auch Fryburg (im) Vchtlan ,d  vnd Herren Rulman Schwarbern, dem Haubtmann, lang darvor  gelegen, vnd nit gewinnen mögen. Hat der Herr von Gerolgeck  vnnd andere so inn dem Schloß gewesen, vermeindt die Stett  wüsten, daß sie in dem Schloß mit Proviandt und anderer Notturft  so wol versehen weren, darumb wurden (würden) sie abziehen. Auff  solches haben sie mit den Stetten sprach gehalten, vnd unter andern  angezeigt, damit die Stett befänden, daß sie im Schloß kein sorg  oder mangel hetten, so wolten sie verwilligen v, nd etliche vergleitten  das Schloß inwendig jrens gefallens zu besichtigen . Solches die  Stett mit großem begeren vnnd gefallen annamen, verhoffend, daß  auch beschahe, jren vortheil da<a href=""https://mosel-sagen.de/einzelansicht-sagen/?markerid=713"">[...]</a>";Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
