tale_id;book_id;tale_id_author;tale_id_book;title;division_1;division 2;location;longitude;latitude;full_text;booktitle
2367;8;1;1;Nr. 1. Die Wichtelcher zu Vichten.;Kapitel I. Wichte, Elbe, Kobolde, Hausgeister.;NoGroup;Vichten;5.997112;49.803635;Nr. 1. Die Wichtelcher zu Vichten. In Vichten besagen die Römer ein ausgedehntes Eisenwerk, n welchem sie das an Ort und Stelle gefundene vorzügliche Erz verarbeiteten. Aus einem unterirdischen Gang, sowie aus andern Ueberbleibsel römischer Gebäulichkeiten, gründet sichdie Sage, daß hier die Wichtelcher, unter ihrem Könige Zelmckn',. d. h. der Allmächtige, ihren Hauptsitz ausgeschlagen hatten. Dieselben waren so reich, daß sie selbst ihre Mäuse mit Gold füttern konnten.') 0 Basse-Moüturie, 363. — 91.(Steffen, 131. — Pulilicaiions,IX, 79. — mein, 83.;Luxemburger Sagen und Legenden
2368;8;2;2;Nr. 2. Die Wichtelcher zu Scheuerbusch.;Kapitel I. Wichte, Elbe, Kobolde, Hausgeister.;NoGroup;Vichten;5.997112;49.803635;"Nr. 2. Die Wichtelcher zu Scheuerbusch. Der Berg „Scheuerbüsch"", erzähltdie Sage, istin seinem Innern, durch eine Menge unterirdischer Gänge durchkreuzt. In demselben wohnen Zwerge, die solche Neichthümer besitzen, daß ne, wie in Vichten, ihre Mäuse mit Gold süttern. Alan hat sogar einzelne dieser Dhiere herumlaufen sehen, die noch Goldstückchen zwischen den Zähnen hielten?) 2) Basse-Mouturie, 361. — 9?. Steffen, 127.";Luxemburger Sagen und Legenden
2369;8;3;3;Nr. 3. Die Wichtelcher zu Straßen.;Kapitel I. Wichte, Elbe, Kobolde, Hausgeister.;NoGroup;;;;"Nr. 3. Die Wichtelcher zu Straßen. Ein srommer, ehrlicher Mann in Straßen versank durch ein tückisches Schicksal in tiese Armnth. Doch sieh! die Wichtelcher sanden sich ein, halfen ihm im Hanse, im Stalle, sowie aus dem Felde. Nach einigen Jahren war der Arme wieder wohlhabend. Doch als er, aus Dankbarkeit, seinen wackeren Bundesgenossen Geschenke, namentlich in Kleidungsstücken machte, da verschmähten die uneigenützigen Hausgeister dieselben und verschwanden. Noch heute zeigt man in Straßen das Haus, wo einst die kleinen Wohlthäter sich zeitweilig niedergelassen hatten?) ») N. Steffen, 2&amp;lt;&amp;gt;9. — P. Klein, 84.";Luxemburger Sagen und Legenden
2370;8;4;4;Nr. 4. Die Wichtelcher zu Beggen.;Kapitel I. Wichte, Elbe, Kobolde, Hausgeister.;NoGroup;Beggen;6.131515;49.644527;"Nr. 4. Die Wichtelcher zu Beggen. Ein armer Bauersmann, der sich eines Abends ans dein Jelde verspätet hatte, Härte die Wichtelcher unter der Erde srischgebackeneS Brvd vertheilen, Hungrig wie er war, rief er: „mir auch ein Stück!"" da lag plötzlich ein frisches Wibbrod zu feinen Züsten. Er an davoit, nahm den Rest mit nach Hanfe, und da das Brvd nie enden wallte, wurde er ein wohlhabender Mann.') Eine ganz ähnliche (beschichte hat sich im (Nreiweldinper (Wmeindewald, Drt genannt zngetrageti. 1) N&amp;gt; Stcsfen, 20. — P. Kloin, 84.";Luxemburger Sagen und Legenden
2371;8;5;5;Nr. 5. Die Wichtelcher zu Nennig.;Kapitel I. Wichte, Elbe, Kobolde, Hausgeister.;NoGroup;;;;"Nr. 5. Die Wichtelcher zu Nennig. Bei dem Dorfe Aennig, in letzterZeit so bekannt durch den Besitz des herrlichsten Mosai'tbodens diesseitsder Alperi, lagen früher zwei (Grabhügel, sogenannte Dnmuli. Einer derselben istnun verschwunden, während der andere noch in ansehnlichenNeberresten besteht."")Das Bolk nennt ihn „Moltlapp"" oder „Wichtelsklapp"", weil einst in seinem Innern die Wichtelcbergewohnt. Alan erinnert sich noch recht gut, das; einst eiltjunges Mädchen von A'ennig, welches sich die (dunst der Erdmännchen erworben hatte, jeden Winterabend zu denselben spinnen ging. Auch weis; man noch, das; diese freundlichen Zwerge oft .(tuchenjstloiwst)unter die Zeldarbeiter vertheilten. -) Zu Anfang dieses Jahrhunderts wurde dieser Truuulus untersucht.  Man fand nur einige Menscheuknochen zwischen grossen, dicken St, inen.";Luxemburger Sagen und Legenden
2372;8;6;6;Nr. 6. Die Wichtelcher zu Schöufels.;Kapitel I. Wichte, Elbe, Kobolde, Hausgeister.;NoGroup;Reckingen;6.079597;49.750331;"Nr. 6. Die Wichtelcher zu Schöufels. Zn Schänfels besteht eine, durch die Merkwürdigkeiten des Steinreiches und die Ausdehnung ihrer (dänge — dieselbettsollet; bis nach Reckingen reichet; — ausgezeichnete (''»rotte. Sie führt den A'amen „Wichtelchesloch"", denn in diesen unterirdischen Bäumen hatte das Zwergvolk eine seiner beliebtesten Wohnungen ansgeschlagen und verkehrte ungestört, durch heimlichen Schacht, mit seinen Brüdern von Aeckingen?) Die Erzählungen, die über die Schänselser Wichtelcher verbreitet sind, enthalten sonst keinen Zug, der nicht schon in den vorhergehenden Sagen enthalten wäre. Basse-Mouturio, 316, 320.";Luxemburger Sagen und Legenden
2373;8;7;7;Nr. 7. Die Wichtelcher zu Warken.;Kapitel I. Wichte, Elbe, Kobolde, Hausgeister.;NoGroup;Warken;6.090709;49.857724;"Nr. 7. Die Wichtelcher zu Warken. Zwischen Warten und Ettelbrück liegt ein Landstrich „Wärter Hardt"" genannt. Eieht man darüber, so bemerkt man gleich am (üeränsch der dritte, daß der Erdboden hier hohl ist, was übrigens sehr natürlich scheint, da seit undenklichen Zeiten die Wichtelcher sich unterirdische Wohnungen daselbst errichtet hatten. Eines Tages war in der Nähe dieser Stelle ein .Unecht aus dem Hause „Witrp"" mit Pflügen beschäftigt. Als er sein Mittagsmahl einnnhm, theilte er dasselbe mit einem zu ihm gekommenen Wichtelchen, und siehe da! am andern Morgen, als der Unecht wieder auf die nämliche Stelle kam, war der Acker bestellt, und ein schön gebackenes Brod lag ans dem Zelde. Derselbe Vorgang wiederholte sich mit zwei Wichülchern. Am dritten Tage endlich kamen drei Wichtelcher in das Haus „Witry"" nach Warten und verrichteten dort lange Zeit hindurch alle häuslichen Arbeiten?) 1) Basso-Mouturie, 388, 889.";Luxemburger Sagen und Legenden
2374;8;8;8;Nr. 8. Die Wichtelcher zu Michelau.;Kapitel I. Wichte, Elbe, Kobolde, Hausgeister.;NoGroup;Michelau;6.093274;49.898839;"Nr. 8. Die Wichtelcher zu Michelau. Aus der Jlnr „Wichtel"" oder „Wichtelchen"", einer Anhöhe von 4&amp;gt;ü&amp;gt; bis 5«&amp;gt;0 Fuß über dem Sanerspiegel, bei Michelau , sah man vor einigen Jahren noch eine Erdvertiefung (Zvanl), ähnlich der Wichtelstaul nächst Warten, der man, wie der letztgenannter!,den Namen „Wichtelhäuschen"" gab. (Gegenstände römischer Herkunft, wie Blei, Schlüsseln, Nägel, Ziegel», n. s. w. wurden daselbstansgegraben?? (GleicheSagen wie die vorerwähnten knüpfen sichan dieser!Drt. -)  PuPlications, XIV, 167, 171.";Luxemburger Sagen und Legenden
2375;8;9;9;Nr. 9. Die Wichtelcher und die Hebamme.;Kapitel I. Wichte, Elbe, Kobolde, Hausgeister.;NoGroup;Wiltz;5.937196;49.962332;Nr. 9. Die Wichtelcher und die Hebamme. Zn einem Dorfe bei Wiltz hausten die Wichtelcher. Eines Tages bedurften sie einer Hebamme und überredeten eine solche zu ihnen zu kommen. Diese erzählte nun oft von den schönen Einrichtungen, Möbeln w., welche sie bei dem unterirdischen Völkchen gesehen habe, wußte aber nie zu sagen, wo und wie sie unter die Erde, noch wo und wie sie aus derselben gelangt sei.;Luxemburger Sagen und Legenden
2376;8;10;10;Nr. 10. Das Wichtelchen zu Sterpenich.;Kapitel I. Wichte, Elbe, Kobolde, Hausgeister.;NoGroup;;;;"Nr. 10. Das Wichtelchen zu Sterpenich. Da wo heute das Dorf Sterpeuich liegt, staub iu alter Zeit blos eiue Burg, iu welcher eiu böser Eöelmann hauste, ja ein recht böser, denn er dachte blos daran, wie er seine armen Unterthanen am besten plagen könne. Eines Tages nun beauftragte er einer: seiner Leibeigenen, einen Brief in 13 Stunden nach Metz zu tragen nnd noch vor Sonnenuntergang die Antwort zurückzubringen. Obgleich dies rein unmöglich schien, machte sich der arme Schlucker, um sofortiger Strafe zu entgehen, dennoch den Augenblick auf den Weg. Dies war sein Glück, denn hinter der ersten Anhöhe erwartete seiner ein Else, mit Wägelein und Gespann; der kntschirte ihn mit Windeseile nach Metz und zurück. Als der Else den Leibeigenen wieder bei der Burg absetzte,sprach er: „Trage nun deinem Gebieter die verlangte Antwort; aber vergiß nicht ihn: zu sagen, auch ihn werde ich hellte noch abholen und in die Ewigkeit fahren."" Dieser that genall wie ihm vorgeschrieben, und als der Burgherr die letzten Worte des Elsen hörte, ries er angstvoll: „Wie, sterben ich!"" und verschied. Und „Sterpeuich"" blieb von nun au der Name der Burg und des fpäter entstandenen Dorfes?) ') Basse-Mouturie, 27. — 9?. (Steffen,49. — $. ©ngl’ng, 'IRanuS* cript, 258. — «ß. Klein, 87.";Luxemburger Sagen und Legenden
