tale_id;book_id;tale_id_author;tale_id_book;title;division_1;division 2;location;longitude;latitude;full_text;booktitle
1026;7;1;1;1. Die Sage von der schönen Melusina, der Ahnfrau der luxemburger Grafen.;I. Wassersagen.;NoGroup;Luxemburg;6.133836;49.611567;"1. Die Sage von der schönen Melusina, der Ahnfrau der luxemburger Grafen. Vor vielen hundert Jahren lebte ans dem Schlosse zu Körich ein edler Ritter, Gras Siegfried. Dieser verirrte sich einst aus der Jagd und gelangte gegen Abend in ein tiefes, enges, wildverwachsenes Thal. Es war das Tbal der Alzet an der Stelle, wo beute Luremburgs Vorstädte sich malerisch um den Felsen schmiegen. Der Gras sab vor sich den Bockselsen emporragen und oben aus demselben eine alte verfallene Römerbnrg. Plötzlich schlugen Töne eines wundervollen Gesanges an des erstaunten Ritters Obr. Nachdem der Gras eine Zeitlang dem Gesänge gelauscht, eilte er dem Orte zu, woher die Töne erklangen, und bald gewahrte er oben aus den Trümmern der Burg eine Jungfrau sitzen, bei deren Sckwnbeit er wie gefesselt stehen blieb. Es war Melusina, die Nire der Alzet. Unverwandten Blickes starrte Siegfried nach der überirdischen Erscheinung. Wie die Jungfrau den stattlichen Ritter sah, ließ sie ihren grünen Schleier über das Antlitz fallen und verschwand mit den letzten Strahlen der Abendsonne. Von Müdigkeit überwältigt, legte sich Gras Siegfried unter einen Baum nieder und schlief ein. An: anderen Morgen weckte ihn der Gesang der Vögel aus einem seligen Traume. Er erhob sich, folgte dem Laufe des Flusses und befand sich bald in der Gegend voll Weimerskirch, die ihm bekannt war, und von wo er der Heimat zueilte. Die Erscheinung der schönen Jungfrau aber und ihr wundervoller Gesang hatteil des Grafen Seele mächtig erfaßt; oft zog es ihn nun in diese Gegend, die er liebgewonnen, um sich voll neuem all dem Gesang und der schönen Gestalt der Jungfrau zu erfreuen. Einst traf er sie im Thale, denn der Besuch des Grafeil war ihr angenebm, und sie hatte den stattlicheil Ritter liebgewonnen. Nasch trat dieser zu ihr hin, gestand ihr seine Liebe und bat sie, sein Weib zu werden. Sie willigte ein unter der Bedingung, daß sie den Felsen nicht verlasse und er sie nie an den Samstagen, an denen sie allein sein wolle, zu sehen wünsche. Der Graf gelobte es ihr unter Eidschwnr. Siegfried machte nun mit dem Abte von St. Marimin bei Trier einen Tausch, durch welchen er seine schöne Herrschast Feulen bei Ettelbrück gegen den kahlen Bockselsen und die umliegenden Waldungen abtrat. Da es ihm aber jahrelang an Geldmitteln gebrach, um aus den: Bockselsen ein Schloß zu erbauen und Melnsina als sein Weib heimzusühren, so nahm er Satans Hilfe gerne an, der sich erbot, ihn: das Schloß zu erbauen und ihn mit Reichtum zu überhäufen, wenn er nach dreißig Jahren ihm zu eigen sein wolle. Da prangte über Nacht aus dem Scheitel des Bockselsens eine herrliche Burg, die stolz in das umliegende Tba( herniederschaute. Siegfried vermählte sich mit der schönen Melnsina und verlebte fröhliche Tage. Melnsina schenkte ihm sieben Kinder. Aber stets an den Samstageil hielt sich die Nixe den Augen aller verborgen, zog sich in ibre Kammer zurück und schloß sich ein. Lange Jahre schoil hatte sie das getban, obne daß es ibren Gemahl verlangte zu erfahren, was sie an jenem Tage treibe; aber seine Freunde, die mit der Zeit Künde hievon erbalten batten, weckten in des Grafen Seele Mißtrauen gegen sein gutes Weib. Nun wollte Siegfried um jeden Preis wissen, warum sich Melusina an den Samstagen vor ibm zurückziehe. Am nächsten Samstag eilte er heimlich zu ihrer Kammer; ein auffallendes Rauschen und Plätschern tönte ibm aus dem Innern entgegen; er späbte zum Schlüsselloch ins Zimmer hinein: da sieht er seine Gattin in einem Wogenbade sich, das lange blonde Lockenhaar mit goldenem Kamme glätten;' ihre schönen. Glieder enden- in einen ungeheueren, scheußlichen Fischschwanz, mit dein sie die Wellen peitscht. Der Graf stieß einen Schrei des Entsetzens aus, Melnsina aber versank im selben Augenblick in des Felsens Tiefen: sie war auf immer für Siegfried verloren. Man erzäblt, die Amine, die das jüngste Kind in ihrer Pflege hatte, habe manchmal nackts eine weiße Gestalt im Zimmer bemerkt, die das Kind zu wiegen gekommen sei. Melnsina erscheint nun alle sieben Jahre in menschlicher Gestalt auf der Oberwelt über dem Bockfelsen, um die Vorübergehenden zu ibrer Erlösung aufzufordern. Erfolgt dieselbe nicht, dann schwebt die Weiße Gestalt über die Stadt mit dem Ruf: „In sieben Jahren -nicht mehr!"" und versinkt wieder in den Felsen. Dadurch ward zur Zeit, als Luxemburg noch eine Festung war, der Wachtposten am Bock so verrufen, daß es sogar den mutigsten Soldaten bangte, wenn sie dort nachts auf Posten stehen mußten. Einst stand ein beherzter Soldat, der mit einem Kameraden die Postennummer gewechselt batte, zwischen zwölf und zwei Uhr nachts am Bockfelsen Schildwache. Da erschien ihm Melnsina in Gestalt eines schönen Mädchens und bat ihn, sie zu erlösen. Es sei dies, sagte sie, ein schweres, doch nicht unmögliches Werk. Gedenke eres aber nicht zu vollbringen, so solle er es nicht unternehmen, da sie sonst dreimal tiefer in die Erde versänke!. Während dieser Worte entstand ein so heftiges Gebrause nur den Bockfelsen, daß der Soldat meinte, derselbe stürze zusammen. Die Scknldwache versprach, Melnsinens Begehren zu erfüllen, was es auch sein möge, dein er sich zu unterziehen babe. Er müsse, sagte sie, während xenn auseinanderfolgender Tage jeden Abend Schlag zwölf Uhr hinter dem Mar in der Dominikanerkirche sieben, keine Minute zu früh und keine Minute zu spät. Habe er dies neunmal getban, dann werde sie ibm am zchnten Abend als feurige Schlange mit einem Schlüssel im Munde erscheinen; diesen müsse er mit seinem Munde aus dem ihrigen nehmen und ihn dann in die Alzet Wersen, woraus ihre Erlösung vollbracht sei; die Römerburg aus dem Bockselsen stehe dann wieder da wie vordem. Acht Abende stand der Soldat Schlag zwölf hinter dem bezeichnten Altäre, an: neunten aber verspätete er sich. Da hörte er ans seinem Rückwege ein solches Geheul und Gebrüll am Bockselsen, daß er fast glaubte, alle wilde Tiere seien in der Luft bei einander. Kein anderer Mensch jedoch hörte diesen Lärm. Auch soll Melusina jedesmal, wenn Gesabr und Unglück der Stadt Luxemburg drobt, den Bockselsen umkreisen und Klagelaute ausstoßen. So ist Melusina bis aus den heutigen Tag noch nicht erlöst. Wird sie mit der Zeit nicht erlöst, dann webe der Stadt Luxemburg. Ist das Hemd einst fertig, an dein sie arbeitet, zu dem der kahle Felsen des Bock den Flachs liefert und an dem sie alle sieben Jahre bei ihrem Erscheinen auf dem Felsen einen Stich macht, dann ist sie erlöst; aber die Trümmer der Stadt werden der treuen Wächterin zum Grabmal dienen. Nach N. Gonner's Mitteilungen und mündlich.";Sagenschatz des Luxemburger Landes
1027;7;2;2;2. Melusina (Soldatensage).;I. Wassersagen.;NoGroup;Luxemburg;6.133836;49.611567;2. Melusina (Soldatensage). Einst trat um Mitternacht Melusina zu der Schildwache unterhalb der Zchloßthorbrücke. Sie begehrte von ihm, er solle sie erlösen, indem er in der folgenden Mitternacht ihr, die als Schlange erscheinen werde, einen Schlüssel, den sie im Munde halte, mit seinem Munde erfasse und aus den Altar der Dominikanerkirche niederlege. Dann gehöre sie ihm als Braut nebst ihren Schätzen. Bei dieser Erscheinung überlief es den Soldaten eiskalt, Grausen erfaßte eine Seele. Am folgenden Tage ertönte die Totenglocke vom alten Münster erab, und man grub dem jungen Krieger ein Grab aus dem Soldaten- Friedhos. Cederstolpe, Sagen von Luxemburg, poetisch bearbeitet, S. 5.;Sagenschatz des Luxemburger Landes
1028;7;3;3;3. Die Nixe und das Schaffmännchen.;I. Wassersagen.;NoGroup;;;;"3. Die Nixe und das Schaffmännchen. Mit dem Namen Schasfmännchen bezeichnet man einen in uralter Zeit verunglückten Schiffer, der in mondheller Nacht nach reichern Fischfänge dicht an- MörLdors gelegene Wehr durchschiffen wollte und dabei den Tod in den Wellen fand. Ter Sage gemäß war die Nire, die im Wehr ihren Wohnsitz hat, besonders gegen diesen Fischer sehr ausgebracht, weil er ihr die setun Fische, namentlich Forellen, irr Menge wegfing und durch das feste Aufstampfen feiner mit scharfer Eisenspitze versehenen Schiffstange ibre Wobnung sehr beschädigte. Da hat sie in ihrem Zorne den Schiffer in die Wasserfluten hereingezogen. Seit dieser Zeit haben viele vernommen, wie nächtlich ein Fischer mit den schäumenden Wogen kämpfte, um das Webr zu durchschiffen; sehen konnte man nichts, nur hörte man den Schlag und das Ausstößen der Schiffstange; das dauerte fast ganze Nächte bindnrck. Keinem fügte der nächtliche Fischer ein Leid zu, wol aber jagte er den allzu Vorwitzigen mit Schmähungen und Drohungen in die Flucht.";Sagenschatz des Luxemburger Landes
1029;7;4;4;4. Das Baachjöfferchen zu Ettelbrüch.;I. Wassersagen.;NoGroup;Ettelbrück;6.105571;49.84983;4. Das Baachjöfferchen zu Ettelbrüch. Zn Ettelbrück taucht nachts das Baachjösserchen, auch Waaßertatchen r oder Plätschkätchen genannt, im Miltewo lMühlenteich) ans, geht eines Strecke weit plätschernd den Bach an der Feulener Straße hinaus, wendet t sich dann rechts über einen sanften Abhang, um im Bogen an dieselbe Stelle s znrückzukehren, wo sie ausgetancht, und plätschert dort wieder ins Wasser r hinein. Das Baachjösserchen trägt weiße Kleider.;Sagenschatz des Luxemburger Landes
1030;7;5;5;5. Das Plätschmännchen.;I. Wassersagen.;NoGroup;Oberanwen;6.244132;49.658524;"5. Das Plätschmännchen. Das Plätschmännchen kam allabendlich durch den Bach, welcher das Dorf 7 Oberanwen durchfließt, und plätscherte wie mit einer Nute oder Gerte in&amp;gt; n Wasser. Jedoch bekam ihn niemand zu Gesichte.";Sagenschatz des Luxemburger Landes
1031;7;6;6;6. Das Oligsmännchen.;I. Wassersagen.;NoGroup;Emeringen;6.29009;49.489245;6. Das Oligsmännchen. An der Quelle der Oligsbaach, welche sich nach sehr kurzem Lause zi Emeringen in die Alt- oder Gaanerbaach wirst, und welche oft zum rei isßenden Strome wird, geht das Oligsmännchen um. Wehe demjenigen, de s§ sich nach Sonnenuntergang aus der Wiese erblicken läßt! Unrettbar ist c s verloren, denn im Nu hat ihn der unheimliche Alte bei den Haaren ersaß so und mit sich in den Abgrund gezogen. Eng. klein.;Sagenschatz des Luxemburger Landes
1032;7;7;7;7. Der große Wassergeist bei Echternach.;I. Wassersagen.;NoGroup;Echternach;6.413641;49.81479;"7. Der große Wassergeist bei Echternach. Ein ungeheuer großer Wassergeist hat seinen Aufenthalt während des Tages im Spelzbusche bei Echternach; bei einbrechender Nacht erst taucht er in die Sauer. Diese Rieseugestalt in langwallendem weißem Gewände ist von den Fischern gefürchtet, weil sie beim Hinabstürzen ins Wasser die in der Nähe befindlichen leichten Kähne durch den wuchtigen Fall zertrümmert. A. R., Echtern. Volkss., S. 48.";Sagenschatz des Luxemburger Landes
1033;7;8;8;8. Das Platschmrechen in dem Mühlbach.;I. Wassersagen.;NoGroup;Mühlbach;6.244501;49.585598;"8. Das Platschmrechen in dem Mühlbach. In dem zwischen Mutsort und Eontern gelegenen Mühlbachthälchen läßt sich zuweilen nachts bald an der Syr bald an dem Mühlbach ein Klatschen wie das eines Blänels hören. Es ist das Platschmrechen (Platschmariechen), eine geisterhafte Wäscherin, von der man sich behutsam ferne halten soll. Will nian sich ihr nähern, um sie zu beobachten, so ist sie plötzlich verschwunden. Auch scheint es manchmal ihre Lust zu sein, die Neugierigen zu necken. Sitzt sie an der Syr, und mall will in ihre Nübe schleichen, so läßt sich plötzlich das Klatschen an dem Mühlbach vernehmen; und eilt man dann all den Mühlbach, so wird es schnell wieder an die eine oder die andere Stelle der Syr versetzt. I. Prott, Pfarrer.";Sagenschatz des Luxemburger Landes
1034;7;9;9;9. Das Platschmrechen bei Schrassig.;I. Wassersagen.;NoGroup;Schrassig;6.256243;49.608624;9. Das Platschmrechen bei Schrassig. An dem sogenannten Gruesbur bei Schrassig läßt eine gespensterhaste Waschfrau um Mitternacht das hohle und geisterhafte Klatschen ihres Blänels vernehmen. Man nennt sie allgemein das Platschmrechen. I. Prott, Pfarrer.;Sagenschatz des Luxemburger Landes
1035;7;10;10;10. Das Platschmrechen auf Stöckels.;I. Wassersagen.;NoGroup;;;;10. Das Platschmrechen auf Stöckels. An dem in der Nähe voll Tcha gelegellen Stöckelter Moor, wo einst ein Heidenschloß gestanden hat, und auch an dem zwischen Stöckels und dem Scheid fließenden Hohlbach läßt in gewissen Nächten eine gespensterhaste Wäscherin, das Platschmrechen, das unheimliche Klatschen ihres Blüuels hören, ohne daß es je einem Menschen gelingen kann, ihrer ansichtig zu werden. Sie sucht immer nur trübes Wasser auf und pflegt nie an reinen Quellen zu waschen. I. Prott, Pfarrer.;Sagenschatz des Luxemburger Landes
