tale_id;book_id;tale_id_author;tale_id_book;title;division_1;division 2;location;longitude;latitude;full_text;booktitle
533;4;1;1;Die Schlange im Jura;NaN;NaN;Jura;0.0;0.0;"Im Juragebirge, von welchem eine Zweigkette, südlich  den Sundgau von der Schweiz trennend, bei Mülhausen in  Hügeln sich abdacht und sodann in der Ebene verliert, liegt eine  große geflügelte Schlange , ein Drache, mit diamantenen  Augen.  In unsern Bergen erzählt das Volk noch immer von  Schäße hütenden Drachen ; im Dorfe Riedheim, bei Buchs-  weiler, trägt ein fliegender Drache Getreide und andere Früchte  von einem Speicher zum andern. In der benachbarten Frei-  grafschaft, Franche- Comté, haust die vouivre (vipera), ein  Drache, mit einem einzigen, aus einem Karfunkel (escar-  boucle) gebildeten Auge ; sie legt dasselbe manchmal ab, und  wer es dann erhaschen kann, ehe es die vouivre bemerkt, dem  fallen große Reichtümer zu. Meistens aber finden die Unter-  nehmer des kecken Versuchs einen elenden Tod.  ";Die Sagen des Elsasses. Erster Teil. Die Sagen des Ober-Elsass
534;4;2;2;St. Morands Ruhe;NaN;NaN;Altkirch;7.24484329622;47.6210336538;"Der h. Morand , Apostel und Patron des Sundgau's  und der Stadt Altkirch, welcher in der Mitte des XI. Jahr-  hunderts lebte und viele Zeichen und Wunder verrichtete, war  eines Tages aus seinem Kloster mit entblößtem Haupte, wie er  zu thun pflegte, nach dem benachbarten Dorfe Wahlheim ge-  gangen, um daselbst die Messe zu lesen und andere gottesdienst-  liche Handlungen zu verrichten. Bei seiner Rückkehr überraschte  ihn aber ein heftiges Gewitter und nötigte ihn, sich unter einen  über den Weg hinragenden Felsen zu flüchten, um wenigstens  sein entblößtes Haupt vor dem Sturme zu schüßen . Und siehe,  ,,wie ein weiches Wachs gab der harte Stein seinem Haupte  nach, um eine Vertiefung zu bilden, die demselben einen sichern.  Schirm gegen das Ungestüm des Gewitters darbot. ""  ";Die Sagen des Elsasses. Erster Teil. Die Sagen des Ober-Elsass
535;4;3;3;Der Käpellegeist;NaN;NaN;Heimersdorf;7.23667862006;47.563206505;"Bei Heimersdorf (bei Hirsingen) an der Straße spukt  der Käpellege ist. An einem Kathrinenmarkt nach Betzeit  kamen zwei Männer auf einem Wagen von Altkirch daher  „geritten"" . Plöglich wurde einer davon neben dem andern  vom Size hinweggenommen und „mig"" mitten auf die Straße  gesezt.  Ein andermal geschah ähnliches einer Frau, die zu Fuß  ging ; sie wurde mitten ab der Straße emporgehoben und in  den Graben abgesetzt.  ";Die Sagen des Elsasses. Erster Teil. Die Sagen des Ober-Elsass
536;4;4;4;Die Zwerge in der Wolfshöhle;NaN;NaN;Pfirt;7.3158338091;47.4935597154;"In der Wolfshöhle, welche etwa eine halbe Stunde füd-  wärts von Pfirt, zwischen den Felswänden der Heidenflüe, weit  in den Berg hineinläuft, hauste, vor vielen hundert Jahren, ein  Völklein von Zwergen, das seine Wohnsize in den unzähligen  Felskämmerlein aufgeschlagen hatte. Sie lebten daselbst, je zwei  und zwei, Männlein und Weiblein, in schönster Eintracht beisam-  men. All ihr Hausgeräte, besonders aber ihre niedlichen Feld-  und Gartenwerkzeuge, waren aus blankem Silber gearbeitet.  Die Zwerge genossen, schon seit undenklichen Zeiten, einer  ewigen Jugend. Alle, welche sie zu sehen bekamen, rühmten ihre  zierliche Gestalt und besonders den eigentümlichen Schein ihrer  Auge ,n die wie Sterne glißerten. Sie waren alle kinderlos und  liebten es, zuweilen aus ihrer Abgeschiedenheit herauszutreten und  mit den Menschen der Umgegend zu verkehren, deren Sprache ihre  feinen, wohlthuenden Stimmlein nachahmten.  Zur Zeit der Heu- und Getreideernte kamen sie gewöhnlich,  in buntem Gewimmel, aus ihren Berghöhlen hervor, mit ihrem  Feldgeschirre versehen und stellten sich mit den Schnittern in Reih'  und Glied, und die Mahden fielen reichlich unter ihren Streichen.  Beinahe jede Haushaltung in den nahe gelegenen Dorfschaften  hatte ihr Zwergenpärchen, das an ihren frohen und traurigen Be-  gegnissen Anteil nahm ; und es war allemal ein Jubel im Hause,  wenn sie über die Schwelle traten und dann beim Abschied reiche  Gaben für Alt und Jung zurückließen.  Die Leute zeigten sich auch dankbar gegen die kleinen Wohl-  thäter. Sie wiesen ihnen bei Kilben und Hochzeitsschmäusen die  ersten Pläge an und stellten ihnen die besten Bissen, den süßesten  Most auf, den sie im Vorrat hatten. Aber Eines wollte ihnen  niemals an den Zwerglein gefallen : daß sie nämlich so lange  Röcke trugen, die bis zum Boden reichten, so daß sie ihnen immer  die Füße bedeckten.  Die Neugierde zu wissen, wie diese beschaffen seien, konnten  am Ende einige Mädchen nicht länger bezwingen. Sie gingen  eines Tages vor Sonnenaufgang zur Wolfshöhle hinauf und be-  streuten die breite Felsplatte, die sich am Eingange derselben  hinzog, jezt aber schon lange in Steingeröll verwandelt ist, mit  feinem Sande. Sie dachten, wenn die Zwerge ihren Morgen-  spaziergang in den Wald machten, so müßten ihre Füße schon  Spuren in dem Sande zurücklassen, und sie kämen damit doch  einmal ins Klare. Sie versteckten sich also ins Gebüsch, um  zu lauschen.  Sobald die Sonne ihre ersten warmen Strahlen an das Fel-  senthor der Höhle warf, kamen Bergmännlein und Bergweiblein,  zwei und zwei, hervorgehüpft und wandelten wie gewöhnlich über  die Felsplatte dem Walde zu.  Da sahen nun die Mädchen, daß sie Stapfen von Geisenfüßen  im Sande zurückließen . Darüber mußten sie so heftig lachen, daß  es die Zwerge hörten, sich umwandten und, den Betrug gewah-  rend, mit traurigen Mienen in die Höhle zurückkehrten. Seit  jenem Tage kamen sie nicht wieder zum Vorschein.  ";Die Sagen des Elsasses. Erster Teil. Die Sagen des Ober-Elsass
537;4;5;5;Des Teufels Recht auf Pfirt;NaN;NaN;Pfirt;7.3158338091;47.4935597154;"Als Christus, der Herr, von dem Teufel versucht wurde,  führte ihn dieser auf einen hohen Berg und zeigte ihm die ganze  Welt, alle die Städte und Schlösser in der Runde und versprach  ihm alles zu schenken, wenn er vor ihm niederknieen wolle. Der  Herr betrachtete stillschweigend ; dann fragte er den Satan, mit  dem Finger hindeutend : „ Und dort jenes Thälchen, gibst du es  mir auch?"" - „Nein,"" antwortete der Böse, „ das kann ich nicht,  Daher kommt es, sagen die Leute, daß der Teufel noch  immer ein Recht auf Pfirt hat.  ";Die Sagen des Elsasses. Erster Teil. Die Sagen des Ober-Elsass
538;4;6;6;Die Todtenprozession zu Luppach;NaN;NaN;Luppach;0.0;0.0;Ein Mann von Mörnach kam des Abends spät aus der  Fislacher Mühle nach Haus. Der Müller war sein Bettermann  und hatte ihn mit seinem alten Vater über die Zeit aufgehalten.  Als sie nun nahe bei dem alten Kloster Luppach vorüber wollten,  sagte der Vater, der bei ihm auf dem Wagen saß: Schau dort  -  hin und beide sahen eine lange Prozession von Mönchen, die  breite runde Hüte aufhatten und laut sangen.  ;Die Sagen des Elsasses. Erster Teil. Die Sagen des Ober-Elsass
539;4;7;7;Die Galgenplatte;NaN;NaN;Alt-Pfirt;0.0;0.0;"Bei Alt- Pfirt, auf dem Berge ist ein Blöttene, ¹  worauf früher ein Galgen stand. Eine Frau, fälschlich des Dieb-  stahls angeklagt, wurde zum Strang verurteilt und hier gehenkt.  Als man im Begriffe stand ihr den Strick um den Hals zu  werfen, beteuerte sie noch einmal ihre Unschuld und sprach: „ So  -  weit sich die Menge vor meinen Blicken ausbreitet — so weit  wird der Plag auf ewig verödet sein, und wehe dem, für den  ich unschuldig sterbe, die göttliche Rache wird ihn ereilen, ehedenn  gewitter zieht über den Wald; es zuckt und kracht und zersplittert  liegt der Galgen am Boden, nur die Leiche blieb unversehrt.  Es kracht zum drittenmale und vom Blize getroffen, fällt ein  Mann tot nieder.  Seitdem ist der Plaß eine unwirtbare Haide. Ringsum  grüne Matten und blühende Bäume, nur so weit sich die Menge  der Zuschauer erstreckte ist alles öde, daher der Name Galgen-  blöttene.  ";Die Sagen des Elsasses. Erster Teil. Die Sagen des Ober-Elsass
540;4;8;8;Der Lachgeist im Haag;NaN;NaN;Alt-Pfirt;0.0;0.0;"Im Haag zwischen Alt = Pfirt und Bisel spukt ein  Geist, den man oft laut auflachen hört und der verspätete  Wanderer schon ganze Nächte hindurch irre geführt hat. Ein  zouard, bei Markirch.  -  Mann von Alt ፡ Pfirt, der Schäfer genannt, war einst geschäfts-  halber nach Bisel gekommen und hatte sich nach der Betglocke  wieder auf den Heimweg gemacht. Da er durch den Haag gin ,g  war es, als streifte ihm ein Reis den Hut ab vom Kopf .e Er  bückte sich, um ihn aufzuheben, konnte ihn aber nicht finde .n  Indem er nun sich wieder bückte und rechts und links herum-  Er kehrte sich um, und das nämliche Lachen erscholl wieder vor  ihm; und nach welcher Richtung er sich auch hinwandte, immer  lachte es vor ihm. Nun „ gruselte"" es ih ,m und er wollte sich  fortmachen, ohne den Hut gefunden zu haben ; allein er verirrte  sich und zweimal geriet er im Niederweier bis über's Knie in's  Wasser. Kurz „ Er“, - der Lachgeist führte ihn die ganze  Nacht herum. Als der Mann des andern Tages nach Hause.  kam, erkrankte er und vierzehn Tage darauf war er abg =e  storben"".  ";Die Sagen des Elsasses. Erster Teil. Die Sagen des Ober-Elsass
541;4;9;9;"Der Geist ""Laxi"" im Biederthaler Schlosse";NaN;NaN;Biederthal;7.43560956506;47.4709691234;Man erzählt sich, daß im Biederthaler Schlosse ein Ver-  wunschener umgehen soll in Gestalt eines großen schwarzen  Hundes, den man „ Laxihund “ nennt. Es soll dies der ehemalige  Besizer des Schlosses Alexis (Lari ist die Abkürzung) von Reichen-  stein sein. Derselbe war bei Lebzeiten wegen seines Lebens-  wandels weit und breit verrufen.  ;Die Sagen des Elsasses. Erster Teil. Die Sagen des Ober-Elsass
542;4;10;10;Junker Schnabel;NaN;NaN;Hagenthal;7.48185417828;47.5308980609;"Junker Schnabel von Hagenthal hatte das Recht, die  Leute seiner Herrschaft gegen Hunde nach England zu verkaufen.  Zur Strafe für diese Unthaten muß er nach seinem Tode im  Schlosse zu Nieder-Hagenthal umgehen und geistern"".  -— 7 -  ";Die Sagen des Elsasses. Erster Teil. Die Sagen des Ober-Elsass
