tale_id;book_id;tale_id_author;tale_id_book;title;division_1;division 2;location;longitude;latitude;full_text;booktitle
1;1;1;1;Das Bild der Stärke;NaN;Die Porta nigra;Trier;6.675;49.76917;"Wie ragst du stolz und mächtig, du schwarzes Römerthor, Vor allen andern Bauten der Moselstadt hervor! Wer thürmte deine Quadern auf festen Fundamenten, Bist du ein Werk von Menschen, ein Werk von Götterhänden? Vermöchten hohe Burgen, gebaut von Erz und Stein, Den Staaten, die verfallen, ein Schuß und Damm zu sein: Mit Recht warst du erkoren, vor stürmenden Barbaren Die todesmatte Roma durch deine Kraft zu wahren. Doch schritt umsonst der Römer, umstarrt von blanker Wehr, Durch deine festen Gänge, umsonst klang Schild und Speer, Umsonst bargst du die Krieger, die spähend sah'n nach Norden: Wie Wetterwolfen nahten der Franken wilde Horden. Hin sank da Roma's Herrschaft, so blühend einst und groß, Durch Gallien herrscht der Franke, gefallen war das Loos; Und du, v Römerpforte, du Preis der Römerwerke, Du bliebst für späte Zeiten ein Bild der Römerstärke! ";Trier und seine Umgebung in Sagen und Liedern
2;1;2;2;Arimaspes und Eptes;NaN;Die Porta nigra;Trier;6.675;49.76917;"Arimaspes, reich an Schäßen, Wohlbewährt in den Geseßen, Lebte hoch in Rom geehrt; Als Senator und als Richter Urtheilt er die Bösewichter, Streng, wie Pflicht und Recht es lehrt. Endlich wird die Richterwürde Seinem Geiste eine Bürde; Wandernd aus dem großen Rom, Durch der Länder weiten Bogen Kommt nach Trier er gezogen An den schönen Moselstrom. Herzlich wird er aufgenommen, Alle heißen ihn willkommen In der alten Moselstadt, Eifern hier ihm zu vergüten, Was ihm Roma's Reize bieten, Was die Weltstadt Schönes hat. Fern in Roma's Kerkermauern, Wo gefesselt Mörder kauern, Liegt des Arimaspes Feind, Eytes, der mit einer Bande Einst die Dörfer niederbrannte, Welcher Mord mit Raub geeint. Eptes' Bande ward gefangen, Ueber Eptes war ergangen Arimaspes' Strafgericht: ,,In des Kerkers engen Schachten Soll er angekettet schmachten, Bis der Tod sein Auge bricht.“ Eptes lag im stillen Kerker An dem kleinen Fenstererker, Rachebrütend, wutherfüllt; Lange finnt er, sich zu retten Aus des Kerkers starren Ketten, Endlich glückt es, er entflieht. Angst beflügelt seine Schritte, Er befährt des Meeres Mitte Als Matrose, ungekannt, Landete gar fern und irrte Bald als Kaufmann, bald als Hirte Ohne Rast durch Stadt und Land. Nur an Galliens fernen Marken Will die Hoffnung ihm erstarken, Daß er lebenssicher sei, Endlich grüßt er voll Vertrauen Trier's Fluß und Berg' und Auen, Trier läßt ihn athmen frei. Frei? Was hört er denn für Worte? Arimaspes lebt am Orte, Wo er sich so sicher glaubt, Arimaspes! Furcht und Rache Stacheln Eptes, daß er wache: Fluch auf Arimaspes' Haupt! --- Einstens kehrt vom frohen Schmause Arimaspes spät nach Hause Und er ruht auf weichem Pfühl. Horch! ein helles Schwertgeklirre, Horch! der Kinder bunt Gewirre, Hallt Das nicht wie Mordgewühl? Arimaspes rafft behende Einen Degen in die Hände, Stürmt hinaus mit kühnem Muth; Aber eh' er sich erkundet, Hat ihn Eptes' Schwert verwundet, Arimaspes liegt im Blut. Willst du nach dem Mörder fragen: Eptes' Hand hat dich erschlagen, Hauch die schwarze Seele aus! Deine Kinder, wund am Herzen, Röcheln schon in Todesschmerzen!"" Ruft es und verläßt das Haus. ༔, Arimaspes bat beim Scheiden: Laßt mir doch mein Grab bereiten In dem festen Marsthor hier! Auf dem Grabmal soll man lesen, Was mir Trier einst gewesen, Zweite Heimath war es mir. ";Trier und seine Umgebung in Sagen und Liedern
3;1;3;3;Die Teufelskirche;NaN;Die Porta nigra;Trier;6.675;49.76917;"Zu Trier auf der Steipe im alten Rathhaussaal, Da saßen spät zusammen die Rathsherrn allzumal: Still war's im weiten Saale, leis knisterten die Lichter, Die Herren wandten erwartend nach der Thüre die Gesichter. Es hüpft herein ein Bursche, vom Büttel angesagt, Er schreitet durch die Räume gar rasch und unverzagt, Er hinkt beim raschen Gange plump mit dem einen Fuße, Er bückt sich vor den Herren mit kurzgefaßtem Gruße. ,,Hochweiser Rath von Trier!"" so frächzt er jegt sein Wort, Ihr sandtet weiten Aufruf an die Meister von Ort zu Ort, Ihr wollt eine Kirche bauen in euren heil'gen Mauern, Ihr wollt sie hoch und vrächtig, auch soll sie ewig dauern. Bei Himmel und bei Hölle! baut Einer sie euch so, Ich kann es, hohe Herren, wie Keiner irgendwo, Schlag Zwölfe in der Weihnacht, wenn die Glocken zur Mette rufen, Dann steht die Kirche fertig auf ihren hohen Stufen. So eine prangte nimmer an eurem Heimathstrom; Die beiden Pfortenflügel des Kapitols zu Rem Versprech' ich für die Kirche, die ich euch hier erbaue, Daß man an ihren Thoren auch noch ein Wunder schaue. Und was will ich zum Preise für alle Müh und Kunst? Gewährt mir, hohe Herren, nur diese kleine Gunst : Wer in der neuen Kirche zuerst sein Knie wird beugen, Der sei mit Leib und Seele, von Kopf zu Fuß mein eigen.“ So frächzend hüpft der Bursche behend zum Tisch hinan, Ein Pergament entfaltend, der neuen Kirche Plan: welch ein Riß erschien hier in Linien scharf gezogen, Wie ragten hehr die Thürme, die Thore, Pfeiler, Bogen! Das war ein Gottestempel, des alten Trier werth! Es ward der Vakt geschlossen, wie Jener ihn begehrt. Da fuhren viel die Kärrner, die Räder sprühten Funken, Es ward da bei der Arbeit manch Mäßlein Wein getrunken. Schon ist gekommen Weihnacht, vollendet steht der Bau, Die Thürme ragen riesig bis in des Himmels Blau, Schon prangen die Altäre, rur fehlen die Pfortenflügel, Sie hangen am Kapitole in der Stadt der fieben Hügel. Schon ruft die Zeit zur Mette in's neue Gotteshaus, Der Bauherr ist gefahren ins weite All hinaus, Schon saust er durch die Lüfte mit leichtbeschwingter Schle Und trägt die Pfortenflügel, geraubt am Kapitole. Tief unten liegen Berge, tief unten wallt das Meer, Die Pfortenflügel drücken den grimmen Meister sehr, Es treibt ihn flücht'ge Eile, den Baulohn zu gewinnen, Doch ruht er aus einwenig hoch auf des Montblanc's Zinnen. Da tritt im Mondenscheine, holdselig, himmlischwild, Eine Jungfrau ihm entgegen, der reinsten Schönheit Bild, Sie spricht so füße Worte, sie weiß so viel zu fragen, Er kann bei solchem Zauber sein Wort ihr nicht versagen. Stets spinnt sie neue Rede, die holde Schmeichlerin, Sie hält sein Ohr und Auge gebannt so lange hin, Bis auf den Kirchenthürmen die Glocken alle schweigen, Bis sich die goldnen Sterne zum Niedergange neigen. in „Nun lebe wohl, du Räuber, du kommst wohl jezt zu spät!” So ruft die Jungfrau scheidend und strahlt in Majestät; Von Lichtglanz hell umflossen, entschwebt sie von der Stelle, Und in des Räubers Antliß grinzt das Gespenst der Hölle. Die Jungfrau schwebt gen Himmel, er ballt die Faust nach ihr; Wie ein gereizter Löwe, brüllt er vor Nachbegier, Er packt die Pfortenflügel und stürmt im Windgebrause Nach Trier's fernen Thälern, schwebt ob dem Gotteshause. Die Kirche stroßt von Betern, was hallt doch für ein Klang? ,,uns ist ein Kind geboren!"" es ist der Weihnachtsang: "" Der Priester hat den Segen auf Alle ausgesprochen, Hat mit dem heil'gen Kreuze der Hölle Macht gebrochen. Da wirst der schwarze Meister hochher mit lautem Krach Die Pfortenflügel wüthend hin auf der Kirche Dach, Die Pfortenflügel fallen, die Schiefer und Balken splittern, Ge stürzen die Gewölbe, die Fundamente zittern. Bestürzung jagt die Menge, die Kirche steht geleert, Doch Gott im Himmel wachte, und Keiner ist versehrt. Seitdem klafft eine Oeffnung dort an dem Kirchendache: Für ew'ge Zeit ein Denkmal von des Erbauers Nache. Und wenn zur Zeit der Pfingsten vom fernen Kölner Land Die frommen Pilger wallen nach unserm Moselstrand, Dann zeigt, bei Trier's Anblick im nahen Waldgebirge, Der Vater seinem Söhnlein schon gleich die Teufelskirche. ";Trier und seine Umgebung in Sagen und Liedern
4;1;4;4;St. Simeon;NaN;Die Porta nigra;Trier;6.675;49.76917;"Wo Sinai's Gebirge am Rothen Meere ragen, Da stand ein einsam Kloster in guten alten Tagen. Dort wohnt in stiller Zelle der fromme Simeon, In Buß und Andacht war ihm schon mancher Tag entfloh'n. Da sandte ihn sein Kloster, um auf entlegnem Strande Almosen einzusammeln, zum schönen Frankenlande; So kam er denn auch wandernd ins grüne Moselthal: Als Bischof saß in Trier Herr Poppo dazumal. Und Simeon ward gaftlich in Trier aufgenommen, Vor Allen hieß ihn Poppo mit Herzlichkeit willkommen ; Im St. Martinus-Kloster da kehrt der Fremdling ein, Doch sollt' er hier nicht lange der Einsamkeit sich weih'n. Gar Viele griffen damal zum schweren Pilgerstabe, Sie trieb ein heiß Verlangen nach des Erlösers Grabe, Auch Poppo fühlt die Sehnsucht nach rem gelobten Land, Er wanderte gen Osten an jenes Klausners Hand. Er zog mit ihm nach Joppe, nach Bethlehem's Gefilden Und nach des Todten Meeres berühmten Salzgebilden, Sie knie'ten beid' am Grabe, sie sah'n vereint die Stadt, Wo unser lieber Heiland den Tod erlitten hat. Und als die beiden Pilger die Fahrten all vollendet, Da schwammen sie zu Schiffe, nach Westen hingewendet; Den wilden Meeresstürmen entrannen sie mit Glück, Der Himmel bracht sie schüßend ins Moselthal zurück. Herr Bischof, sprach der Klausner, zu Meer bin ich gefahren, Sah vieler Menschen Städte in meinen Wanderjahren ; Bei allen ihren Reizen, mir scheint die Welt so leer, O leihet meiner Bitte ein freundliches Gehör! Vergönnet mir ein Pläßchen in jenes Stadtthors Thurme, Da will ich fürder beten, entfernt vom Weltensturme, Da fleh ich Gottes Segen auf eure Stadt herab, Und will mich vorbereiten auf Ewigkeit und Grab. rabe, Land, ilden Cen, Stadt, bet; f. hren, rme, Der Bischof nickt Gewährung, der Mönch steigt zu dem Orte, Er wählt sich seine Klause hoch auf der Römerpforte, Er, der einst weit gezogen in Land und Meer hinaus, Jeßt lebt er still und einsam in einem engen Haus. Und sieben Jahre weilt er, gestärkt durch milde Gaben, Im alten Römerthore und ward allda begraben; Das Thor ward eine Kirche, der Frömmigkeit zum Lohn Ward sie getauft von Poppo zum heil'gen Simeon. We Schild und Schwerter klangen in alten Römerzeiten, Da mochte jezt das Herz sich an frommen Liedern weiden, Wo Helme einst erglänzten in grellem Wiederschein, Da luden helle Kerzen zum heil'gen Opfer ein. Verschwand auch spät die Kirche durch wilder Zeiten Stürme, Steh'n öde auch die Hallen und ohne Helm die Thürme : Nicht Fürstenmacht, noch Waffen, nur die Religion. Bewahrte einst die Trümmer zum heil'gen Simeon. ";Trier und seine Umgebung in Sagen und Liedern
5;1;5;5;Betrachtung;NaN;Die Römischen Bäder;Trier;6.675;49.76917;(Standpunkt: außerhalb der Stadt.) Altes Denkmal, vieler Zeiten Wogen Schlugen sich an deinen Steinen matt! Deine halbzerstörten Fensterbogen Zeigen mir als Hintergrund die Stadt. Und ich sehe dort die Thürme ragen, Die der Dom zum hohen Himmel schickt, Jener Dom, wo schon seit grauen Tagen Sich der Bischof mit der Mitra schmückt. Heidnisch Denkmal, deine Fensterbogen Zeigen mir des Domes ragend Haus! Welch ein Anblick! Von ihm angezogen, Gießt mein Geist sich in Betrachtung aus. Heidenbau, in deinem Hintergrunde, Dehnt sich mir der hohe Christendom! Du gibst von der alten Roma Kunde, Jener Dom mahnt an das neue Rom. Sieht man mitten in dem Heidenthume Nicht auch so des Christenthumes Ruhm? Socrates, des Heidenthumes Blume, Zeigt schon fernhin auf das Christenthum. Ja die Weisen und die Besten alle, Von dem Heidenthume groß gepflegt, Alle zieht's zum Kindlein in dem Stalle, Das den füßen Namen Jesus trägt. Dunkle Sehnsucht zieht sie nach dem Sterne, Der auf Bethlehem einst niederblinkt, Der mit mattem Glanz aus weiter Ferne Selbst auch ihnen ahnungsfreudig winkt. Alter Bau, an zwei Jahrtausend Prallten alle Stürme von dir ab, Aber zittre! Zeiten kommen brausend, Und auch du wirst sinken in dein Grab. Aber jenes Christendomes Hallen, Werden altern, altern mit der Welt, Seine Hallen werden nur zerfallen, Wenn einst stürzen wird das Sternenzelt. ;Trier und seine Umgebung in Sagen und Liedern
6;1;6;6;Das goldene Kalb;NaN;Die Römischen Bäder;Trier;6.675;49.76917;In der Ruinen Mitte Steht eingebaut cin Thurm, Drin hallen dumpfe Tritte, Haus't in der Nacht der Sturm. Am Thurme klafft ein Fenster Mit sieben Fensterlein, Dort kehren drei Gespenster Gar oft zusammen ein. Durch's Fenster sieht man blizen Ein Lichtchen roth und graus, Die drei Gespenster sigen Bei einem frohen Schmaus. Zwar sind sie ohne Köpfe Bei ihrem späten Mahl, Doch langen sie in Töpfe Und schwingen den Pokal. Sie lachen auch darunter, Man hört es halb und halb, Vor ihnen steht, welch Wunder! Ein großes goldnes Kalb. Das fehlt beim Mahle nimmer, Es prangt dort für und für, Erglänzt in rothem Schimmer, Dient wohl als Tafelzier. Und ist der Schmaus vorüber, Dann graben sie es ein, Das Licht brennt immer trüber, Und bald erlischt sein Schein. Das Kalb, Wer mag es haben! Kein Mensch gelangt dazu: Er müßte tiefer graben, Als siebenhundert Schuh. ;Trier und seine Umgebung in Sagen und Liedern
7;1;7;7;Die Arena;NaN;Das Amphitheater;Trier;6.675;49.76917;"(Vision.) Liegt nicht, beglänzt vom blassen Mondenschein Dort die Arena wie ein Leichenstein? In weiter Rundung heben sich die Size, Das Volk erfüllt sie bis zur höchsten Spize. - Es harrt dem Kampf entgegen schaulustheiß, Es starrt auf der Arena sand'gen Kreis: Da schmettern grell Trompeten in die Ohren, Auf tritt der lange Zug der Gladiatoren. Welch reicher Anblick ftellt dem Volk sich dar? In tausend Farben schillert bunt die Schaar, Die Schilde glänzen weit mit hellen Rändern, Die Helme sind umrauscht von bunten Bändern. Die Einen sind mit Speer und Nez bewehrt, Die Andern tragen Helm und Schild und Schwert, Zwei Schwerter blizen Jenen in den Händen, Auf Rossen werden Andre Lanzen senden. Jezt schmettert wieder der Trompete Ton, Und alle scharfen Waffen sind entfloh'n. Sie faffen Schwerter nur von Holz zum Spiele, Ein Kampf entsteht gleich einem Schlachtgewühle. Jezt zieh'n die Kämpfer sich vom Plan zurück, Ein einzig Paar nur bietet sich dem Blick, Der Herold ruft der beiden Kämpfer Namen, Sagt laut dem Volk, aus welchem Land sie kamen. Der Eine heißt Sacruna, Gallien ist Sein Heimathland, er strahlt im Kampf durch List; Aus Bruttium ist Thrar, ein wilder Krieger, Oft trat er aus dem Kampfspiel schon als Sieger. Sie beide sind noch jung und kampfesfrisch; Dem Thrar glänzt hoch am Helm ein blanker Fisch, Den kleinen Rundschild schwingt er in der Linken, In seiner Rechten scheint ein Dolch zu blinken. Sacruna schreitet ohne Schild zum Streit, Die Rechte hält ein Neß zum Wurf bereit, In seiner todesschwangern Linken blißen. Des hellen Dreizacks scharfgeschliffne Spigen. Die beiden Gegner heßen sich im Kreis, Der Fisch berennt den Neßenträger heiß, Der Fischer weichend ruft mit Wuthverlangen Voll Hohn:,,Nicht dich, den Fisch nur will ich fangen!"" Jezt schießt der Fisch heran, der Fischer weicht, Der Fisch springt ein, Sacruna ist erreicht, Thrar trifft die Brust ihm mit des Dolches Schneide, Bluttropfen rieseln auf Sacruna's Kleide. Sacruna schäumt vor Wuth, er weicht im Nu, Kehrt um, wirft hoch sein Neß dem Fischhelm zu, Gefangen hat's, schon kollert Thrar am Boden; Ein grauses Schauspiel wird dem Volk geboten. Am strammen Neßseil schleift des Galliers Hand Den hingezerrten Bruttier durch den Sand, Der hingeschleppte Schild bahnt lange Streifen, Ausjubelnd klatscht das Volk dem wilden Schleifen. Und in der Mitte hält der Gallier jeßt; Den Fuß auf seines Gegners Brust geseßt, Forscht er umher nach des Gefangnen Loose, Ob er den Dreizack in die Brust ihm stoße. Den Daumen hebt das Volk in blut'ger Luft, Stracks fährt der Dreizack in des Bruttiers Brust, Das Blut sprigt auf, färbt sein Gesicht das bleiche, Und bald liegt da die nezverstrickte Leiche. Mit einem Haken naht ein Diener dort, Er schlägt ihn ein und schleppt den Leichnam fort; Dem lautbeflatschten Sieger fliegt zum Lohne Vom Volke zu die bunte Palmenkrone. · ";Trier und seine Umgebung in Sagen und Liedern
8;1;8;8;Der Frankenfürst;NaN;Das Amphitheater;Trier;6.675;49.76917;"Auf erhabnem Purpurpfühle, Unter goldnem Baldachin, Sigt und schaut die Thiergefechte Dort der Kaiser Constantin. Festlich prangen alle Räume, Alles glänzt in heitrer Pracht, Denn der Kaiser feiert heute Die gewonn'ne Frankenschlacht. Von des Meers entlegnen Ufern, Von der Donau und dem Rhein, Trafen zu dem hohen Feste Zahlreich die Gesandten ein. In dem großen Rundgebäude Wimmelt Kopf an Kopf gedrängt, Und mit duft'gem Rosenwasser Wird die Menge oft besprengt. Ueber aller Size Stufen Schwebt die Decke, goldgestickt, Und die Götterbildernischen Sind mit grünem Laub geschmückt. Heute prangt auch die Arena In der reizendsten Gestalt: Bäume, Büsche, Felsenhöhlen Bilden sie zu einem Wald. Aus den Höhlen stürzen Tiger, Aus den Büschen brüllt der Leu, Und es fliehn ein Bär vorüber Und ein gelber Panther scheu. Einen Elephanten griffen Eben fünfzehn Doggen an, Alle schlug sein Rüffel nieder, Daß das Blut in Strömen rann. Kurze Weile, und der Sieger Brüllt im Berge eingesperrt; Die erschlagnen Hunde werden Schnell mit Haken weggezerrt. Stille herrscht umher im Walde, Harrend sißt die Menge da, Denn der Augenblick des Kampfes, Des ersehntesten, ist nah. Nagais, der Fürst der Franken, Ward gefangen in der Schlacht, Und zur Strafe seinen Muthes Schloß ihn ein des Kerkers Nacht; Heute soll im Thiergefechte Er den Todeskampf bestehn Und dem Kaiser und dem Volke Schlachttriumph und Spiel erhöhn. In der dichtgedrängten Menge Klopst vor Sehnsucht jede Brust, Eines Fürsten Kampf zu sehen, Welches Schauspiel, welche Lust! Wohl nach langem schwerem Streite Gibt der Fürst sein Leben preis, Hei! wie wird er fechten, wüthen, Hei! wie wird er ringen heiß. Knurrend stürzt sich jezt ein Löwe Durch das Waldgebüsch daher: Seit zwei Tagen, seit zwei Nächten Gab man ihm kein Futter mehr. Feurig schaut er um im Kreise, Vom Geruch der Menschen wild, Schwingt den Schweif in schnellen Reifen, Beitscht mit ihm das Sandgefild. / Grausig hebt er seine Mähne, Seßt sich in gestreckten Lauf, Und vor heißem Fleischeshunger Springt er nach dem Podium auf. Schüßten Mauer nicht und Gitter, Um die Schaulust wär's geschehn! Selbst herab von hohen Sizen Tönt Geschrei und Angstgestöhn. Jest erscheint ein schlanker Jäger, Langsam schreitend aus dem Wald: Ragais, der Fürst, er ist es! Ruhig schweift sein Blick und kalt. Eine Pardelhaut umwindet Ihm die Brust als Jagdgewand, Einen leichten Jagdspieß gab man Ihm als Waffe in die Hand. Ragais erspäht den Kaiser Droben in dem Zelt von Gold, Wirft den Spieß, daß er dem Kaiser Hochher vor die Füße rollt. Da auch stürzt der grimme Löwe Auf den Jäger durch den Hain; In des Löwen offnen Nachen Drängt der Fürst sein Haupt hinein. ";Trier und seine Umgebung in Sagen und Liedern
9;1;9;9;Bestrafte Untreue;NaN;Das Amphitheater;Trier;6.675;49.76917;"„Wer führt uns aus dem Nuwerthal wasserleitenden Kanal, Daß wir des kühlen Tranks uns freuen? Wer wird mit vollem Kunstvertrau'n Uns ein Amphitheater bau'n, Wo thürmend sich die Size reihen ?"" So klagten einst in alter Zeit Die Bürger Trier's sich ihr Leid: Sie hatten Brunnen, sich zu laben, Auch bilden Trier's Berge bunt Ein groß Amphitheater- Rund: Wer viel hat, will oft mehr noch haben. Da trat der Prinz Katholdus auf Und ließ der Zunge freien Lauf: ,, Bürger, wollt ihr Bäche leiten, Wollt ihr Amphitheater bau'n, Um Thier- und Fechterkampf zu schau'n: So zahlt die Kosten auch bescheiden! Auf! spendet freudig mir das Geld, Ich bin's, der euch zufrieden stellt: Ich will die Wasserleitung graben, Will des Amphitheaters Bau Erhöh'n bis in des Himmels Blau, Nur laßt das nöth'ge Geld mich haben!” ,,Katholdus hoch!"" so schrie'n sie laut, Er sei's, dem man den Bau vertraut!"" "" Gleich reut den Prinzen sein Versprechen: Er soll durch Fels und Berg und Thal Den unterirdischen Kanal Von Ruwer bis nach Trier brechen. ― Katholdus kam bestürzt nach Haus, Er sah verstimmt und traurig aus: Sein Sclave tritt zu ihm mit Schmeicheln Und fragt und forscht mit arger Lift, Was seines Herren Kummer ist: Katholdus sprach:,,Ich kann nicht heucheln. Ein Ehrenwort füllt mich mit Grau'n, Da soll ich ein Theater bau'n; Doch schreckt mich mehr noch das Versprechen: Ich soll durch Fels und Berg und Thal Den unterirdischen Kanal Von Ruwer bis nach Trier brechen."" „Nichts weiter!“ sprach der Sclave kühn, ,,Du stellst das Rundtheater hin, Ich bringe den Kanal zu Stande, Zu Stande zu derselben Frist, Wann dein Theater fertig ist: Mein Leben seg' ich dir zum Pfande. Doch wenn hieher das Wasser dringt, Eh dir dein eigner Bau gelingt, Dann zahlst du selber mit dem Leben!"" Katholdus willigt freudig ein, Er denkt: ich will schon fertig sein, Doch du, du wirst den Kopf mir geben. Der Sclave, schön und schlank von Leib, Er buhlte mit des Herren Weib, Sie war's, die ihn zum Herren sandte, Sie war's, die den Vertrag ersann, Sie spornt auch jezt den Buhlen an, Daß heiß sein Baubetrieb entbrannte. Stolz hob sich in des Himmels Blau Schon des Amphitheaters Bau, Vom höchsten Säulenkranz umschloffen ; Vollendet läuft auch der Kanal Bis Trier aus dem Ruwerthal, Doch steh! kein Waffer kommt geflossen. Der Sclave klagt's der Buhlerin, Sie führt ihn bei der Nacht Beginn Zu ihres Ehherrn Schlafgemache, Und wo das Ehelager stand, Verbirgt sie ihn mit eigner Hand: Er stillverborgen hält dort Wache. Und als es später Abend war, Da steigt zu Bett das Ehepaar; Die Frau beginnt:,,Der Wicht von Sclave, Vollendet hat er den Kanal, Doch schießt hinein kein Wasserstrahl, Den Stolzen trifft mit Recht die Strafe!"" ,,Was Wunder!"" äußert der Gemahl, ,,Luftlöcher fehlen dem Kanal, Jezt kann darin kein Wasser fließen, Der Luftzug nur läßt Wasser zu: Für Zug gesorgt, dann wird im Nu Das Wasser den Kanal durchschießen. Der Sclave lauscht, der Herr schläft ein, Und aus dem düstern Kämmerlein Schleicht rasch der Sclav' in aller Stille. Er weckt der Werkner große Zahl, Durchsticht mit Eisen den Kanal, Und steh! das Wasser strömt in Fülle. Der Sclave jauchzt und schon von fern Ruft er, nach Haus gekehrt, dem Herrn: „Komm, sieh das schöne Wasser wallen!"" Katholdus ras'te, schaurig trat Ihm vor den Geist der Frau Verrath: Soll er von Sclavenhänden fallen? Katholdus faßt sein treulos Weib, Schleppt ihren halbentseelten Leib Zu des Amphitheaters Schwelle, Erklimmt die Zinnen, stürzt hinab Sich und sein Weib ins tiefe Grab: Katholdus-Chron hieß einst die Stelle. ";Trier und seine Umgebung in Sagen und Liedern
10;1;10;10;Katholdis;NaN;Das Amphitheater;Trier;6.675;49.76917;"In des Berges weiter Oeffnung Klafft ein tiefer Brunnenschacht; Fliehend seines Weibes Neze, Barg Katholdus seine Schäße Dort in graufenvolle Nacht. Oben an dem Brunnenschachte Sigt Katholdis, anmuthreich, Angethan mit weißem Kleide, Hellumstrahlt von Geldgeschmeide, Unbeweglich, todtenbleich. An Katholdis Seite lauert, Feurig blickend Tag und Nacht, Ein entseßlich großer Drache, Unermüdlich hält er Wache Bei dem schägereichen Schacht. In des Drachens Schnabel flimmert Hell ein goldnes Schlüffelein: Wer das zu rauben wüßte! Deffnen könnt' er jene Kiste, Die die Schäße schließet ein. Geh und nimm dir Muth zusammen, Stürz Katholdis in den Schacht: Von dem Zauberbann, dem bösen, Wirst du dann die Frau erlösen Und den Drachen, der da wacht. Zu erwirken die Erlösung, Glückt dir nur zur Neumondzeit; Durch dein muthiges Beginnen Wirst die Kiste du gewinnen: Denn der Schaß steht dir bereit. : Der Constantinische Palaßt. ";Trier und seine Umgebung in Sagen und Liedern
