sagenid;werkid;sagenidautor;sagenidimwerk;titel;sagenkategorie;sagengruppe;ortschaft;longitude;latitude;volltext;buchtitel
250;3;1;1;1. Die Geisterschlacht;A. Vom alten und neuen Glauben. (Mythische Sagen.);I. Von Seelen, Geistern und Gespenstern.;Bad Dürkheim;8.17236;49.4618;"1. Die Geisterschlacht.
In der ersten Hälfte des zwölften
Jahrhunderts ließ sich bei Neu-
leiningen ein seltsamer Sput
vernehmen. Aus einem Berge
tam in gewissen Nächten eine
bewaffnete Geisterschar hervor
um auf der nahen Ebene eine
große Schlacht zu schlagen. Es schien jedermann so,
als stritten sie zu Fuß und zu Roß mit großem
Getöse. Deutlich hörte man das Klirren der Waf-
fen, das Schnauben und Stampfen der Rosse, das
Stöhnen und Wehklagen der Verwundeten. Mit
der neunten Stunde zog jedesmal das ganze Heer
wieder in den Berg zurück. Drei Jahre lang dauerte
dieses Wesen, und obwohl viele Menschen, gelehrte
und ungelehrte, herkamen es mit anzuhören, so
wagte doch niemand sich dieser Geisterschlacht zu
nahen.
Endlich erschien der Abt Ruppert vom Kloster
Limburg bei Dürkheim, ein gelehrier und
frommer Mann, und wartete eines Abends unter
Gebet auf die Geister. In Schlachtordnung rückten
sie aus dem Berge hervor und kämpften länger und
wütender als je. Als sie nun um neun Uhr den
Rückzug antraten, stellte sich ihnen Abt Ruppert
an dem Berge gegenüber und beschwor sie im Namen
Jesu Halt zu machen und ihm Rede zu stehen.
Sie standen und er fragte, wer sie seien. Da sprach
der vorderste derselben: „Wir sind die armen Seelen
derer, die vor etlichen Jahren im Kampfe gegen
ihren rechtmäßigen Fürsten gefallen und unbegra-
ben an diesem Berge liegen geblieben sind. Du
siehst unsere Waffen, das Flämmchen aber, das du
siehst, ist ein unerträgliches Feuer, das uns mar-
tert."" Der Abt fragte, ob sie nicht erlöst werden
könnten. O ja,"" sagte jener, ,,durch Fasten, Beten,
Almosengeben und Messelesen. O, bittet für uns!""
Darauf schrieen alle zusammen: ,,Betet, betet!"" und
wurden ein Feuer und eine Flamme, bis sie im
Berge verschwanden.
Die Qual der Unglücklichen ließ den Abt nicht
rasten alles zu tun, was denselben Ruhe verschaffen
konnte. Und es gelang ihm. Nach dreißig Tagen
begab er sich wieder auf das Schlachtfeld der Gei-
ster; aber diese famen nicht mehr zum Vorschein
und statt des wilden Getöses und Klagens hörte
er ihren Jubelgesang in der Höhe. -
Von diesen bergentrüdten Geistern erzählt
eine alte Chronik aus dem Anfang des 13. Jahr-
hunderts also:
Im Wormsgau wurde an einigen Tagen
eine große bewaffnete Schar von hin- und zurück-
ziehenden Reitern gesehen. Wie zu einer beliebi-
gen Unterredung bildeten sie bald hier bald dort
Trupps, begaben sich aber um die neunte Stunde
zu einem gewissen Berge, von dem man sie auch
hatte ausziehen sehen.
Endlich nähert sich jemand von den Bewohnern
jener Gegend nicht ohne große Furcht dieser so selt-
samen Versammlung, geschützt durch das Zeichen des
Kreuzes. Bald beschwört er eine Person, die ihm
von jenen entgegenkam, im Namen des allmächtigen
Gottes, ihm die Veranlassung einer derartigen Er-
scheinung zu offenbaren.
Da erwiderte der Gefragte unter anderm:
„Wir sind nicht, wie ihr glaubt, Gespenster, auch
nicht, wie wir euch scheinen, eine Schar von Solda-
ten, sondern die Seelen getöteter Soldaten. Die
Waffen und die Kleidung und die Pferde sind für
uns jetzt Gegenstand der Pein, weil sie uns früher
Werkzeug der Sünde waren, und es ist in Wirk-
lichkeit alles brennend, was ihr an uns seht, ob-
wohl ihr das mit leiblichen Augen nicht unter-
scheiden könnt.""
In einem derartigen Auszuge soll auch der
vor einigen Jahren (im Jahre 1117) getötete Graf
Emicho erschienen sein und mitgeteilt haben, er
könne von dieser Strafe durch Gebete und Almosen
eriöst werden.
";Pfälzisches Sagenbuch
251;3;2;2;2. Die Fahrt der Toten;A. Vom alten und neuen Glauben. (Mythische Sagen.);I. Von Seelen, Geistern und Gespenstern.;Kaiserslautern;7.77161;49.443;"2. Die Fahrt der Toten.
In Lautern ruht längst kein Stein mehr
auf dem andern, wo einst die stolze Feste Barbaros-
sas prangte. Nur einmal im Jahre, am Sterbetage
des großen Kaisers (10. Juni), erhebt sich um
Mitternacht die untergegangene Burg und leuchtet
in altem Glanze. Alsdann steigen Ritter und
Knappen aus ihren Gräbern hervor und versam-
meln sich in stummer Trauer.
Auf den zwölften Glockenschlag setzt sich des
Kaisers Trauerzug in Bewegung. Lange Reihen
von schwarzen Rittern ziehen ohne Sang und Klang
aus den geöffneten Toren des Schlosses. Der erste
derselben trägt Barbarossas Haupt; oft glaubt
man dumpf den teuern Namen des Kaisers zu
hören.
Also bewegt sich der feierliche Zug durch alle
Straßen der Stadt ungefähr bis zur Zeit der Hah-
nenkrähe; dann nimmt er seinen eiligen Rückzug
6 
in die Feste. Die Gestalten verschwinden. Die
Ritter legen sich wieder ins Grab, die Kaiser-
burg ist wieder versunken und nur die Raben be-
zeichnen flatternd und krächzend die Stätte, wo
weiland Barbarossa in seiner Herrlichkeit thronte.
";Pfälzisches Sagenbuch
252;3;3;3;3. Die überschiffenden Mönche;A. Vom alten und neuen Glauben. (Mythische Sagen.);I. Von Seelen, Geistern und Gespenstern.;Speyer;8.19983;49.33049;"3. Die überschiffenden Mönche.
In der Stadt Speyer lebte vor Zeiten ein
Fischer. Als dieser eine Nacht an den Rhein kam
und sein Garn ausstellen wollte, trat ein Mann
auf ihn zu, der trug eine schwarze Kutte in Weise
der Mönche. Nachdem ihn der Fischer ehrsam be-
grüßt hatte, sprach der Fremde: „Ich komm' ein
Bote fernher und möchte gern über den Rhein.""
,,Tritt in meinen Nachen ein,"" antwortete der
Fischer, ,,ich will dich überfahren."" 
Da er nun diesen übergesetzt hatte und zurück-
kehrte, standen noch fünf andere Mönche am Ge-
stade, die begehrten auch zu fahren und der Fischer
frug sie bescheiden, warum sie doch bei so eitler
Nacht reisten. ,,Die Not treibt uns,' versetzte einer
der Mönche, ,,die Welt ist uns feind, so nimm dich
unserer an und Gottes Lohn dafür."" Der Fischer
verlangte zu wissen, was sie ihm geben wollten für
seine Arbeit. Sie sagten: „Jetzo sind wir arm.
Wenn es uns wieder besser geht, sollst du unsere
Dankbarkeit schon spüren.""
Also stieß der Schiffer ab. Wie aber der Nachen
mitten auf den Rhein kam, erhob sich ein fürchter-
licher Sturm. Wasserwellen bedeckten das Schiff
und der Fischer erblaßte. „Was ist das,"" dachte
er bei sich, „bei Sonnenniedergang war der Him-
mel klar und lauter und schön schien der Mond,
woher dieses schnelle Unwetter?"" Und wie er seine
Mönche hob zu Gott zu beten, rief einer der Mönche:
,,Was liegst du Gott mit Beten in den Ohren,
steuere dein Schiff!"" Bei diesen Worten riß er ihm
das Ruder aus der Hand und fing an den armen
Fischer elend zu schlagen. Halbtot lag der im
Nachen. Der Tag begann zu dämmern, die schwar-
zen Männer verschwanden und der Himmel war
wieder klar wie vorher. Der Schiffer ermannie
sich, fuhr zurück und erreichte mit Not seine
Wohnung.
Des andern Tages begegneten dieselben Mönche
einem Boten, der früh aus Speyer wollte, in einem
rasselnden, schwarz bedeckten Wagen, der aber nur
drei Räder und einen langnasigen Fuhrmann hatte.
Bestürzt stand er still, ließ den Wagen vorüber und
sah bald, daß er sich mit Prasseln und Flammen in
die Lüfte verlor. Dabei vernahm man Schwerter-
klingen, als ob ein Heer zusammenginge. Der
Bote wandte sich, kehrte zur Stadt und zeigte alles
an; man schloß aus diesem Gesicht auf Zwietracht
unter den deutschen Fürsten.
Kaiserslautern.
zu Nr. 2.
";Pfälzisches Sagenbuch
253;3;4;4;4. Der ewige Jäger;A. Vom alten und neuen Glauben. (Mythische Sagen.);I. Von Seelen, Geistern und Gespenstern.;Bliesbolchen;7.11467;49.15374;"4. Der ewige Jäger.
In der Gegend um Bliesbolchen und
Mengen (Bliesmengen) hörte man lange Zeit
um die Mitternacht hoch in den Lüften ein wildes
Treiben: Hallo- und Jagdrufen, Hundegebell und
Hörnerschall. Das währte bis zum ersten Hahnen-
schrei, wo es plötzlich wieder still ward. Jedermann
wußte, daß das der ewige Jäger sei, und wer den
Zug ruhig vorübergehen ließ, dem geschah kein Leid.
Wer aber spottend nachrief, der wurde heftig ge-
stoßen und geschlagen, ohne daß er dabei jemand
gesehen hätte.
Jetzt hört man nur noch in der St. Hubertus-
nacht den Zug des ewigen Jägers. Das Volk weiß
von ihm, daß er im Leben ein wüster und roher
Mensch war, der sich wenig um Gott und die Welt
kümmerte und gerade an Sonntagen die schlimm-
sten Jagden hielt.
Einst war er auch an einem Feiertage drau-
ßen und störte alles durch sein wildes Jagdgeschrei.
Da kam ihm ein Hase in den Weg, dem er lange
vergebens nachjagte. Endlich schrie er voller Zorn:
,,Dich Teufel muß ich haben und muß ich dir ewig
nachlaufen!""
Und seit der Zeit ging es fort ohne Rast und
Ruhe über Stod und Stein, hoch in den Lüften und
tief am Boden durch das Tal der Blies. So konnte
er zur Strafe nicht mehr ablassen vom wilden Jagen
und hat auch heute noch nicht volle Ruhe gefunden.
";Pfälzisches Sagenbuch
254;3;5;5;5. Der Jägerpfuhl;A. Vom alten und neuen Glauben. (Mythische Sagen.);I. Von Seelen, Geistern und Gespenstern.;Erfweiler;7.18454;49.19662;"5. Der Jägerpfuhl.
Auf der höchsten Stelle des Hölschberges bei
dem Dorfe Erfweiler lag noch zu Menschen-
gedenken ein kleiner Weiher, der Jägerpfuhl;
heute ist er mit Gras und Binsen zugewachsen.
Vor langer Zeit hauste daselbst ein grausamer För-
ster mit seinen Banditen. Niemand getraute den
Wald zu betreten und wehe dem, der in seine
Hände fiel.
Eines Tages verfolgte der Wüterich lange Zeit
einen Hasen. Der eilte dem Forsthause zu und um-
sprang dasselbe. Da rief der grimmige Jäger:
,,Wenn ich ihn nicht treffe, so soll mein Haus ver-
flucht und verwünscht sein und in den Boden sinken!""
Er schoß und fehlte. Und er und seine ganze Meute
versant in den Abgrund und an dem Orte entstand
ein Weiher, der Jägerpfuhl geheißen.
Aber der gottlose Förster hat auch heute noch
keine Ruhe gefunden. Zur Advents- und Fasten-
zeit fährt er durch den Wald und mit Geheul und
Hundegebell schreckt er bei Tag und Nacht den ein-
samen Wandrer, die Schar der Kinder und das
scheue Wild.
";Pfälzisches Sagenbuch
255;3;6;6;6. Der wilde Jäger von Sponheim;A. Vom alten und neuen Glauben. (Mythische Sagen.);I. Von Seelen, Geistern und Gespenstern.;Sponheim;7.72665;49.84496;"6. Der wilde Jäger von Sponheim.
Ein Graf Walram von Sponheim, der um
die Mitte des vierzehnten Jahrhunderts lebte,
10 
war von leidenschaftlicher Jagdlust erfüllt, also daß
er das Jagen im Soon höher achtete als sein Leben.
Wenig dagegen lag ihm an den Sonn- und Feier-
tagen und an dem Eigentum der Armen. Er schonte
nicht ihre reife Saat und hatte für ihr Flehen nur
Hohnlachen und Spott.
Wie er nun einstmals zu Walde ritt, als rings-
um die Glocken zur Messe riefen, da gesellten sich
zwei Reiter zu ihm, einer auf einem Schimmel zu
seiner rechten, der andere auf feuerfarbenem Rosse
zu seiner linken Seite. Mit Hussasah und Hunde-
gebell ging es durch die Felder. Da bat der rechts
in aller Sanftmut den Grafen doch heute umzu-
kehren und des Feiertages und der armen Leute zu
gedenken; der aber zur Linken lachte hell auf und
spornte an zu immer tollerem Jagen.
Da sprang eine Hindin auf, floh windschnell
vor dem Jäger her und mischte sich um seinen
Blicken zu entgehen in eine zahme Herde. Der Graf
aber sprengte in dieselbe hinein, peitschte die Hir-
len und schoß ihre Tiere zusammen. Und immer
warnte der Reiter rechts und hetzte der zur Linken.
Die Hindin entrann in das Dunkel des Soonwaldes
und suchte Schutz bei einem Klausner. Doch auch
in dessen Einsiedelei wollte der Rasende eindrin-
gen; da hob der fromme Mann die Hände und ein
schwarzes Wetter stieg am Himmel auf, das schlug
mit Blitz und Donner den Frevler nieder.
Seit dieser Zeit muß er als wilder Jäger mit
seinen Spießgesellen weiterreiten und allnächtlich
hört man ihn, wie er mit Hundegekläff und Hussah-
rufen vorüberzieht. Und so wird es wohl gehen
bis zum jüngsten Tage.
";Pfälzisches Sagenbuch
256;3;7;7;7. Der wilde Jäger am Donnersberg;A. Vom alten und neuen Glauben. (Mythische Sagen.);I. Von Seelen, Geistern und Gespenstern.;Donnersberg;7.95;49.6;"7. Der wilde Jäger am Donnersberg.
Der wilde Jäger haust noch überall in den
Wäldern des Donnersberges. Da hört man zu Zei-
ten sein Hussah- und Hudadarufen, wenn er mit sei-
nem Hunde durch die Lust jagt.
Die Leute wissen auch, daß er allnächtlich vom
Donnersberg nach dem Melibokus im Odenwald
reitet. Jenseits des Rheines kommt er durch einen
Hof, der ein vorderes und ein hinteres Tor hat.
Ist das erste verschlossen, so schlägt er mit aller Kraft
dagegen um es zu zertrümmern.
Auch durch das Dorf Würzweiler schrei-
tet er jede Nacht von der Ruine Stolzenberg her
nach Ruppertsecken zu. Dabei muß er gleichfalls
durch einen Hof mit zwei Toren. Dabei ruft er,
wie das Volk erzählt:
,,Ein Paar bleierne Schuh' hab' ich schon,
ein Paar bleierne Schuh' krieg' ich noch.""
";Pfälzisches Sagenbuch
257;3;8;8;8. Der Lindenschmidt;A. Vom alten und neuen Glauben. (Mythische Sagen.);I. Von Seelen, Geistern und Gespenstern.;Frankenthal;8.35357;49.53414;"8. Der Lindenschmidt.
An der südlichen Pfalzgrenze in der Nähe der
Hohenburg liegt die spärliche Ruine des Felsen-
nestes Löwenstein, vom Volke ,,Linden-
schmidt"" genannt.
Dort wohnte einst der Lindenschmidt,
ein gefürchteter Raubritter und Wegelagerer, von
dem das Volk noch heute singt und sagt. Besonders
hatte er es auf die Kaufleute abgesehen, die auf der
Rheinstraße dahinzogen, und um seine Verfolger
irre zu leiten, ließ er seine Pferde verkehrt beschla-
gen. Noch zeigt man auf der Burg ein verschüttetes
Felsentor, aus dem er zu seinen Streifereien so man-
ches Mal ausritt.
Von des Räubers Ende weiß ein altes, noch
immer gesungenes Lied also zu erzählen:
Einmal ward dem Markgrafen von Baden die
Kunde, daß der Lindenschmidt eben wieder am
Rheine hin und her streife und sein Handwerk treibe.
Da stellte er den Junker Kaspar von Freundsburg,
des Löwensteiners erbitterten Gegner, als Häscher
auf. Der war dazu bereit und schickte ein kluges
Bäuerlein aus, damit es Weg und Steg erforsche
um dem Lindenschmidt auf die Spur zu kommen.
Zu Frankenthal im Wirtshaus kehrte das
Bäuerlein ein und bestellte Essen für die Fuhr-
leute und Raum für die Pferde, die drei wohl-
beladene Wagen von der Frankfurter Messe brin-
gen. Da sprach der Wirt:
„Ja, wein und brot hab ich genug,
im stall da sten drei rosse,
die seind des edlen Lindenschmid,
er nert sich auf freier Straßen.""
Nun wußte der Kundschafter genug und frohen
Mutes meldete er es seinem Herrn, daß er alsbald
mit seinen Reisigen herbei eile.
Des Lindenschmidts Sohn, der gerade den
Pferden das Futter gab, hatte die Sache mit an-
gehört und weckte den Vater, der hinter dem Tische
lag und schlief:
,,Ste auf, herzliebster Vater mein!
dein Verräter ist schon kommen.""
Da trat auch schon Junker Kaspar in die Stube
und forderte, daß sich der Lindenschmidt gefangen
gebe. Der aber setzte sich zur Wehr:
,,Der Lindenschmidt der war ein freier reutersmann,
wie bald er zu der klingen sprang:
,,wir wöllen erst ritterlich fechten!"" -
Es waren der bluthund also vil,
sie schlugen ihn zu der erden.""
Und als ihn die Häscher gefesselt hatten, da bat
er den Ritter, er möge doch des Sohnes und des
Reitersjungen schonen:
„Und haben sie jemands leid getan,
darzu hab ich sie gezwungen.""
Junker Kaspar der sprach nein dazu:
,,das kalb muß entgelten der kuh.""
Sie wurden alle drei nach Baden gebracht
und schon am nächsten Tage fielen ihre Köpfe.
14 
Aber noch immer reitet der Lindenschmidt auf
hohem Rosse und führt das wilde Heer am Rhein-
strom auf und ab und über den Wasgau hin. Dann
gibt es, so glaubt das Volk, Krieg und böse Zeit.
Kehrt er aber durch die Wälder in die wüste Felsen-
burg zurück, so wird's wieder Frieden.
";Pfälzisches Sagenbuch
258;3;9;9;9. Der Einaug vom Scharfeneck;A. Vom alten und neuen Glauben. (Mythische Sagen.);I. Von Seelen, Geistern und Gespenstern.;Dernbach;7.6;50.55;"9. Der Einaug vom Scharfeneck.
Ritter Einaug vom Scharfeneck war ein
gar schlimmer Geselle. Raub, und wenn es gerade
sein mußte, auch Mord dünkten ihm nichts übles.
Schon sein finsteres Antlitz mit dem einen Auge
ließ es ahnen, daß hinter der gefurchten Stirne ein
böser Geist wohne.
Eines Tages gedachte der Ritter einen guten
Fang zu tun. Es war schon Abend, als er seinen
stärksten Knecht nahm und mit ihm gen Schloß
Ramberg ritt. „Hörst du"", sagte Einaug zu sei-
nem Burschen, ,,der von Ramberg hat große Reich-
tümer. Um Mitternacht schleichst du in sein Ge-
mach, erstichst ihn und leerst die Kisten und Kasten
oben an seinem Bette! Ich haue unterdes die
Wache im Hofe zusammen und lasse die Zugbrücke
nieder.""
Die beiden Schnapphähne wurden auf Ram-
berg freundlich aufgenommen und vom Schloß-
herrn nach Ritterart bewirtet. Rasch verflogen die
Stunden und man begab sich endlich zur Ruhe. Der
fromme Ritter von Ramberg konnte indes selbige
Nacht nicht schlafen. Er wußte selbst nicht, was ihm
die Augen offen hielt, und ging deshalb in die
Burgkapelle um zu beten, daß der Herr ihn vor Un-
heil bewahre.
Zur selben Zeit schlich des Einaugs Knecht in
das Gemach des Burgherrn, fand aber das Bett
desselben leer. Er glaubte irre zu sein und ging
in das nächste Zimmer, wo jemand tief schnarchend
da lag. Sogleich stieß der Bube dem Schlafenden
das Schwert in die Brust und suchte dann nach dem
Schatze. Während er noch umhertastete, kam Ram-
berg leise im Nachtkleide in sein Schlafgemach zu-
rück. Da dünkte ihm, er höre Geräusch. Sogleich
ergriff er sein Schwert, ging vorsichtig dem Ge-
räusche nach und fand so den Knecht, den er sogleich
überfiel und entwaffnete.
Nun ergab sich, daß der Mordgeselle seinen eige-
nen Herrn erstochen hatte, und das Geständnis des
Missetäters zeigte dem Herrn von Ramberg ferner,
welch großer Gefahr er entgangen war. Ergriffen
verzieh er dem Mörder; doch gab er ihm bei seiner
Entlassung die eindringlichsten Ermahnungen. Mit
Einaug aber hatte Gott gesprochen.
Das Volk kennt ihn jetzt noch unter dem Namen
Schlosser oder Mantel und hat ihn schon oft ge-
sehen. Einmal treibt er als wilder Jäger
sein Unwesen, ein andermal schreckt er nächtliche
Wanderer und führt sie irre. Besonders häufig
zeigte er sich den Pottaschesiedern von Dernbach,
wenn sie nachts am Schloßberge Holz frevelten. In
schwarzem Mantel und mit breitem Kremphut stand
er plötzlich vor ihnen und sie sahen ihn, wie er
riesengroß emporwuchs, so daß sie vor Angst ihr Holz
abwarfen und flohen. Dann stieß er entweder ein
lautes Hohngelächter aus oder ließ sich von den
Männern noch eine Strecke auf den Schultern tra-
gen, daß sie schweißtriefend ins Dorf tamen.
";Pfälzisches Sagenbuch
259;3;10;10;10. Der Geist vom Scharfeneck;A. Vom alten und neuen Glauben. (Mythische Sagen.);I. Von Seelen, Geistern und Gespenstern.;Dernbach;7.6;50.55;"10. Der Geist vom Scharfeneck.
Einst folgte ein nackter, bleicher, geisterhafter
Mann vom Schloß Scharfeneck einem Pottasch-
sieder von Dernbach bis in seine Hütte. Dort
saß er frierend einen Tag lang in der Ecke am Ofen
und schien traurig und schläfrig. Er sprach kein
Wort, nahm auch nichts von den vorgelegten Spei-
sen, bis der Eigentümer der Hütte sich Mut faßte
und seinen merkwürdigen Gast anredete, da tat der
Geist sehr froh und bat seinen Wirt unerschrocken
zu sein und ihn zu erlösen. Reicher Lohn solle ihm
dafür zuteil werden. Bleibe aber seine Bitte un-
gehört, so müßten abermals 700 Jahre vergehen,
bis ihn ein anderer von seinem schlimmen Los be-
freien könne. Der Pottaschsieder versprach seine
Hilfe und der Geist verschwand.
Um die Mitte der neunten Nacht aber, als es
furchtbar regnete und stürmte, klopfte der Geist am
Fensterladen des Mannes. Der stand auf, kleidete
sich an und ging mit. Nach einer Weile hörten Un-
wetter und Dunkelheit auf, der Geist schien zu leuch-
ten und um die beiden Wanderer war es hell und
warm wie an einem Frühlingstage.
Vor den Mauern von Scharfeneck hielt der
sonderbare Führer an und gab seinem Begleiter
eine goldene Rose. Er bat ihn mit derselben alle
Gemächer furchtlos und stumm zu durchschreiten bis
zu einer großen, schwarzen Kiste. Die solle er mit
der Rose ausschließen und die Erlösung sei vollbracht.
Der Mann nahm die Rose und vor ihm öffne-
ten sich plötzlich zwei große Türflügel, die er nie zu-
vor auf Scharfeneck gesehen hatte. Er trat ein und
befand sich in einem Saale, der hell war wie von
hundert Lichtern, und Gold- und Silbergeräte
strahlten ringsum. Von da gelangte er in einen
zweiten Raum, an dessen Wänden herrliche Rüstun-
gen hingen. Ängstlich schritt er vorüber und kam
in einen dritten wunderbar schönen und hellen
Saal. Da saßen viele vornehme Herren und Frauen
beim Festmahle und die Tische waren mit goldenen
Gefäßen reich besetzt. Doch trotz der Pracht und
Herrlichkeit schienen alle traurig und schauten
schweigend auf den eintretenden Mann. Der ging
erschrocken weiter zu dem anstoßenden Gemach.
Dort fand er die große eiserne Kiste, die er
öffnen sollte. Ein großer schwarzer Hund mit
glühenden Augen lag oben auf dem Deckel. Er reckte
sich hoch empor und gähnte den Mann an, als er
sich näherte um aufzuschließen. Darob geriet der
Pottaschsieder so in Angst, daß er die Rose fallen
ließ und schrie: ,,Jesus, Maria!"" In demselben
Augenblick vernahm er ein lautes Krachen und
Stöhnen. Der wunderbare unterirdische Palast war
verschwunden und wie von unsichtbaren Händen
hinausgeschleudert fand er sich wieder vor den
Mauern der Burgruine in dunkler, frostiger Regen-
nacht.
";Pfälzisches Sagenbuch
