Column 2	Column 5	Column 6	Column 7	Column 11
Aach,Aach,	49.78333	6.6	P	08
Abenheim,Abenheim,Abenheim	49.67612	8.28392	P	08
Abentheuer,Abentheuer,	49.65	7.1	P	08
Abtei,Abtei,	49.68335	6.95423	P	08
Abtweiler,Abtweiler,Abtvajler,Abtweiler,Apweiler,a bu te wei lei,abtwylr,Абтвайлер,Абтвајлер,ابتویلر,阿布特韦勒	49.75	7.65	P	08
Acht,Acht,	50.36667	7.06667	P	08
Achtelsbach,Achtelsbach,Akhtel'sbakh,Akhtelsbakh,a te er si ba he,Ахтелсбах,Ахтельсбах,اکتلس‌باچ,阿特尔斯巴赫	49.62535	7.08995	P	08
Ackerbach,Ackerbach,	50.23771	7.98087	P	08
Adenau,Adenau,Adenau,a de nao,adenau,adnaw,Аденау,آدناو,アーデナウ,阿德瑙	50.38238	6.93291	P	08
Adenbach,Adenbach,Adenbakh,a deng ba he,adnbakh,Аденбах,ادنباخ,阿登巴赫	49.66667	7.65	P	08
Adorf,Adorf,	50.6869	7.51861	P	08
Affler,Affler,	50.01667	6.15	P	08
Aftholderbach,Aftholderbach,Aftholderbach	50.21165	7.86085	P	08
Ahlbach,Ahlbach,Ahlbach,Ahlback	50.6554	7.51411	P	08
Ahrbrück,Ahrbrueck,Arbrik,Arbrjuk,Pons ad Aram,a er bu lu ke,ahrbrak,Арбрик,Арбрюк,اهربراک,阿尔布吕克	50.48225	6.98804	P	08
Ahrweiler,Ahrweiler,Ahrweiler,Arvajler,Dzielnica Ahrweiler,Loundkring Ahrweiler,Okrug Arvajler,Zemsky okres Ahrweiler,Zemský okres Ahrweiler,a er wei lei xian,Арвайлер,Округ Арвајлер,اہرویلر,阿尔魏勒县	50.54169	7.09549	P	08
Ahütte,Ahuette,	50.33846	6.77045	P	08
Ailertchen,Ailertchen,	50.59861	7.94194	P	08
Albersbach,Albersbach,	49.50797	7.54652	P	08
Albersweiler,Albersweiler,Al'bersvajler,Albersvajler,a er bo si wei lei,albrswylr,Алберсвајлер,Альберсвайлер,البرسویلر,阿尔伯斯韦勒	49.21917	8.03	P	08
Alberthofen,Alberthofen,Alberthofen	50.62863	7.60644	P	08
Albessen,Albessen,Al'bessen,Albesen,a er bei sen,albsn,Албесен,Альбессен,البسن,阿尔贝森	49.51667	7.33333	P	08
Albig,Albig,Al'big,Albig,a er bi xi,albyg,Албиг,Альбиг,البیگ,阿尔比希	49.77361	8.12139	P	08
Albisheim,Albisheim,Albisheim	49.64941	8.09442	P	08
Albsheim an der Eis,Albsheim an der Eis,Albsheim,Albsheim an der Eis	49.58198	8.18158	P	08
Alf,Alf,Al'f,Alf,a er fu,alf  rynlnd-platynt,Алф,Альф,الف، رینلند-پلاتینت,阿尔夫	50.05453	7.12342	P	08
Alferberg,Alferberg,	50.23719	6.29669	P	08
Alflen,Alflen,Aflen,Al'flen,Alflen,a er fu lun,alfln,Алфлен,Альфлен,الفلن,阿尔夫伦	50.17683	7.0395	P	08
Algenrodt,Algenrodt,Algenrodt,Algenroth	49.71532	7.28488	P	08
Alhausen,Alhausen,	50.72514	7.7205	P	08
Alken,Alken,	50.25	7.45	P	08
