Deutsch,Französisch,Elsässisch,Département,nom_commune,latitude,longitude
Achenheim,Achenheim,Àchene,Unterelsass,Strasbourg,48.57126798,7.767526795
Achenheim,Achenheim,Àchene,Unterelsass,Strasbourg,48.57126798,7.767526795
Achenheim,Achenheim,Àchene,Unterelsass,Strasbourg,48.57126798,7.767526795
Adamsweiler,Adamswiller,Àdàmswiller,Unterelsass,Saverne,48.74022501,7.342062382
Adamsweiler,Adamswiller,Àdàmswiller,Unterelsass,Saverne,48.74022501,7.342062382
Adamsweiler,Adamswiller,Àdàmswiller,Unterelsass,Saverne,48.74022501,7.342062382
Algolsheim,Algolsheim,Àlgelse,Oberelsass,Colmar-Ribeauvillé,,
Allenweiler,Allenwiller,Àllewiller,Unterelsass,Saverne,48.74022501,7.342062382
Allenweiler,Allenwiller,Àllewiller,Unterelsass,Saverne,48.74022501,7.342062382
Allenweiler,Allenwiller,Àllewiller,Unterelsass,Saverne,48.74022501,7.342062382
Altdorf,Altorf,Àldorf,Unterelsass,Molsheim,48.54471962,7.49950013
Alteckendorf,Alteckendorf,Àltackedorf,Unterelsass,Strasbourg,48.57126798,7.767526795
Alteckendorf,Alteckendorf,Àltackedorf,Unterelsass,Strasbourg,48.57126798,7.767526795
Alteckendorf,Alteckendorf,Àltackedorf,Unterelsass,Strasbourg,48.57126798,7.767526795
Altenach,Altenach,Àltenàch,Oberelsass,Altkirch,47.62103365,7.244843296
Altenheim,Altenheim,Àltene,Unterelsass,Saverne,48.74022501,7.342062382
Altenheim,Altenheim,Àltene,Unterelsass,Saverne,48.74022501,7.342062382
Altenheim,Altenheim,Àltene,Unterelsass,Saverne,48.74022501,7.342062382
Altkirch,Altkirch,Àltkìrech,Oberelsass,Altkirch,47.62103365,7.244843296
Altmünsterol,Montreux-Vieux,(*) Àltmìnschtràl,Oberelsass,Altkirch,47.62103365,7.244843296
Altpfirt,Vieux-Ferrette,Àlt-Pfìrt,Oberelsass,Altkirch,47.62103365,7.244843296
Altthann,Vieux-Thann,Àlt-Dànn,Oberelsass,Thann-Guebwiller,,
Altweier,Aubure,Altwihr,Oberelsass,Colmar-Ribeauvillé,,
Altweiler,Altwiller,Àltwiller,Unterelsass,Saverne,48.74022501,7.342062382
Altweiler,Altwiller,Àltwiller,Unterelsass,Saverne,48.74022501,7.342062382
Altweiler,Altwiller,Àltwiller,Unterelsass,Saverne,48.74022501,7.342062382
Ammerschweier,Ammerschwihr,Ammerschwihr,Oberelsass,Ribeauvillé,48.20651392,7.286724683
Ammerzweiler,Ammertzwiller,Àmmerzwìller,Oberelsass,Altkirch,47.62103365,7.244843296
Andlau,Andlau,Àndlöi,Unterelsass,Sélestat-Erstein,,
Andolsheim,Andolsheim,Àndelse,Oberelsass,Colmar-Ribeauvillé,,
Appenweiher,Appenwihr,Àppewihr,Oberelsass,Colmar,48.10994058,7.384686903
Artolsheim,Artolsheim,Àrtelse,Unterelsass,Sélestat-Erstein,,
Arzenheim,Artzenheim,Ààrze,Oberelsass,Colmar,48.10994058,7.384686903
Aschbach,Aschbach,Àschbàch,Unterelsass,Haguenau-Wissembourg,,
Aspach,Aspach,Ààschpi,Oberelsass,Altkirch,47.62103365,7.244843296
Aßweiler,Asswiller,Àsswiller,Unterelsass,Saverne,48.74022501,7.342062382
Aßweiler,Asswiller,Àsswiller,Unterelsass,Saverne,48.74022501,7.342062382
Aßweiler,Asswiller,Àsswiller,Unterelsass,Saverne,48.74022501,7.342062382
Attenschweiler,Attenschwiller,Àtteschwìller,Oberelsass,Mulhouse,47.7491633,7.325700475
Attenschweiler,Attenschwiller,Àtteschwìller,Oberelsass,Mulhouse,47.7491633,7.325700475
Attenschweiler,Attenschwiller,Àtteschwìller,Oberelsass,Mulhouse,47.7491633,7.325700475
Attenschweiler,Attenschwiller,Àtteschwìller,Oberelsass,Mulhouse,47.7491633,7.325700475
Au,Lauw,d Ài,Oberelsass,Thann-Guebwiller,,
Auenheim,Auenheim,Auenem,Unterelsass,Haguenau-Wissembourg,,
Avolsheim,Avolsheim,Àvelse,Unterelsass,Molsheim,48.54471962,7.49950013
Bad Morsbronn,Morsbronn-les-Bains,Morschbrunn,Unterelsass,Haguenau-Wissembourg,,
Bad Niederbronn,Niederbronn-les-Bains,Nìderbrunn,Unterelsass,Haguenau-Wissembourg,,
Balbronn,Balbronn,Bàlwere,Unterelsass,Molsheim,48.54471962,7.49950013
Baldenheim,Baldenheim,Bàldene,Unterelsass,Sélestat-Erstein,,
Baldersheim,Baldersheim,Bàldersche,Oberelsass,Mülhausen,,
