sagenid;werkid;sagenidautor;sagenidimwerk;titel;sagenkategorie;sagengruppe;ortschaft;longitude;latitude;volltext;buchtitel
83;2;1;1;Das rote Haus zu Trier und die Sage von Triers Gründung;NoCategory;NoGroup;Trier;6.63935;49.75565;"Am Marktplatz zu Trier steht der jezige Gasthof zum 
roten Haus, erbaut 1450, an der Stirnseite geziert mit 
den Bildsäulen der heiligen Apostel Peter, Paul, Philippus 
und der heiligen Helena. Früher hieß das Haus die Steipe 
und war das Schöffenhaus. Wo jezt der Speisesaal ist, 
war sonst eine offene Halle, die diente den Schöffen, allda 
des Morgens ihren Frühtrunk und des Abends ihren 
lich verboten, sich mit Wein zu überladen, Gott zu lästern 
thüre steht die stolze Inschrift : 
Ante Romam Treviris stetit annis mille trecentis, 
Perstet et aeterna pace fruatur. Amen. 
Zu deutsch: 
Tausend dreihundert Jahr vor Rom schon Trier erbaut war, 
Möge es ewig bestehn, Friede genießend. Amen. 
Daß der Stadt ein so fvbelhaftes Alter zugesprochen 
hunderte lang der merkwürdigen Schrift unbedingt Glauben 
lichen an St. Matheis. Darin steht folgende Erzählung : 
Schon zu Abrahams Zeiten lebte im Morgenlande 
der König Trebeta, ein Sohn des Ninus und Stiefsohn 
liche Liebe zu ihm, und da er ihre Anträge zurückwies, 
nossen und irrte lange umher, bis er ins Thal der Mosel 
kam und da sich niederließ und eine Stadt baute, die nach 
ihm Treviris genannt wurde. Nach seinem Tode ward 
er von Hero, seinem Sohn und Erben, verbrannt und die 
Leiche auf dem Mons Juranus, einem Hügel östlich von 
schichte. Es findet sich allerdings auf dem erwähnten Berg 
ein aufgeworfener Erdhügel, den man früherhin für das 
Grab des Trebeta gehalten hat. Eine jüngere Sage erzählt: 
Als Franz von Sickingen 1522 Trier belagerte, hat er 
knecht solle seinen Helm mit Erde füllen und auf einer 
Stelle ausschütten, damit dadurch ein Denkmal jenes Ereig= 
nisses entstünde, darum heißt bis auf den heutigen Tag die 
Stelle das „Franzeknüppche. "" Bei Nachgrabungen im Jahre 
aus römischer Zeit unter dem Erdhügel verborgen, vielleicht 
die Reste des Tribunals, also der Richtstätte. Damit 
stimmt auch der Name Mons Juranus und der spätere 
deutsche Name Dimelberg. 
";Geschichten und Erzählungen des Moseltals
84;2;2;2;Wie das Trierer Land unter Römerherrschaft kam;NoCategory;NoGroup;Gallien;0.0;0.0;"Die Trevirer, ein mächtiger Volksstamm auf dem 
linken Rheinufer, dessen Hauptstadt das heute noch nach 
ihnen benannte Trier gewesen ist, bezeichneten sich selbst mit 
Stolz als Germanen. Als Julius Cäsar Gallien eroberte, 
warf er seine begehrlichen Blicke auch auf das Gebiet der . 
versammlungen der Gallier nicht besuchten und daß sie 
immerzu Germanen vom rechten Rheinufer zum Einfall in 
Gallien verlockten. Bei den Trevirern stritten damals 
Induciomar und sein Schwiegersohn Cingetorir um die 
Herrschaft. Cingetorir stellte sich auf Seite der Römer 
und erlangte dadurch deren Unterstüßung, Induciomar aber 
drückt und Induciomars Haupt dem Cäsar gebracht. Cäsars 
Feldherr Labienus schlug die leßten Reste der Aufständischen, 
Cingetorir aber erhielt die höchste Gewalt im Lande der 
Trevirer, jedoch als ein Untergebener der Römer. Dies 
geschah 51 Jahre vor Christi Geburt. 
";Geschichten und Erzählungen des Moseltals
85;2;3;3;Trier als römische Stadt;NoCategory;NoGroup;Trier;6.63935;49.75565;"Ließen die Römer anfangs den Trevirern eine gewisse 
Selbständigkeit, so war das nur eine Scheinfreiheit, die 
immer schattenhafter wurde und endlich ganz verschwand ; 
bald war Trier einfach eine römische Stadt. Von nun an 
entwickelte sich Augusta Trevirorum, so hieß jeßt der Ort, 
zu immer größerer Bedeutung : je wichtiger die Rheingrenze 
. 
schien, desto nötiger war es, in deren Nähe einen großen 
Waffenplay zu haben, desto nötiger auch, daß die Kaiser 
selbst sich dort aufhielten. Posthumus und Tetricus waren die 
ersten Kaiser, die in Trier weilten, Marimian, der Mitkaiser 
Diokletians, machte es im Jahr 287 völlig zur Residenz. 
Später ward zum dritten Mitkaiser Konstantius Chlorus 
erhoben, der gleichfalls in Trier wohnte. Sein Sohn war 
Konstantin, der sich in Neumagen unterhalb Trier einen 
prächtigen Palast erbaute und bekanntlich das Christentum 
als Staatsreligion anerkannte. Auch er hatte Trier zur 
Residenz, nach ihm Konstans und vor allem Valentinian I., 
seine Söhne Gratian und Valentinian II., zulegt Maximus. 
In diesem Zeitraum sind aus Trier 107 kaiserliche Geseze 
für das ganze Reich ergangen, von Rom aus dagegen nur 
zahlreiche Gebäude für den Hof, Wohnungen für Beamte, 
Befestigungen, Theater, Bäder, Tempel und dgl. Das 
ganze große Reich war in vier Präfekturen geteilt worden 
und Trier die Hauptstadt der einen, welche Gallien, 
Spanien, Britannien und Nordafrika in sich befaßte. Die 
Stadt war etwa doppelt so groß als das heutige Trier, 
die Festungsmauer zog sich die Hügel hinan und hatte 
vier Thore, darunter die mächtige Porta Nigra im Norden, 
die noch steht. Die Moselbrücke war nicht, wie jezt, am 
südlichen Ende der Stadt, sondern in deren Mitte. Wo 
die Mariminabtei liegt, erhob sich ein Apollotempel. Un= 
weit der Moselbrücke ragten die großartigen Bäder, in deren 
Nähe der von Valentinian I. errichtete Triumphbogen. 
Unter den öffentlichen Gebäuden stach vor allem ins Auge 
die später den fränkischen Königen zum Palast diente und 
zum Gottesdienst für die Evangelischen in Trier hergerichtet 
ist. Dann der Palast der Kaiserin Helena, der kaiserliche 
türmen, außerdem die Münze, Werkstätten, Bibliotheken, 
Paläste der Vornehmen, von denen die Reste des Palastes 
gedeckt worden sind. Vor den Thoren erstreckten sich weithin 
die Gräber mit teilweise bedeutsamen und reichgeschmückten. 
ungen und Zerstörungen unter den römischen Bauten der 
Stadt gewaltig aufgeräumt, sondern auch die Nichtachtung 
der christlichen Jahrhunderte, wo teils sorglos, teils ab= 
sichtlich die Werkstücke der Römerbauten zu Privatbauten 
große marmorne Venus das ganze Mittelalter hindurch 
neben St. Matheis, und cine Inschrift dabei besagte : 
„Wollt ihr wissen, was ich bin? 
Ich bin gewesen eine Abgottin. 
Da Sankt Eucharius zu Trier kam, 
Er mich zerbrach, meine Ehr abnahm. 
Ich war geehrt als ein Gott, 
Jezt stehen ich hie der Welt zu Spott. "" 
Die frommen Pilger haben es nun für verdienstlich 
gehalten, mit Steinen nach der Abgottin zu werfen, so daß 
von derselben jezt nur noch der Rumpf da ist, der in der 
Haltung ganz an die berühmte Venus von Milo erinnert. 
Die Figur steht jezt im Museum. Die alten Tempel 
wurden Kirchen, aber die ältesten Kirchen wurden aus 
Wohnhäusern zurecht gemacht, vor allem der Dom aus der 
großen Halle des Palastes der Kaiserin Helena. Im 
Mittelbau des Domes ist der römische Kern noch sehr 
wohl zu erkennen. Noch erhalten sind teils vollständig, 
teils in Trümmern: die Porta nigra, die Basilika, die 
lichen Bäder. Der Dichter Ausonius sang um das Jahr 
„Längst schon soll ich es preisen, das waffengewaltige 
Gallien, 
Mit seinem Kaisersize, mit Trier : dem Rheine benachbart 
Liegt es und ruht doch sicher, wie mitten im Schoße des 
Friedens, 
Denn es ernähret und kleidet und waffnet die Heere des 
Reiches. 
Weithin ziehen die Hügel hinan die gewaltigen Mauern, 
Aber im breitem Strom treibt sanft vorüber die Mosel, 
Fernher bringend die Waren der alles erzeugenden Erde."" 
";Geschichten und Erzählungen des Moseltals
86;2;4;4;Das Amphitheater zu Trier;NoCategory;NoGroup;Olewig;6.67274;49.74107;"Links an dem Wege, der nach Olewig führt, noch im 
Bering des altrömischen Triers, liegen die kümmerlichen. 
Reste des Amphitheaters. Man glaubt in einem eirunden 
Felsenthal zu sein. In der Mitte ist die Arena oder 
Kampfplaß, wo wilde Tiere untereinander oder mit 
Menschen kämpften oder auch die Gladiatoren einander 
flossen sein mag. Die Size sind nicht mehr vorhanden, 
nur die gewölbten Mauermassen, auf denen sie einst geruht 
talen, Verbindungsgängen und Kanälen. Man hat be 
rechnet, daß wohl 20 000 Zuschauer Sizpläße haben konnten. 
Inschriften, die hier ausgegraben sind, beweisen, daß schon. 
zu Zeiten Trajans, also um 110 nach Chr. Geburt, dieser 
Bau gestanden hat. Der Erzbischof Johann erlaubte im 
Jahre 1211 den Mönchen von Himmerode, zum Bau eines. 
Hauses in Trier aus dem Amphitheater sich Steine zu 
holen, und seit man einmal begonnen hatte, den mächtigen 
Bau als Steinbruch zu benußen, hat man bis vor hundert 
Jahren ruhig damit fortgefahren, jest aber wird alles 
sorgsam erhalten. Im Volksmunde heißt das Ganze der 
Kasteller. 
";Geschichten und Erzählungen des Moseltals
87;2;5;5;Zwei Sagen vom Kaskeller;NoCategory;NoGroup;Ruwerbache;0.0;0.0;"Drachen gehütet wird : eine schöne, weißgekleidete Jungfrau 
sist auf dem Rande eines Brunnens und wartet auf ihre 
Erlösung, die ihr dann zu teil wird, wenn sie von einem 
Sterblichen in diesen Brunnen gestürzt wird. Der Lohn 
des glücklichen Erlösers werden alle Schäße sein, die sich im 
Kaskeller befinden. Der Name der verzauberten Jungfrau 
ist Katholdis. 
Katholdus, er sollte gleichzeitig die Wasserleitung vom 
Ruwerbache bis in das Amphitheater, den jezigen Kaskeller, 
anlegen. Sein Sklave machte sich anheischig, während der 
stellen und verwettete seinen Kopf, daß er früher damit zu 
stande käme, als der Herr mit seinem Bau. Da verwettete 
der Meister auch seinen Kopf, daß er eher das Theater 
fertig haben werde. Der Sklave war wirklich früher mit 
seinem Werke fertig, aber die Wasserleitung wollte nicht 
fließen, weil der Herr mit unbekannten Tücken dem ein 
Hindernis bereitet hatte. Und so zog er das so lange hin, 
bis auch das Theater so weit war, daß es andern Tages 
eröffnet werden sollte. Der Sklave aber besaß die Liebe der 
gemach und schmeichelte ihrem Mann so lange, bis er das 
Geheimnis ihr verriet, weshalb die Wasserleitung nicht 
flösse. Da schlich sich der Sklave unbemerkt davon und 
entfernte das Hemmnis. Wie nun andern Tags der 
Baumeister merkte, daß er von seiner eigenen Gattin sei 
verraten worden, da führte er sie auf die höchste Spite des 
Amphitheaters und stürzte sich mit ihr hinab, also daß 
sie beide ihren Tod fanden. Der Bau wurde benannt 
Katholdi Solium, d. h. Thron des Katholdus. 
";Geschichten und Erzählungen des Moseltals
88;2;6;6;Sagen von der römischen Wasserleitung;NoCategory;NoGroup;Köln;7.02453;50.22725;"Durch die ganze Eifel hin, von Trier bis Köln, laufen 
noch jezt auf weite Wegstrecken hin römische Wasserleitungen. 
Sie waren bestimmt, von starken Bergquellen her das 
Wasser an die römischen Landhäuser und Ansiedlungen 
heranzubringen, wo man sein bedurfte zu Bädern und 
wirtschaftlichen Zwecken. An manchen Stellen sind die rund 
gewölbten Kanäle völlig ausgefüllt durch Kalkfinter, der 
orten hat man diesen Sinter herausgenommen und daraus 
prächtige Rundsäulen gewonnen, die man nur zu polieren 
brauchte, dann konnte man sie zu höchster Pracht in Kirchen 
würdige Werke angestaunt und hat sie für eine einzige 
Leitung gehalten, die von Trier nach Köln gegangen sei. 
Die Römer, sagte man, wären so üppig gewesen, daß sie 
in diesem Kanal den Moselwein hätten von Trier nach 
Köln laufen lassen, zum Gebrauche in dortiger Kolonie, die 
selbst keines Weinwuchses sich berühmte. Späterhin sagte 
man, die Teufelskalle, wie man jene Kanäle nannte, hinge 
mit dem Kölner Dombau zusammen. Denn mit dem 
Dombaumeister habe ein anderer gewettet, er wolle eher 
einen Kanal von Trier nach Köln bauen, ehe jener seinen 
Dom vollenden könne. Dieser andere aber war der Teufel 
selbst. Und wie der Domchor fertig war, da sah der arme 
Baumeister auf einmal den Kanal, und drei Enten kamen 
auf ihm geschwommen, und der Kanal endete mitten im 
Dom. Da stürzte er sich in Verzweiflung oben vom Dach 
herab, sein Werk jedoch blieb unvollendet. Wie nun aber 
alle wirklichen Sagen einen geschichtlichen Kern haben, so 
auch hier, denn man hat vor wenigen Jahren bei einer 
Nachgrabung gefunden, daß eine römische Wasserleitung 
lichen Querschiff noch heute deren Wölbung vorhanden ist. 
";Geschichten und Erzählungen des Moseltals
89;2;7;7;Die Kultur des Mosellandes zur Römerzeit;NoCategory;NoGroup;Mosel;7.07664;49.91602;"Der römische Dichter Ausonius, geboren zu Bordeaux, 
war als Erzieher des spätern Kaisers Gratian von dessen 
Vater, dem Kaiser Valentinian, nach Trier, der damaligen 
kaiserlichen Residenz, berufen worden. Im Jahr 370 nach 
Christi Geburt hat er sein berühmtes Mosellied gedichtet, 
genannt Mosella. Er schildert darin zuerst seine Reise von 
Bingen über den Hunsrück nach Neumagen zur Burg des 
Konstantin. Wie er die Mosel schaut, stimmt er alsbald 
ihr begeistertes Lob an, grüßt ihr flares, durchsichtiges 
Wasser, schildert die Moselfische, beschreibt den Weinbau an 
der Mosel, die Schifferspiele, den Fischfang, die Landhäuser 
und Dörfer, die Nebenflüsse der Mosel, die Bewohner des 
Mosellandes, zuleßt die Vereinigung der Mosel mit dem 
Rheine, alles schwungvoll und in glänzender Sprache. Wie 
reich die Moselufer damals bebaut gewesen sein müssen, 
zeigt z . B. folgende Schilderung der Villen : 
„ Die dort ruht auf dem Damm an des Ufers äußerstem 
Vorsprung, 
Abseits jene und doch an dem Strom, in der lieblichen 
Buchtung, 
Eine dort hoch auf dem Hügel, der dicht an die Mosel 
herantritt, 
Wer dort wohnt, sieht weit über fruchtbare Auen und 
Wer kann zählen die Häuser, an saftigen Wiesen gelegen, 
Wer wohl alle die Dächer, gestüzt auf Wälder von Säulen ? 
Oder die Bäder, die dicht an dem Uferfaume gegründet, 
Unaufhörlich den Rauch entsenden aus festen Gewölben, 
Wo in das heiße Gemach der Feuergott brennenden Atem 
Manchen sah ich, der hatte genug des vergossenen 
Schweißes, 
Dem war leid sein Badegemach und der eisige Kühlraum, 
Schwamm drum lustig hinaus in die Flut, ihre Wellen 
zerteilend, 
Labte sich an dem erquickenden Bad in der offenen 
Wir haben uns die Römerkultur im Moselthal so zu 
denken, daß die Römer, die sich dort ansiedelten, durchaus 
als Herren sich anbauten, nicht als Kolonisten, die der 
Kampf ums Dasein in die Ferne getrieben hatte ; es waren 
besizer, an hohe Kultur und alle Behaglichkeit des Lebens 
gedehnten Wirtschaftsräumen, eingerichtet auf einen großen 
Sklavenhaushalt oder doch auf Scharen höriger Eingeborener, 
denen sie von Anfang an Achtung und Furcht einflößen 
mußten, sollte ihre Herrschaft Bestand haben. Darum sind 
auch die ausgegrabenen Reste aus der Römerzeit in der 
Eifel und im Moselthale überall von einer Großartigkeit 
und einem Lurus, der durch die jeßigen Ansiedlungen nicht 
entfernt erreicht wird. 
";Geschichten und Erzählungen des Moseltals
90;2;8;8;Arimaspes und Eptes;NoCategory;NoGroup;Trier;6.63935;49.75565;"Die Gesta Trevirorum erzählen aus der Zeit des 
römischen Triers folgende Sage : Arimaspes war ein Senator 
abend in Ruhe zu genießen, seine Aemter niedergelegt und 
war nach Trier gezogen. Er hatte aber in Rom unter 
andern Richtersprüchen, die er gefällt, auch einen Räuber 
namens Eptes verurteilt und zwar zu lebenslänglicher 
Kerkerhaft, weil Eptes zu dem Raub auch noch Mord und 
Brandstiftung gefügt hatte. Es geschah aber, daß Eptes 
lich nach Trier kam. Hier atmete er endlich auf, denn hier 
glaubte er unerkannt und unangefochten leben zu können. 
Doch gleich in den ersten Tagen seines Aufenthaltes in der 
Moselstadt begegnet er dem Arimaspes, seinem Richter. 
Da erfassen Rachegedanken seine Seele. In einer der 
folgenden Nächte wird Arimaspes durch Hilferufe geweckt, 
die ihm aus dem Munde seiner eigenen Kinder zu kommen 
stochen, und ehe er sein Leben aushaucht, schallen ihm die 
Worte ins Ohr: Ich bin es, Eptes, der dich erschlagen hat, 
und all deine Kinder habe ich auch ums Leben gebracht. 
viel Kraft, seinen Dienern anzuempfehlen, man möge ihm 
im Marsthor sein Grab zurüsten. Und in der Porta 
nigra ist er denn auch begraben worden. 
";Geschichten und Erzählungen des Moseltals
91;2;9;9;Legende von der Einführung des Christentums in Trier;NoCategory;NoGroup;Trier;6.63935;49.75565;"Im Jahre 54 schickte der Apostel Petrus drei seiner 
Schüler, Eucharius, Valerius und Maternus nach Gallien, 
dort das Evangelium zu predigen. Im Elsaß starb 
Maternus, und die Gefährten reisten nach Rom zurück, allda 
zu hören, was sie weiter thun sollten. Der heilige Peter 
gab ihnen seinen Stab, damit sollten sie den Toten wieder 
Tage im Grabe gelegen war. Nun kamen alle drei nach 
Trier. Sie sollten gesteinigt werden, aber die Arme, 
welche die Steine schon zum Wurf erhoben hatten wurden, 
gelähmt und erst auf des Eucharius Gebet wieder heil. 
Da ließen sich Tausende taufen. Eine Witwe, namens 
Albana, machte ihr Haus zur ersten Kirche. Eucharius 
wirkte 23 Jahre lang als erster Bischof von Trier, ihm 
folgte Valerius und diesem Maternus. Die Euchariuskirche 
wurde seit dem 12. Jahrhundert Mathiaskirche (Matheis) 
genannt, seit daselbst die Gebeine des Apostels Mathias 
niedergelegt worden waren. 
Der Stab des heiligen Petrus aber blieb in Trier, 
und man sagt, daß die Päpste nach Vergabung jenes 
Hirtenstabes keinen Krummstab mehr tragen, nur wenn sie 
nach Trier kommen, tragen sie den Petristab. Als die 
Hunnen Trier bedrohten, ward der Stab nach Mez ge= 
flüchtet, bis Erzbischof Egbert wenigstens die Hälfte wieder 
für Trier rettete, die andere Hälfte kam nach Köln. Egbert 
gab dem Stab eine kostbare Hülse ans Gold, verziert mit 
nissen heiliger Bischöfe. Als der Trierer Domschaß zur 
Franzosenzeit nach Ehrenbreitstein geflüchtet ward, kam 
das Kleinod in den Besit der Nassauer Fürsten und durch 
diese später nach Limburg, wo es noch jezt im Domschat 
verwahrt wird. 
";Geschichten und Erzählungen des Moseltals
92;2;10;10;Glaubenseifer der ersten Christen zu Trier;NoCategory;NoGroup;Trier;6.63935;49.75565;"Mag auch die Einführung des Christentums in Trier 
ins Dunkel ungewisser Ueberlieferung sich verlieren : soviel 
ist gewi ,ß daß, solange Trier Residenz der Kaiser gewesen 
lichen Welt war. So weilte der heilige Hieronymus, einer 
der größten Gelehrten des 4. Jahrhunderts, der Uebersezer 
der Bibel, Studien halber in Trier; Athanasius lebte hier 
jahrelang als Verbannter ; der heilige Ambrosius von 
Mailand ist zweimal in wichtigen Staatsgeschäften an den 
kaiserlichen Hof nach Trier gekommen, Martin von Tours, 
später der berühmteste und volkstümlichste Heilige der 
germanischen Welt, hat wiederholt den Kaiser zu Trier 
aufgesucht, um für Unglückliche zu flehen. 
Wie früh schon das Christentum zu Trier tiefe Wurzeln 
rühmte Kirchenvater. Ehe sich Augustin taufen ließ, hatte 
er viele Seelenkämpfe darob zu bestehen. Den Ausschlag. 
gab vor allem eine Erzählung seines Freundes Pontitian, 
welcher dem damals 32jährigen Augustinus erzählte, er habe 
funden, um der nachmittägigen Spiele willen. Diese habe 
er dann mit drei Freunden verlassen, um in den der Stadt 
nahen Gärten zu lustwandeln, wo sie sich zu zwei Paaren 
auf ihrem Spaziergang getrennt hätten ; die beiden andern. 
seien auf eine Einsiedlerhütte gestoßen, und dort hätten sie 
siedlers Antonius gelesen. Einer der beiden wurde davon 
so ergriffen, daß er im Innersten verwandelt wurde und 
dem Freunde sagte, er habe sich soeben entschlossen, ganz 
Gott zu dienen, und zwar von dieser Stunde ab. Der 
andere pries diesen Entschluß und wollte dasselbe thun. Das 
zweite Freundespaar suchte lange Zeit, fand sie endlich 
gegen Abend und vernahm staunend, was sich begeben. Sie 
wünschten ihren Freunden alles Heil und empfahlen sich 
ihren Gebeten, gingen aber zu ihrem alten Stande zurück 
alle vier waren hochgestellte Provinzialbeamte. Jene zwei 
blieben für immer Einsiedler. Sie hatten jeder eine Braut, 
die sich nun auch beide Gott verlobten. Diese Erzählung 
steht im achten Buche der Bekenntnisse des heiligen Augustin. 
";Geschichten und Erzählungen des Moseltals
