sagenid;werkid;sagennummerimwerk;titel;sagebkategorie;sagengruppe;ortschaft;longitude;latitude;volltext;buchtitel
533;4;1;Die Schlange im Jura;NoCategorie;NoGroup;Jura;0.0;0.0;"Die Schlange im Jura. Im Juragebirge, von welchem eine Zweigkette, südlich den Sundgau von der Schweiz trennend, bei Mülhausen in Hügeln sich abdacht und sodann in der Ebene verliert, liegt eine große geflügelte Schlange , ein Drache, mit diamantenen Augen. In unsern Bergen erzählt das Volk noch immer von weiler, trägt ein fliegender Drache Getreide und andere Früchte boucle) gebildeten Auge ; sie legt dasselbe manchmal ab, und wer es dann erhaschen kann, ehe es die vouivre bemerkt, dem nehmer des kecken Versuchs einen elenden Tod. ";Die Sagen des Elsasses. Erster Teil. Die Sagen des Ober-Elsass
534;4;2;St. Morands Ruhe;NoCategorie;NoGroup;Altkirch;7.24484329622;47.6210336538;"St. Morands Ruhe. Der h. Morand , Apostel und Patron des Sundgau's hunderts lebte und viele Zeichen und Wunder verrichtete, war eines Tages aus seinem Kloster mit entblößtem Haupte, wie er liche Handlungen zu verrichten. Bei seiner Rückkehr überraschte ihn aber ein heftiges Gewitter und nötigte ihn, sich unter einen über den Weg hinragenden Felsen zu flüchten, um wenigstens sein entblößtes Haupt vor dem Sturme zu schüßen . Und siehe, ,,wie ein weiches Wachs gab der harte Stein seinem Haupte nach, um eine Vertiefung zu bilden, die demselben einen sichern. Schirm gegen das Ungestüm des Gewitters darbot. "" ";Die Sagen des Elsasses. Erster Teil. Die Sagen des Ober-Elsass
535;4;3;Der Käpellegeist;NoCategorie;NoGroup;Heimersdorf;7.23667862006;47.563206505;"Der Käpellegeist.Bei Heimersdorf (bei Hirsingen) an der Straße spukt der Käpellege ist. An einem Kathrinenmarkt nach Betzeit kamen zwei Männer auf einem Wagen von Altkirch daher „geritten"" . Plöglich wurde einer davon neben dem andern vom Size hinweggenommen und „mig"" mitten auf die Straße gesezt. Ein andermal geschah ähnliches einer Frau, die zu Fuß ging ; sie wurde mitten ab der Straße emporgehoben und in den Graben abgesetzt. ";Die Sagen des Elsasses. Erster Teil. Die Sagen des Ober-Elsass
536;4;4;Die Zwerge in der Wolfshöhle;NoCategorie;NoGroup;Pfirt;7.3158338091;47.4935597154;"Die Zwerge in der Wolfshöhle. wärts von Pfirt, zwischen den Felswänden der Heidenflüe, weit in den Berg hineinläuft, hauste, vor vielen hundert Jahren, ein Völklein von Zwergen, das seine Wohnsize in den unzähligen Felskämmerlein aufgeschlagen hatte. Sie lebten daselbst, je zwei und Gartenwerkzeuge, waren aus blankem Silber gearbeitet. Die Zwerge genossen, schon seit undenklichen Zeiten, einer ewigen Jugend. Alle, welche sie zu sehen bekamen, rühmten ihre zierliche Gestalt und besonders den eigentümlichen Schein ihrer Auge ,n die wie Sterne glißerten. Sie waren alle kinderlos und liebten es, zuweilen aus ihrer Abgeschiedenheit herauszutreten und mit den Menschen der Umgegend zu verkehren, deren Sprache ihre feinen, wohlthuenden Stimmlein nachahmten. in buntem Gewimmel, aus ihren Berghöhlen hervor, mit ihrem Feldgeschirre versehen und stellten sich mit den Schnittern in Reih' und Glied, und die Mahden fielen reichlich unter ihren Streichen. Beinahe jede Haushaltung in den nahe gelegenen Dorfschaften gegnissen Anteil nahm ; und es war allemal ein Jubel im Hause, wenn sie über die Schwelle traten und dann beim Abschied reiche Gaben für Alt und Jung zurückließen. thäter. Sie wiesen ihnen bei Kilben und Hochzeitsschmäusen die ersten Pläge an und stellten ihnen die besten Bissen, den süßesten Most auf, den sie im Vorrat hatten. Aber Eines wollte ihnen niemals an den Zwerglein gefallen : daß sie nämlich so lange Röcke trugen, die bis zum Boden reichten, so daß sie ihnen immer die Füße bedeckten. Die Neugierde zu wissen, wie diese beschaffen seien, konnten am Ende einige Mädchen nicht länger bezwingen. Sie gingen streuten die breite Felsplatte, die sich am Eingange derselben hinzog, jezt aber schon lange in Steingeröll verwandelt ist, mit spaziergang in den Wald machten, so müßten ihre Füße schon Spuren in dem Sande zurücklassen, und sie kämen damit doch einmal ins Klare. Sie versteckten sich also ins Gebüsch, um zu lauschen. senthor der Höhle warf, kamen Bergmännlein und Bergweiblein, zwei und zwei, hervorgehüpft und wandelten wie gewöhnlich über die Felsplatte dem Walde zu. Da sahen nun die Mädchen, daß sie Stapfen von Geisenfüßen im Sande zurückließen . Darüber mußten sie so heftig lachen, daß rend, mit traurigen Mienen in die Höhle zurückkehrten. Seit jenem Tage kamen sie nicht wieder zum Vorschein. ";Die Sagen des Elsasses. Erster Teil. Die Sagen des Ober-Elsass
537;4;5;Des Teufels Recht auf Pfirt;NoCategorie;NoGroup;Pfirt;7.3158338091;47.4935597154;"Des Teufels Recht auf Pfirt. Als Christus, der Herr, von dem Teufel versucht wurde, führte ihn dieser auf einen hohen Berg und zeigte ihm die ganze Welt, alle die Städte und Schlösser in der Runde und versprach ihm alles zu schenken, wenn er vor ihm niederknieen wolle. Der Herr betrachtete stillschweigend ; dann fragte er den Satan, mit dem Finger hindeutend : „ Und dort jenes Thälchen, gibst du es Daher kommt es, sagen die Leute, daß der Teufel noch immer ein Recht auf Pfirt hat. ";Die Sagen des Elsasses. Erster Teil. Die Sagen des Ober-Elsass
538;4;6;Die Todtenprozession zu Luppach;NoCategorie;NoGroup;Luppach;0.0;0.0;Die Todtenprozession zu Luppach. Ein Mann von Mörnach kam des Abends spät aus der Fislacher Mühle nach Haus. Der Müller war sein Bettermann und hatte ihn mit seinem alten Vater über die Zeit aufgehalten. Als sie nun nahe bei dem alten Kloster Luppach vorüber wollten, sagte der Vater, der bei ihm auf dem Wagen saß: Schau dort hin und beide sahen eine lange Prozession von Mönchen, die breite runde Hüte aufhatten und laut sangen. ;Die Sagen des Elsasses. Erster Teil. Die Sagen des Ober-Elsass
539;4;7;Die Galgenplatte;NoCategorie;NoGroup;Alt-Pfirt;0.0;0.0;"Die Galgenplatte. stahls angeklagt, wurde zum Strang verurteilt und hier gehenkt. Als man im Begriffe stand ihr den Strick um den Hals zu werfen, beteuerte sie noch einmal ihre Unschuld und sprach: „ So weit sich die Menge vor meinen Blicken ausbreitet — so weit wird der Plag auf ewig verödet sein, und wehe dem, für den ich unschuldig sterbe, die göttliche Rache wird ihn ereilen, ehedenn gewitter zieht über den Wald; es zuckt und kracht und zersplittert liegt der Galgen am Boden, nur die Leiche blieb unversehrt. Es kracht zum drittenmale und vom Blize getroffen, fällt ein Mann tot nieder. Seitdem ist der Plaß eine unwirtbare Haide. Ringsum grüne Matten und blühende Bäume, nur so weit sich die Menge blöttene. ";Die Sagen des Elsasses. Erster Teil. Die Sagen des Ober-Elsass
540;4;8;Der Lachgeist im Haag;NoCategorie;NoGroup;Alt-Pfirt;0.0;0.0;"Der Lachgeist im Haag. Im Haag zwischen Alt = Pfirt und Bisel spukt ein Geist, den man oft laut auflachen hört und der verspätete Wanderer schon ganze Nächte hindurch irre geführt hat. Ein zouard, bei Markirch. halber nach Bisel gekommen und hatte sich nach der Betglocke wieder auf den Heimweg gemacht. Da er durch den Haag gin ,g war es, als streifte ihm ein Reis den Hut ab vom Kopf .e Er bückte sich, um ihn aufzuheben, konnte ihn aber nicht finde .n Er kehrte sich um, und das nämliche Lachen erscholl wieder vor ihm; und nach welcher Richtung er sich auch hinwandte, immer lachte es vor ihm. Nun „ gruselte"" es ih ,m und er wollte sich fortmachen, ohne den Hut gefunden zu haben ; allein er verirrte sich und zweimal geriet er im Niederweier bis über's Knie in's Nacht herum. Als der Mann des andern Tages nach Hause. kam, erkrankte er und vierzehn Tage darauf war er abg =e storben"". ";Die Sagen des Elsasses. Erster Teil. Die Sagen des Ober-Elsass
541;4;9;"Der Geist ""Laxi"" im Biederthaler Schlosse";NoCategorie;NoGroup;Biederthal;7.43560956506;47.4709691234;"Der Geist ""Laxi"" im Biederthaler Schlosse.wunschener umgehen soll in Gestalt eines großen schwarzen Hundes, den man „ Laxihund “ nennt. Es soll dies der ehemalige wandels weit und breit verrufen. ";Die Sagen des Elsasses. Erster Teil. Die Sagen des Ober-Elsass
542;4;10;Junker Schnabel;NoCategorie;NoGroup;Hagenthal;7.48185417828;47.5308980609;"Junker Schnabel. Junker Schnabel von Hagenthal hatte das Recht, die Leute seiner Herrschaft gegen Hunde nach England zu verkaufen. Zur Strafe für diese Unthaten muß er nach seinem Tode im Schlosse zu Nieder-Hagenthal umgehen und geistern"". ";Die Sagen des Elsasses. Erster Teil. Die Sagen des Ober-Elsass
543;4;11;Die Here von Köstlach;NoCategorie;NoGroup;Köstlach;7.2711596241;47.5117644426;"Die Here von Köstlach. In Köstlach, einem Dörfchen nordwestlich von Alt-Pfirt fer im Dienste, die sie sehr hart hielt, so daß dieselbe ihr schon mehr als einmal aufgekündigt hatte ; allein die böse Frau wußte sie durch Schmeicheleien und Versprechungen immer wieder bei sich zu behalten. Das arme Mädchen mußte nach verrichteter Hausarbeit jede ternacht zur Ruhe legen ; wiewohl es des andern Morgens, sobald wundert, als es die Meisterin eines Abends sogleich nach dem Essen zu Bett schickte. Es gehorchte zwar freudig; aber es war ihm die ganze Zeit über so seltsam und unheimlich zu Mute, daß es nicht einschlafen merlein gegenüber, Lärm zu hören und da es sich aufgerichtet geschnurre. ""Die Meisterin hat Leute zu Kelten"", dachte es, ich bin ihr gut genug zum Schaffen, aber wenn's einmal eine Herrlichkeit im Hause giebt, so schickt sie mich zu Bett. "" Es horchte noch einige Augenblicke; dann trieb es die Neugierde auf, und als es durch das Schlüsselloch in die Wohnstube guckte, sah es, saßen, die einander zunickten und so hastig spannen, daß es ein grausiges Geschnurre abseßte. Das Mädchen stieß einen Schrei aus und lief eiligst ins Bett zurück, wo es die ganze Nacht hindurch in den Higen lag. sammengebundene Fruchtgarbe ; vom Mittelhochdeutschen bozen, schlagen. Des andern Tags erklärte es der Frau, daß es nicht länger abschieden. Diese sprach ihm wieder zu, schmeichelte ihm und drohte ihm zuleht auch. Allein diesmal blieb es fest auf seinem Entschlusse und packte sein Plunder. Beim Fortgehen faßte es aber die Frau am Arme und sagte zu ihm : „Hörst, wenn du einem Menschen etwas von dem sagst, was du gestern Nacht gesehen hast, so thue ich dir etwas an ; du magst sein, wo du willst. "" Das Mädchen versprach reinen Mund zu halten und blieb dem Versprechen auch zwei Jahre lang treu. Da dachte es nun, die Meisterin wird nicht mehr an die Sache denken, es auch nicht erfahren, wenn es dem lange verschlossenen Geheimnisse, das es lichen Herenspuk einigen seiner Kameraden an. Allein als es am folgenden Morgen aufstehen wollte, hatte es geschwollene Füße und konnte auch sonst kein Glied rühren. Einige Wochen später geschah es, daß ein Köstlacher Bursche aus der Fremde heimkehrte. Er hatte sich verspätet und nahm den nächsten Weg über den Hexenplan, einen Haideplay, rings von Wald umgeben, in dessen Mitte der Hegenbaum stand. Als er nun Schritte und Stimmen aus dem Walde kommen hörte, fürchtete er sich und kletterte in seiner Verwirrung auf den Baum, so hoch er konnte, und versteckte sich im Laub. Siehe, da kamen eine Menge junger und alter Weiber aus seinem Dorfe und der Nachbarschaft herbeigesprungen und die böse Frau, welche das schöne Mädchen verhert hatte, war auch darunter. Sie tanzten einigemale um den Baum und lagerten sich sodann im Kreise herum, und jede mußte erzählen, was sie seit der lezten Zusammenkunft Böses an Menschen und Vieh verübt hatte. Gespielinnen, als Freunde. Die Here erzählte nun auch, was sie ihrem ehemaligen schwagt hatte und ihre Mitschwestern lobten sie alle ob des saubern Streiches. Eine aber sagte : „Wenn das Maidle wüßte, daß es wieder gesund würde, wenn es seine Füße in der Milch der drei ältesten schwarzen Kühe des Dorfes badete, so brauchte es sich nicht weiter zu grämen . Es geschieht ihm aber recht, ander, wie der Wind. Dem Bursche, dem es bei diesem unheimlichen Treiben nicht wohl zu Mute gewesen war, der auch in steter Angst geschwebt hatte, entdeckt zu werden, stieg nun von seinem Baume herunter. Er kannte das schöne Mädchen wohl, von welchem die Hexen sich unterhalten und hatte es schon als Knabe lieb gehabt. Er eilte dem Dorfe zu, und sobald es ihm schickliche Zeit schien, ging er zu des Mädchens Eltern und gab ihnen das Heilmittel an. Es half auf der Stelle, und die Kranke wurde wieder so frisch und gesund wie vorher. Als nun die Eltern den Burschen fragten, was sie ihm zu seinem Lohne geben sollten, so antwortete er : „ Es wäre mir halt nichts lieber, als eure Tochter selbst. "" Diese hatte Wohlgefallen an ihrem ehemaligen Gespielen, der jeßt ihr Retter geworden war, willigte mit Freuden ein, und die Hochzeit wurde bald darauf gefeiert. ";Die Sagen des Elsasses. Erster Teil. Die Sagen des Ober-Elsass
544;4;12;Das Herenschloß;NoCategorie;NoGroup;Dürlinsdorf;0.0;0.0;"Das Herenschloß. Ein Förster von Dürlinsdorf, Farin genannt, ging einmal zwischen ein und zwei Uhr morgens in die Stöcketen auf den Anstand. Da vernahm er plöglich eine schöne Musik und dicht vor ihm, wo noch am vorigen Tage ein finsterer Wald gestanden hatte, erhob sich ein stattliches Schloß mit glänzenden Zinnen. Erstaunt näherte er sich dem Schlosse. Dasselbe war hell beleuchtet, und eine große Masse Volks bewegte sich in seinen Räumen. Da traten ihm drei Männer entgegen. Der eine, in grünem Kleide und grünem Hut, reichte ihm ein Buch mit der Weisung seinen Namen einzuschreiben ; denn nur unter dieser Bedingung wurde der Eintritt in das Schloß gestattet. Farin besinnt sich nicht lange, sondern legt das Buch auf einen Tisch und schreibt. Allein statt seines Namens schreibt er die Worte: „Jesus von Nazareth, der König der Juden, wolle mich behüten. so war das Schloß mit allen Leuten und Lichtern verschwunden, und der Wald stand wieder an seiner alten Stelle. Das Buch lag auf einem großen Baumstamme im Dickicht, und Farin nahm es mit nach Hause. Als er es durchblätterte, fand er viele Namen eingeschrieben, worunter ihm mehrere wohl bekannt waren. ";Die Sagen des Elsasses. Erster Teil. Die Sagen des Ober-Elsass
545;4;13;Der Schmied im Berge;NoCategorie;NoGroup;Dürlinsdorf;0.0;0.0;Der Schmied im Berge. In den Stöcketen bei Dürlinsdorf hauste ein Schmied, den man öfters im Berge schlagen und hämmern hörte. Man sah ihn auch zuweilen zum Berg herauskommen und sein Vieh am Bache tränken. ;Die Sagen des Elsasses. Erster Teil. Die Sagen des Ober-Elsass
546;4;14;Das versunkene Schloß Färis und der alte Graf;NoCategorie;NoGroup;Mörnach;7.24557465368;47.5098929884;"Das versunkene Schloß Färis und der alte Graf. nach. Dieses Schloß ist in den Grund hinabgesunken ; auf dem Plate befindet sich nun ein Sumpf, in dessen Nähe sich niemand hinwagt; an dem einen Ende ist noch ein Brunnen vorhanden, und vor etlichen Jahren soll man noch den Dachstuhl des Schlosses gesehen haben. Ein altes Sträßlein führt daran vorbei. Dort sieht man oft zu später Stunde den alten Grafen über das Bösbrücklein bis gen Dammerkirch hinabreiten. ";Die Sagen des Elsasses. Erster Teil. Die Sagen des Ober-Elsass
547;4;15;Die Herdwible von Mörnach;NoCategorie;NoGroup;Mörnach;7.24557465368;47.5098929884;"Die Herdwible von Mörnach. Zu Mörnach, an der südlichen Grenze des Sundgaues, gab es vor noch nicht gar zu langer Zeit viele Erdweibchen, von den Bewohnern Herdwible genannt ; sie waren von niedlicher Gestalt und nur anderthalb Fuß hoch. Sie lebten in Fichten. oder unter der Erde, beim Probstweiher. Oft kamen sie ins Dorf und kehrten dann am liebsten beim Vogel-Toni ein, wenn er Leute zu Kelten hatte, und ergößten alle durch ihr liebliches Singen. Lange Röcke bedeckten ihren Leib und fielen bis auf die Füße herab, was die vorwißigen Buben und Mädchen gewaltig verdroß; längst hätten sie wissen mögen, gierde nicht länger bezähmen und bestreuten an einem Keltabend die Stube mit Asche. Als nun die Herdwible kamen, drückten sie Gänsfüße in die Asche ab. Sie merkten alsbald die böse List, verschwanden eilig und haben sich seitdem auch nicht wieder gezeigt. Die Leute halten sie für „ verwiesene oder verwunschene Menschen"". ";Die Sagen des Elsasses. Erster Teil. Die Sagen des Ober-Elsass
548;4;16;Die Erbauung von Liebenstein;NoCategorie;NoGroup;Liebsdorf;7.2231472766;47.4789687972;Die Erbauung von Liebenstein. In der Nähe des Schlosses Liebenstein steht ein rauher wesen sein soll . Der Sohn eines Grafen von Pfirt hatte seine einzige Freude am Jagen. Er hielt sich mehr im Walde, als auf dem Schlosse seines Vaters auf und kam oft über Berg und Thal bis in diese Gegend. Eines Tages traf er da ein bildschönes Mädchen an, in das er sich verliebte und ihm auf dem Steine ewige Liebe schwur. Sein Vater ließ ihm dort ein Schloß bauen, das man Liebenstein nannte, und er ward der Stamm der edeln Familie de Ferrette. Der Ort Liebsdorf entstand nach und nach daneben auf der Höhe. Einmal aber, man weiß nicht wann, glitt er in das Thälchen, wo er jezt noch steht, mit Grund und Boden hinab, ohne daß es die Leute anders bemerkten, als an der Aenderung der Lage. ;Die Sagen des Elsasses. Erster Teil. Die Sagen des Ober-Elsass
549;4;17;Der schwarze Vogel auf Liebenstein;NoCategorie;NoGroup;Liebsdorf;7.2231472766;47.4789687972;Der schwarze Vogel auf Liebenstein.Das Schloß Liebenstein war ein Lehen von Pfirt, so daß immerdar Edelknechte darob wohnten, die dem Grafen von Pfirt dienstpflichtig waren. Einmal saß ein solcher Edelknecht daselbst, der so reich her er diesen Reichtum überkommen. Da bemerkte man aber endlich, daß er abends auf einem kohlschwarzen Vogel den hohen mutlich war es der Teufel, der in dem Turm hauste und dem Edelknecht den großen Reichtum gab. ;Die Sagen des Elsasses. Erster Teil. Die Sagen des Ober-Elsass
550;4;18;Das Hündlein aus der wilden Jagd;NoCategorie;NoGroup;Liebsdorf;7.2231472766;47.4789687972;"Das Hündlein aus der wilden Jagd.stein im Holz. Es ging schon spät in den Abend, als er noch hoch auf einem Baume war. Da hörte er von weitem den Liebsdörfer, der das Ding schon mehrmals mit angehört hatte, erschrak darob nicht, sondern griff mutig mit der Hand aus und ertappte ein weißes Hündlein, das er mit nach Hause nahm. Das Hündlein hatte weder Augen noch Ohren, und als es im Hause war, that es nichts als „ wimseln“ und „ grimseln "" . Der Mann wurde krank und mußte das Bett hüten. Es geschah dies schon bei sechs Wochen, und er wurde immer kränker. Da riet ihm einer, der um die Sache wußte, er solle das Hündlein wieder nach dem Orte tragen, wo er es genommen hatte. Er that es und genas von der Stund an. ";Die Sagen des Elsasses. Erster Teil. Die Sagen des Ober-Elsass
551;4;19;Der Hausgeist geht zur Kelte;NoCategorie;NoGroup;Oberlarg;7.23130338788;47.4511026465;"Der Hausgeist geht zur Kelte.In einem Stalle von Junckerlis Hof, im Dorfe Oberlarg , hauste ein Geist, von welchem man nie etwas sah, als wenn zu Tag die Sonne oder nachts der Mond schien, wo man dann seinen Schatten bemerken konnte. Er machte zuweilen seinen. Gang durchs Dorf, huschte aber dabei stets durch dieselben Gassen und schlüpfte und strich an denselben Häusern vorüber. Zu Winterszeit ging er jeden Abend in's Schreiner-Jörgen. Er legte sich langen Wegs auf den großen Kachelofen und rauchte Tabak, wie die andern. Man sah dann wohl den Tabakdampf, aber weiter nichts. Die Kelter achteten auch sein weiter nicht, sondern unterhielten sich von dem und jenem, wie wenn er gar nicht da wäre. Nur wenn der Rauch in zu dicken Wolken vom Ofen herabqualmte, wurde der Schreinerjörg unwillig und rief als wir alle miteinander. "" In einer Mondnacht paßten ihm einige Burschen auf in der Meinung, ihn genauer sehen zu können, wenn er in Junckerlis Hof zurückkehrte. Als er nun kam und seinen Schatten an die eins lange ?"" Kaum hatte er ausgeredet, so erhielt er eine so derbe Ohrfeige, daß er zehn Schritte weit ins Bächlein fuhr. ";Die Sagen des Elsasses. Erster Teil. Die Sagen des Ober-Elsass
552;4;20;Die drei Spinnerinnen;NoCategorie;NoGroup;Oberlarg;7.23130338788;47.4511026465;Die drei Spinnerinnen. Zu Oberlarg steht ein, schon längere Zeit unbewohntes Haus, von welchem im Dorf die Sage geht, es seien drei Spinnerinnen drin, welche unaufhörlich fortspinnen. Drei Buben aus dem Dorfe wollten sie auch einmal sehen, gingen in's Haus bis auf den Speicher. Da saßen nun wirklich räder ganz feurig wurden. Die Frau, welche in der Mitte saß, war viel größer, als die beiden andern, und ihr langes Haar fiel ihr zu beiden Seiten über die Schultern herunter. ;Die Sagen des Elsasses. Erster Teil. Die Sagen des Ober-Elsass
553;4;21;Der Hexentanz auf der Kalmiser Waide;NoCategorie;NoGroup;Oberlarg;7.23130338788;47.4511026465;"Der Hexentanz auf der Kalmiser Waide.Im vorigen Jahrhundert stand eine Ziegelhütte zwischen Oberlarg und dem Schlosse Mörsperg (Morimont). Der Ziegler hatte sieben Söhne, die hießen Peter, Mathis, Hans, hafte Burschen. An einem Stephanstage, als dem Patronsfeste zu Kalmis , ¹ gingen drei von ihnen, Peter, Mathis und Durs, auf das „ Gefecht“ . Es lag ein großer Schnee. Nach Beendigung des Gottesdienstes gelegen. kehrten die beiden ersten nach Hause zurück ; Durs aber, der eine Liebste in Kalmis hatte, blieb dort bis in die späte Nacht. Endlich machte er sich auch auf. Als er auf die Kalmifer Waide, dem Mörsperger Schloß gegenüber, kam, hörte er schon von weitem eine schöne Musik, sah Lichter um eine große Eiche glänzen ; es war eine helle Pracht. Männer und Weibsbilder tanzten um die Eiche herum und schienen buntlustig. Nun glaubte der Durs nicht anders, als er wäre in einem. großen, schönen Saal ; Tische ständen darin und darauf Essen und Trinken, Herz, was begehrst. Da er ein starker unverzagter, Bursch war, näherte er sich geradezu einem der Tische. Sogleich halten wolle. ""Warum nicht,"" sagte der Durs, ich bin gerne dabei, wenn's lustig zugeht. Aber wem gehört denn dies schöne Haus ?"" „ Dem, der da droben auf dem Throne sigt, "" entgegnete ihm ein Weibsbild, „ er ist ein überaus reicher Herr, der jede Nacht seinen Dienern eine große Gasterei giebt ; allein, wenn einer angenommen sein will, so muß er sich mit seinem eigenen Blute in ein Buch unterschreiben. "" Sie holte sofort auch das Buch und lud ihn ein, seinen Namen darein zu sehen. „Ich will wohl, "" sagte der Durs, „ allein ihr müßt mir zuerst eine frische, rote Apfelblüte geben. "" Sie trat ein paar Schritte zurück und brachte ihm das Begehrte. Nun rizte sich Durs den Arm auf, tauchte die Feder in das herausfließende Blut und nahm das Buch. Statt des seinigen schrieb er aber die drei allerheiligsten Namen darein. Da war plöglich alles verschwunden. Das Buch hielt er noch in den Händen ; allein er war in einer schneebedeckten Dornhece so verwickelt, daß er sich nicht heraushelfen konnte und nicht mehr wußte, wo er war. Er schrie aus allen Kräften ; allein erst gegen Morgen hörten ihn seine Brüder auf der Ziegelhütte und suchten ihn überall. Als sie ihn endlich gefunden, hatte er die Apfelblüte noch auf dem Hute und das Buch in der Hand. Mit Mühe brachten sie ihn aus der Dornhurst heraus. Das Buch nahm ihm die Geistlichkeit ab und verbrannte es. Es hatten mehrere Personen aus dem Dorfe darin gestanden. ";Die Sagen des Elsasses. Erster Teil. Die Sagen des Ober-Elsass
