sagenid;werkid;sagennummerimwerk;titel;sagenkategorie;sagengruppe;ortschaft;longitude;latitude;volltext;buchtitel
250;3;1;1. Die Geisterschlacht;A. Vom alten und neuen Glauben. (Mythische Sagen.);I. Von Seelen, Geistern und Gespenstern.;Bad Dürkheim;8.17236;49.4618;"1. Die Geisterschlacht.In der ersten Hälfte des zwölftenJahrhunderts ließ sich bei Neu-leiningen ein seltsamer Sputvernehmen. Aus einem Bergetam in gewissen Nächten einebewaffnete Geisterschar hervorum auf der nahen Ebene einegroße Schlacht zu schlagen. Es schien jedermann so,als stritten sie zu Fuß und zu Roß mit großemGetöse. Deutlich hörte man das Klirren der Waf-fen, das Schnauben und Stampfen der Rosse, dasStöhnen und Wehklagen der Verwundeten. Mitder neunten Stunde zog jedesmal das ganze Heerwieder in den Berg zurück. Drei Jahre lang dauertedieses Wesen, und obwohl viele Menschen, gelehrteund ungelehrte, herkamen es mit anzuhören, sowagte doch niemand sich dieser Geisterschlacht zunahen.Endlich erschien der Abt Ruppert vom KlosterLimburg bei Dürkheim, ein gelehrier undfrommer Mann, und wartete eines Abends unterGebet auf die Geister. In Schlachtordnung rücktensie aus dem Berge hervor und kämpften länger undwütender als je. Als sie nun um neun Uhr denRückzug antraten, stellte sich ihnen Abt Ruppertan dem Berge gegenüber und beschwor sie im NamenJesu Halt zu machen und ihm Rede zu stehen.Sie standen und er fragte, wer sie seien. Da sprachder vorderste derselben: „Wir sind die armen Seelenderer, die vor etlichen Jahren im Kampfe gegenihren rechtmäßigen Fürsten gefallen und unbegra-ben an diesem Berge liegen geblieben sind. Dusiehst unsere Waffen, das Flämmchen aber, das dusiehst, ist ein unerträgliches Feuer, das uns mar-tert."" Der Abt fragte, ob sie nicht erlöst werdenkönnten. O ja,"" sagte jener, ,,durch Fasten, Beten,Almosengeben und Messelesen. O, bittet für uns!""Darauf schrieen alle zusammen: ,,Betet, betet!"" undwurden ein Feuer und eine Flamme, bis sie imBerge verschwanden.Die Qual der Unglücklichen ließ den Abt nichtrasten alles zu tun, was denselben Ruhe verschaffenkonnte. Und es gelang ihm. Nach dreißig Tagenbegab er sich wieder auf das Schlachtfeld der Gei-ster; aber diese famen nicht mehr zum Vorscheinund statt des wilden Getöses und Klagens hörteer ihren Jubelgesang in der Höhe. -Von diesen bergentrüdten Geistern erzählteine alte Chronik aus dem Anfang des 13. Jahr-hunderts also:Im Wormsgau wurde an einigen Tageneine große bewaffnete Schar von hin- und zurück-ziehenden Reitern gesehen. Wie zu einer beliebi-gen Unterredung bildeten sie bald hier bald dortTrupps, begaben sich aber um die neunte Stundezu einem gewissen Berge, von dem man sie auchhatte ausziehen sehen.Endlich nähert sich jemand von den Bewohnernjener Gegend nicht ohne große Furcht dieser so selt-samen Versammlung, geschützt durch das Zeichen desKreuzes. Bald beschwört er eine Person, die ihmvon jenen entgegenkam, im Namen des allmächtigenGottes, ihm die Veranlassung einer derartigen Er-scheinung zu offenbaren.Da erwiderte der Gefragte unter anderm:„Wir sind nicht, wie ihr glaubt, Gespenster, auchnicht, wie wir euch scheinen, eine Schar von Solda-ten, sondern die Seelen getöteter Soldaten. DieWaffen und die Kleidung und die Pferde sind füruns jetzt Gegenstand der Pein, weil sie uns früherWerkzeug der Sünde waren, und es ist in Wirk-lichkeit alles brennend, was ihr an uns seht, ob-wohl ihr das mit leiblichen Augen nicht unter-scheiden könnt.""In einem derartigen Auszuge soll auch dervor einigen Jahren (im Jahre 1117) getötete GrafEmicho erschienen sein und mitgeteilt haben, erkönne von dieser Strafe durch Gebete und Almoseneriöst werden.";Pfälzisches Sagenbuch
251;3;2;2. Die Fahrt der Toten;A. Vom alten und neuen Glauben. (Mythische Sagen.);I. Von Seelen, Geistern und Gespenstern.;Kaiserslautern;7.79963;49.41546;"2. Die Fahrt der Toten.In Lautern ruht längst kein Stein mehrauf dem andern, wo einst die stolze Feste Barbaros-sas prangte. Nur einmal im Jahre, am Sterbetagedes großen Kaisers (10. Juni), erhebt sich umMitternacht die untergegangene Burg und leuchtetin altem Glanze. Alsdann steigen Ritter undKnappen aus ihren Gräbern hervor und versam-meln sich in stummer Trauer.Auf den zwölften Glockenschlag setzt sich desKaisers Trauerzug in Bewegung. Lange Reihenvon schwarzen Rittern ziehen ohne Sang und Klangaus den geöffneten Toren des Schlosses. Der erstederselben trägt Barbarossas Haupt; oft glaubtman dumpf den teuern Namen des Kaisers zuhören.Also bewegt sich der feierliche Zug durch alleStraßen der Stadt ungefähr bis zur Zeit der Hah-nenkrähe; dann nimmt er seinen eiligen Rückzug6 in die Feste. Die Gestalten verschwinden. DieRitter legen sich wieder ins Grab, die Kaiser-burg ist wieder versunken und nur die Raben be-zeichnen flatternd und krächzend die Stätte, woweiland Barbarossa in seiner Herrlichkeit thronte.";Pfälzisches Sagenbuch
252;3;3;3. Die überschiffenden Mönche;A. Vom alten und neuen Glauben. (Mythische Sagen.);I. Von Seelen, Geistern und Gespenstern.;Speyer;8.4;49.35;"3. Die überschiffenden Mönche.In der Stadt Speyer lebte vor Zeiten einFischer. Als dieser eine Nacht an den Rhein kamund sein Garn ausstellen wollte, trat ein Mannauf ihn zu, der trug eine schwarze Kutte in Weiseder Mönche. Nachdem ihn der Fischer ehrsam be-grüßt hatte, sprach der Fremde: „Ich komm' einBote fernher und möchte gern über den Rhein."",,Tritt in meinen Nachen ein,"" antwortete derFischer, ,,ich will dich überfahren."" Da er nun diesen übergesetzt hatte und zurück-kehrte, standen noch fünf andere Mönche am Ge-stade, die begehrten auch zu fahren und der Fischerfrug sie bescheiden, warum sie doch bei so eitlerNacht reisten. ,,Die Not treibt uns,' versetzte einerder Mönche, ,,die Welt ist uns feind, so nimm dichunserer an und Gottes Lohn dafür."" Der Fischerverlangte zu wissen, was sie ihm geben wollten fürseine Arbeit. Sie sagten: „Jetzo sind wir arm.Wenn es uns wieder besser geht, sollst du unsereDankbarkeit schon spüren.""Also stieß der Schiffer ab. Wie aber der Nachenmitten auf den Rhein kam, erhob sich ein fürchter-licher Sturm. Wasserwellen bedeckten das Schiffund der Fischer erblaßte. „Was ist das,"" dachteer bei sich, „bei Sonnenniedergang war der Him-mel klar und lauter und schön schien der Mond,woher dieses schnelle Unwetter?"" Und wie er seineMönche hob zu Gott zu beten, rief einer der Mönche:,,Was liegst du Gott mit Beten in den Ohren,steuere dein Schiff!"" Bei diesen Worten riß er ihmdas Ruder aus der Hand und fing an den armenFischer elend zu schlagen. Halbtot lag der imNachen. Der Tag begann zu dämmern, die schwar-zen Männer verschwanden und der Himmel warwieder klar wie vorher. Der Schiffer ermanniesich, fuhr zurück und erreichte mit Not seineWohnung.Des andern Tages begegneten dieselben Möncheeinem Boten, der früh aus Speyer wollte, in einemrasselnden, schwarz bedeckten Wagen, der aber nurdrei Räder und einen langnasigen Fuhrmann hatte.Bestürzt stand er still, ließ den Wagen vorüber undsah bald, daß er sich mit Prasseln und Flammen indie Lüfte verlor. Dabei vernahm man Schwerter-klingen, als ob ein Heer zusammenginge. DerBote wandte sich, kehrte zur Stadt und zeigte allesan; man schloß aus diesem Gesicht auf Zwietrachtunter den deutschen Fürsten.Kaiserslautern.zu Nr. 2.";Pfälzisches Sagenbuch
253;3;4;4. Der ewige Jäger;A. Vom alten und neuen Glauben. (Mythische Sagen.);I. Von Seelen, Geistern und Gespenstern.;Bliesbolchen;7.11467;49.15374;"4. Der ewige Jäger.In der Gegend um Bliesbolchen undMengen (Bliesmengen) hörte man lange Zeitum die Mitternacht hoch in den Lüften ein wildesTreiben: Hallo- und Jagdrufen, Hundegebell undHörnerschall. Das währte bis zum ersten Hahnen-schrei, wo es plötzlich wieder still ward. Jedermannwußte, daß das der ewige Jäger sei, und wer denZug ruhig vorübergehen ließ, dem geschah kein Leid.Wer aber spottend nachrief, der wurde heftig ge-stoßen und geschlagen, ohne daß er dabei jemandgesehen hätte.Jetzt hört man nur noch in der St. Hubertus-nacht den Zug des ewigen Jägers. Das Volk weißvon ihm, daß er im Leben ein wüster und roherMensch war, der sich wenig um Gott und die Weltkümmerte und gerade an Sonntagen die schlimm-sten Jagden hielt.Einst war er auch an einem Feiertage drau-ßen und störte alles durch sein wildes Jagdgeschrei.Da kam ihm ein Hase in den Weg, dem er langevergebens nachjagte. Endlich schrie er voller Zorn:,,Dich Teufel muß ich haben und muß ich dir ewignachlaufen!""Und seit der Zeit ging es fort ohne Rast undRuhe über Stod und Stein, hoch in den Lüften undtief am Boden durch das Tal der Blies. So konnteer zur Strafe nicht mehr ablassen vom wilden Jagenund hat auch heute noch nicht volle Ruhe gefunden.";Pfälzisches Sagenbuch
254;3;5;5. Der Jägerpfuhl;A. Vom alten und neuen Glauben. (Mythische Sagen.);I. Von Seelen, Geistern und Gespenstern.;Erfweiler;7.17922;49.19618;"5. Der Jägerpfuhl.Auf der höchsten Stelle des Hölschberges beidem Dorfe Erfweiler lag noch zu Menschen-gedenken ein kleiner Weiher, der Jägerpfuhl;heute ist er mit Gras und Binsen zugewachsen.Vor langer Zeit hauste daselbst ein grausamer För-ster mit seinen Banditen. Niemand getraute denWald zu betreten und wehe dem, der in seineHände fiel.Eines Tages verfolgte der Wüterich lange Zeiteinen Hasen. Der eilte dem Forsthause zu und um-sprang dasselbe. Da rief der grimmige Jäger:,,Wenn ich ihn nicht treffe, so soll mein Haus ver-flucht und verwünscht sein und in den Boden sinken!""Er schoß und fehlte. Und er und seine ganze Meuteversant in den Abgrund und an dem Orte entstandein Weiher, der Jägerpfuhl geheißen.Aber der gottlose Förster hat auch heute nochkeine Ruhe gefunden. Zur Advents- und Fasten-zeit fährt er durch den Wald und mit Geheul undHundegebell schreckt er bei Tag und Nacht den ein-samen Wandrer, die Schar der Kinder und dasscheue Wild.";Pfälzisches Sagenbuch
255;3;6;6. Der wilde Jäger von Sponheim;A. Vom alten und neuen Glauben. (Mythische Sagen.);I. Von Seelen, Geistern und Gespenstern.;Sponheim;7.72665;49.84496;"6. Der wilde Jäger von Sponheim.Ein Graf Walram von Sponheim, der umdie Mitte des vierzehnten Jahrhunderts lebte,10 war von leidenschaftlicher Jagdlust erfüllt, also daßer das Jagen im Soon höher achtete als sein Leben.Wenig dagegen lag ihm an den Sonn- und Feier-tagen und an dem Eigentum der Armen. Er schontenicht ihre reife Saat und hatte für ihr Flehen nurHohnlachen und Spott.Wie er nun einstmals zu Walde ritt, als rings-um die Glocken zur Messe riefen, da gesellten sichzwei Reiter zu ihm, einer auf einem Schimmel zuseiner rechten, der andere auf feuerfarbenem Rossezu seiner linken Seite. Mit Hussasah und Hunde-gebell ging es durch die Felder. Da bat der rechtsin aller Sanftmut den Grafen doch heute umzu-kehren und des Feiertages und der armen Leute zugedenken; der aber zur Linken lachte hell auf undspornte an zu immer tollerem Jagen.Da sprang eine Hindin auf, floh windschnellvor dem Jäger her und mischte sich um seinenBlicken zu entgehen in eine zahme Herde. Der Grafaber sprengte in dieselbe hinein, peitschte die Hir-len und schoß ihre Tiere zusammen. Und immerwarnte der Reiter rechts und hetzte der zur Linken.Die Hindin entrann in das Dunkel des Soonwaldesund suchte Schutz bei einem Klausner. Doch auchin dessen Einsiedelei wollte der Rasende eindrin-gen; da hob der fromme Mann die Hände und einschwarzes Wetter stieg am Himmel auf, das schlugmit Blitz und Donner den Frevler nieder.Seit dieser Zeit muß er als wilder Jäger mitseinen Spießgesellen weiterreiten und allnächtlichhört man ihn, wie er mit Hundegekläff und Hussah-rufen vorüberzieht. Und so wird es wohl gehenbis zum jüngsten Tage.";Pfälzisches Sagenbuch
256;3;7;7. Der wilde Jäger am Donnersberg;A. Vom alten und neuen Glauben. (Mythische Sagen.);I. Von Seelen, Geistern und Gespenstern.;Donnersberg;7.95;49.6;"7. Der wilde Jäger am Donnersberg.Der wilde Jäger haust noch überall in denWäldern des Donnersberges. Da hört man zu Zei-ten sein Hussah- und Hudadarufen, wenn er mit sei-nem Hunde durch die Lust jagt.Die Leute wissen auch, daß er allnächtlich vomDonnersberg nach dem Melibokus im Odenwaldreitet. Jenseits des Rheines kommt er durch einenHof, der ein vorderes und ein hinteres Tor hat.Ist das erste verschlossen, so schlägt er mit aller Kraftdagegen um es zu zertrümmern.Auch durch das Dorf Würzweiler schrei-tet er jede Nacht von der Ruine Stolzenberg hernach Ruppertsecken zu. Dabei muß er gleichfallsdurch einen Hof mit zwei Toren. Dabei ruft er,wie das Volk erzählt:,,Ein Paar bleierne Schuh' hab' ich schon,ein Paar bleierne Schuh' krieg' ich noch.""";Pfälzisches Sagenbuch
257;3;8;8. Der Lindenschmidt;A. Vom alten und neuen Glauben. (Mythische Sagen.);I. Von Seelen, Geistern und Gespenstern.;Frankenthal;8.29083;49.56306;"8. Der Lindenschmidt.An der südlichen Pfalzgrenze in der Nähe derHohenburg liegt die spärliche Ruine des Felsen-nestes Löwenstein, vom Volke ,,Linden-schmidt"" genannt.Dort wohnte einst der Lindenschmidt,ein gefürchteter Raubritter und Wegelagerer, vondem das Volk noch heute singt und sagt. Besondershatte er es auf die Kaufleute abgesehen, die auf derRheinstraße dahinzogen, und um seine Verfolgerirre zu leiten, ließ er seine Pferde verkehrt beschla-gen. Noch zeigt man auf der Burg ein verschüttetesFelsentor, aus dem er zu seinen Streifereien so man-ches Mal ausritt.Von des Räubers Ende weiß ein altes, nochimmer gesungenes Lied also zu erzählen:Einmal ward dem Markgrafen von Baden dieKunde, daß der Lindenschmidt eben wieder amRheine hin und her streife und sein Handwerk treibe.Da stellte er den Junker Kaspar von Freundsburg,des Löwensteiners erbitterten Gegner, als Häscherauf. Der war dazu bereit und schickte ein klugesBäuerlein aus, damit es Weg und Steg erforscheum dem Lindenschmidt auf die Spur zu kommen.Zu Frankenthal im Wirtshaus kehrte dasBäuerlein ein und bestellte Essen für die Fuhr-leute und Raum für die Pferde, die drei wohl-beladene Wagen von der Frankfurter Messe brin-gen. Da sprach der Wirt:„Ja, wein und brot hab ich genug,im stall da sten drei rosse,die seind des edlen Lindenschmid,er nert sich auf freier Straßen.""Nun wußte der Kundschafter genug und frohenMutes meldete er es seinem Herrn, daß er alsbaldmit seinen Reisigen herbei eile.Des Lindenschmidts Sohn, der gerade denPferden das Futter gab, hatte die Sache mit an-gehört und weckte den Vater, der hinter dem Tischelag und schlief:,,Ste auf, herzliebster Vater mein!dein Verräter ist schon kommen.""Da trat auch schon Junker Kaspar in die Stubeund forderte, daß sich der Lindenschmidt gefangengebe. Der aber setzte sich zur Wehr:,,Der Lindenschmidt der war ein freier reutersmann,wie bald er zu der klingen sprang:,,wir wöllen erst ritterlich fechten!"" -Es waren der bluthund also vil,sie schlugen ihn zu der erden.""Und als ihn die Häscher gefesselt hatten, da bater den Ritter, er möge doch des Sohnes und desReitersjungen schonen:„Und haben sie jemands leid getan,darzu hab ich sie gezwungen.""Junker Kaspar der sprach nein dazu:,,das kalb muß entgelten der kuh.""Sie wurden alle drei nach Baden gebrachtund schon am nächsten Tage fielen ihre Köpfe.14 Aber noch immer reitet der Lindenschmidt aufhohem Rosse und führt das wilde Heer am Rhein-strom auf und ab und über den Wasgau hin. Danngibt es, so glaubt das Volk, Krieg und böse Zeit.Kehrt er aber durch die Wälder in die wüste Felsen-burg zurück, so wird's wieder Frieden.";Pfälzisches Sagenbuch
258;3;9;9. Der Einaug vom Scharfeneck;A. Vom alten und neuen Glauben. (Mythische Sagen.);I. Von Seelen, Geistern und Gespenstern.;Dernbach;7.57683;50.53643;"9. Der Einaug vom Scharfeneck.Ritter Einaug vom Scharfeneck war eingar schlimmer Geselle. Raub, und wenn es geradesein mußte, auch Mord dünkten ihm nichts übles.Schon sein finsteres Antlitz mit dem einen Augeließ es ahnen, daß hinter der gefurchten Stirne einböser Geist wohne.Eines Tages gedachte der Ritter einen gutenFang zu tun. Es war schon Abend, als er seinenstärksten Knecht nahm und mit ihm gen SchloßRamberg ritt. „Hörst du"", sagte Einaug zu sei-nem Burschen, ,,der von Ramberg hat große Reich-tümer. Um Mitternacht schleichst du in sein Ge-mach, erstichst ihn und leerst die Kisten und Kastenoben an seinem Bette! Ich haue unterdes dieWache im Hofe zusammen und lasse die Zugbrückenieder.""Die beiden Schnapphähne wurden auf Ram-berg freundlich aufgenommen und vom Schloß-herrn nach Ritterart bewirtet. Rasch verflogen dieStunden und man begab sich endlich zur Ruhe. Derfromme Ritter von Ramberg konnte indes selbigeNacht nicht schlafen. Er wußte selbst nicht, was ihmdie Augen offen hielt, und ging deshalb in dieBurgkapelle um zu beten, daß der Herr ihn vor Un-heil bewahre.Zur selben Zeit schlich des Einaugs Knecht indas Gemach des Burgherrn, fand aber das Bettdesselben leer. Er glaubte irre zu sein und gingin das nächste Zimmer, wo jemand tief schnarchendda lag. Sogleich stieß der Bube dem Schlafendendas Schwert in die Brust und suchte dann nach demSchatze. Während er noch umhertastete, kam Ram-berg leise im Nachtkleide in sein Schlafgemach zu-rück. Da dünkte ihm, er höre Geräusch. Sogleichergriff er sein Schwert, ging vorsichtig dem Ge-räusche nach und fand so den Knecht, den er sogleichüberfiel und entwaffnete.Nun ergab sich, daß der Mordgeselle seinen eige-nen Herrn erstochen hatte, und das Geständnis desMissetäters zeigte dem Herrn von Ramberg ferner,welch großer Gefahr er entgangen war. Ergriffenverzieh er dem Mörder; doch gab er ihm bei seinerEntlassung die eindringlichsten Ermahnungen. MitEinaug aber hatte Gott gesprochen.Das Volk kennt ihn jetzt noch unter dem NamenSchlosser oder Mantel und hat ihn schon oft ge-sehen. Einmal treibt er als wilder Jägersein Unwesen, ein andermal schreckt er nächtlicheWanderer und führt sie irre. Besonders häufigzeigte er sich den Pottaschesiedern von Dernbach,wenn sie nachts am Schloßberge Holz frevelten. Inschwarzem Mantel und mit breitem Kremphut stander plötzlich vor ihnen und sie sahen ihn, wie erriesengroß emporwuchs, so daß sie vor Angst ihr Holzabwarfen und flohen. Dann stieß er entweder einlautes Hohngelächter aus oder ließ sich von denMännern noch eine Strecke auf den Schultern tra-gen, daß sie schweißtriefend ins Dorf tamen.";Pfälzisches Sagenbuch
259;3;10;10. Der Geist vom Scharfeneck;A. Vom alten und neuen Glauben. (Mythische Sagen.);I. Von Seelen, Geistern und Gespenstern.;Dernbach;7.57683;50.53643;"10. Der Geist vom Scharfeneck.Einst folgte ein nackter, bleicher, geisterhafterMann vom Schloß Scharfeneck einem Pottasch-sieder von Dernbach bis in seine Hütte. Dortsaß er frierend einen Tag lang in der Ecke am Ofenund schien traurig und schläfrig. Er sprach keinWort, nahm auch nichts von den vorgelegten Spei-sen, bis der Eigentümer der Hütte sich Mut faßteund seinen merkwürdigen Gast anredete, da tat derGeist sehr froh und bat seinen Wirt unerschrockenzu sein und ihn zu erlösen. Reicher Lohn solle ihmdafür zuteil werden. Bleibe aber seine Bitte un-gehört, so müßten abermals 700 Jahre vergehen,bis ihn ein anderer von seinem schlimmen Los be-freien könne. Der Pottaschsieder versprach seineHilfe und der Geist verschwand.Um die Mitte der neunten Nacht aber, als esfurchtbar regnete und stürmte, klopfte der Geist amFensterladen des Mannes. Der stand auf, kleidetesich an und ging mit. Nach einer Weile hörten Un-wetter und Dunkelheit auf, der Geist schien zu leuch-ten und um die beiden Wanderer war es hell undwarm wie an einem Frühlingstage.Vor den Mauern von Scharfeneck hielt dersonderbare Führer an und gab seinem Begleitereine goldene Rose. Er bat ihn mit derselben alleGemächer furchtlos und stumm zu durchschreiten biszu einer großen, schwarzen Kiste. Die solle er mitder Rose ausschließen und die Erlösung sei vollbracht.Der Mann nahm die Rose und vor ihm öffne-ten sich plötzlich zwei große Türflügel, die er nie zu-vor auf Scharfeneck gesehen hatte. Er trat ein undbefand sich in einem Saale, der hell war wie vonhundert Lichtern, und Gold- und Silbergerätestrahlten ringsum. Von da gelangte er in einenzweiten Raum, an dessen Wänden herrliche Rüstun-gen hingen. Ängstlich schritt er vorüber und kamin einen dritten wunderbar schönen und hellenSaal. Da saßen viele vornehme Herren und Frauenbeim Festmahle und die Tische waren mit goldenenGefäßen reich besetzt. Doch trotz der Pracht undHerrlichkeit schienen alle traurig und schautenschweigend auf den eintretenden Mann. Der gingerschrocken weiter zu dem anstoßenden Gemach.Dort fand er die große eiserne Kiste, die eröffnen sollte. Ein großer schwarzer Hund mitglühenden Augen lag oben auf dem Deckel. Er recktesich hoch empor und gähnte den Mann an, als ersich näherte um aufzuschließen. Darob geriet derPottaschsieder so in Angst, daß er die Rose fallenließ und schrie: ,,Jesus, Maria!"" In demselbenAugenblick vernahm er ein lautes Krachen undStöhnen. Der wunderbare unterirdische Palast warverschwunden und wie von unsichtbaren Händenhinausgeschleudert fand er sich wieder vor denMauern der Burgruine in dunkler, frostiger Regen-nacht.";Pfälzisches Sagenbuch
