sagenid;werkid;sagennummerimwerk;titel;sagebkategorie;sagengruppe;ortschaft;longitude;latitude;volltext;buchtitel
692;5;1;Schlettstadt's Ursprung;NoCategorie;NoGroup;Schlettstadt;7.46224896454;48.2481136279;"Schlettstadt's Ursprung. Die Sage führt den Ursprung von Schlettstadt auf die Zeit der Riesen zurück. Einer der mächtigsten unter ihnen, Schletto, grub mit eigenen Händen das Leberthal; er riß Bäume und Felsen aus den Bergen und schleuderte sie in die Ebene. Damit baute er ein ungeheures Schloß auf der Stelle, wo sich jetzt Schlettstadt erhebt. ";Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
693;5;2;Die Kirche und das Kloster St. Fides;NoCategorie;NoGroup;Schlettstadt;7.46224896454;48.2481136279;"Die Kirche und das Kloster St. Fides. genden angezogen ; so daß man glauben konnte, ihre Einkünfte chend; allein nach und nach nahm der Eifer der Pilgrime ab, und das Kloster war genöthigt sich seinen Bedarf zu erbetteln. ,,Da nun die beiden Brüder (Benediktiner, Bertram und Stephan, welche das Kloster besorgten) während zwei Jahren kehren ; als die heilige Fides sie plöglich mit ihrem Trost erquickte, sie einer unerträglichen Armuth auf wunderbare Weise entriß und mit unerwarteter Freude übergoß. ""Walter von Tubelsheim, ein kühner, kriegserfahrener digt hatten. gewohnt hatte und sich erheben wollte, blickte er zufällig nach dem Orte hin, an welchem sich heut zu Tage das Kloster und die selben schienen, nach Pilgrimsweise, Taschen auf den Schultern und Stäbe in den Händen zu tragen. Auf der Straße aber, welche sich etwas weiter unten hinzieht, erschienen viele Ritter in rothen Kleidern , auf Rossen von derselben Farbe reitend . Da er sie für Pilgrime hielt, so schickte er sich an, ihnen den Eingang zum Kloster zu zeigen ; als einer der weißgekleideten merksam zuzuhören und zu beachten, was er ihm zu sagen hätte. Der Ritter abe ,r in zornigem Erstaunen auffahrend, fragte, wer derjenige sei, der ihm so frech zu gebieten wage. „ Ich bin nossest du, glücklicher als deine Ebenbürtigen, am meisten meiner Wohlthaten und meines Reichthums. "" „Bei diesen Worten stürzte, besinnungslos und wie vom Tode berührt, der betroffene Ritter zu Boden ; als ihn der Geist mit folgenden Worten aufrichtete : „Diese ungewöhnliche Erscheinung, o Walter, erschrecke dich nicht ; fürchte dich nicht vor mir, als vor einem Gespenste ; sondern erkenne sicherlich, aus folgendem Zeichen, daß ich derjenige bin, als den ich mich dir genannt habe : Eines Wintertages kamen wir fließt, befürchtete ich, die Kälte möchte den Hunden schädlich sein, wenn ich sie über den Fluß schwimmen ließe ; ich schleppte sie also, trockenen Fußes, über eine Brücke ; während du die Pferde, ohne alle Gefahr, durch die Furt triebest. Wisse, daß es Gottes Wille ist, der mir's vergönnt, mit dir zu reden, und so zweifle ich nicht, daß auch meine Brüder meinen Worten Glauben beimessen werden. „Ich beschwöre dich also, bei der Heiligkeit der Treue, die wiesen: sage meinem Bruder, dem Bischof, er möge mich, von der Welt Geschiedenen, durch Gebet und Almosen retten, besonders aber dadurch, daß er den Antheil des Vermögens, der mir, wenn des verwende, damit ich, durch die Fürbitte der Heiligen, von den Qualen des Feuers befreit werde. Damit er dich aber nicht des Betrugs zeihe und dir unbezweifelten Glauben schenke , so erinnere ihn an folgende Thatsachen : Als ich mit ihm und mit dem Herzoge in Concha war, streckten wir unsere Arme durch ein Armband, welches Karl angehört haben soll ; ich allein konnte es, zu ihrem Erstaunen, mit der Dicke meines Armes ausfüllen. lichen bekannt ist : Eines Nachts, er war damals noch sehr jung, hatten wir beide beschlossen, ohne Begleitung, ein gewisses Haus zu besuchen; diejenigen, welche sich darin befanden, wollten aber nicht glauben, daß der Bischof da seie und verwehrten uns den schofsring zum Fenster hineinreichte. Diese Zeichen wird er als wahrhaftig erfinden. Er wisse demnach, daß er, vor seinem Tode noch, eine Reise nach Jerusalem antreten werde ; daselbst wird er zwei Jahre lang verweilen und wenn er seinen Vorsägen getreu bleibt, wird sein Herz sich von Liebe zu´den himmlischen Dingen gierde an sich zieht, als vergänglichen Tand verachten. Thut er dieß nicht, so wird er nicht nur aller Früchte seiner Bemühungen beraubt werden, sondern früher sterben als er glaubt. „Meinen Bruder Walter mahne ich daran, daß er sich wohl vorsehe, wohin er zu wandern habe und wie viel Zeit ihm noch vergönnt sei, sich des Glanzes seiner kostbaren Kleider zu rühmen, sich des Schmuckes seiner Pferde und Waffen zu erfreuen. Er wird mir, unter meinen Brüdern, zuerst nachfolgen. Rede, daß, als ich ihn auf seiner Reise nach dem kaiserlichen Hofe bis vor die Thore der Stadt begleitete, er mir einige Geheimnisse, die ihm allein bekannt waren, in's Ohr flüsterte . Er wisse, daß er unter allen meinen Brüdern als alleiniger Erbe übrig bleiben werde; daß er das reichste Mitglied unserer Familie sein werde; daß seine Nachkommen von der Zeit an, wo sie die Zügel des römischen Kaiserreiches ergriffen haben, ununterbrochen bis zu dessen Sturze regieren werden: wenn er und die Seinigen diese Kirche, welche wir gemeinsam der heiligen Fides geweiht, aus allen Kräften, unter ihren Schuh nehmen und sie ihre friedlichen Freiheiten genießen lassen werden. Ihn besonders flehe ich darum, die Gefahr zu bedenken, in welcher ich mich befinde; er schenke unsere gemeinschaftlichen Güter der heiligen Fides ; wenn er will, daß sich seine Nachkommen, von jedem Unglücke befreit, dauernden Gedeihens erfreuen sollen ; so wie seligkeit genießen werde. "" „ Während diesen Worten hatte sich der Ritter ermuthigt und fragte nun den Geist, wer die Gestalten seien, welche wie Pilgrime in diesen heiligen Räumen umherwallen. hüllt siehst, sind die Seelen solcher, die in Reinheit auf Erden gelebt und ihre Bußzeit vollendet haben ; sie hatten sich, durch ihre frommen Besuche in der Kirche der heiligen Fides und durch ihre Gaben, der len entronnen sind, so haben sie doch die Ruhe noch nicht erlangt, nach welcher sie streben, und bis sie diese vollkommene Glückseligkeit erreicht haben werden, befinden sie sich im Gefolge der heiligen Fides, deren leuchtende Gestalt, mit der jungfräulichen Krone geschmückt, sich an der Pforte zeigt, durch welche jezt die Klosterbrüder eingehen. men glühen siehst, sind die Seelen solcher, welche, göttliche und menschliche Rechte verachtend, im Kampfe erschlagen oder ohne Buße gestorben, der strengsten Strafe verfallen sind. Mit diesen würde ich gequält werden, da ich die Gesellschaft der Frommen nicht so oft besuchte als ich sollte, wenn mich nicht St. Fides aus dem Grunde ihres Schußes gewürdigt hätte, daß ich ihr mit Andern diese Kirche gestiftet habe. Obgleich sie in diesem Augenblicke ihrer Strafe ledig zu sein scheinen, so brennen sie doch und leiden in einem gewissen Berge die Qual der höllischen Flammen. "" „ Bei diesen Worten hatte der Ritter sich etwas abgewandt; siehe, da waren die Gestalten, welche die Räume erfüllt hatten, alle verschwunden. Er befand sich wie früher allein und bezeichnete mit einem doppelten Steinschnitte den Ort, an welchem der Geist mit ihm geredet. „ Da nun die Tage seiner Büßungen vorüber waren, so verließ er den Ort und offenbarte die Erscheinung keinem Menschen. „Einige Zeit darauf kamen die überlebenden Brüder (des Grafen Konrad) in die Stadt, um sich in ihr Erbe zu theilen. Die Mönche, welche nichts verlangten als eine Mühle, einen Garten, eine Wiese. und ein Wäldchen, mußten leer ausgehen. meln lassen, um ihnen den Eid der Treue abzunehmen; als plöglich der Krieger (Walter von Tubelsheim) unter sie trat und ihnen seine Erscheinung und seine Aufträge kund gab. Er nahm Konrads Brüder bei Seite, erzählte ihnen den ganzen Vorgang und bewies die Wahrhaftigkeit seiner Erzählung durch die gegebenen Zeichen. „Von diesem Allem auf's heftigste betroffen und des Bruders Tod bitter beweinend, gehn sie lange unter sich zu Rathe. Endlich vereinigten sie das schon vertheilte Erbe wieder und schenkten es, zum gebung ihrer eigenen Sünden, zu des Herrn Ehre und der Menschen Heile, der heiligen Fides. ‚ Also geschah es, daß diese Mönche, welche früherhin ein höchst armseliges Leben geführt und nicht einmal einen bescheidenen Theil tronin plöglich reich wurden und in den vollständigen Besiz des großen Erbes gelangten. Sie priesen den Allmächtigen, welcher in die höllischen Abgründe verweist und wieder daraus erlöst, welcher hebt, nach seinem verborgenen und unerforschlichen Rathe, den Gott, der in seiner vollkommenen Dreieinigkeit lebt und regiert in alle ";Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
694;5;3;Der Schimmelreiter bei Schlettstadt;NoCategorie;NoGroup;Schlettstadt;7.46224896454;48.2481136279;Der Schimmelreiter bei Schlettstadt. In der Umgegend von Schlettstadt sieht man oft bei Nacht einen Schimmelreiter, der seinen Kopf (auf einem Teller) unter dem Arme trägt. Er hat Offizierskleider an und reitet hin und her auf einem Felde, wo in alten Zeiten eine Schlacht vorgefallen sein soll, indem er mit ungeheuer lauter Stimme beständig kommandiert. Man sagt, der Schimmelreiter habe während jener Schlacht ein großes Unrecht verübt und müsse deshalb noch immer hier umgehen. ;Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
695;5;4;Die Glocke von Kestenholz;NoCategorie;NoGroup;Restenholz;0.0;0.0;Die Glocke von Kestenholz.„Da, wo die neue Kirche stehet, siehet man noch die Trümmer einer alten Burg, auf welcher ein Zwingherr hausete, von welchem die Bürger erzählen : daß er unter einer daselbst gestandenen Linde mit jeder Braut den ersten Reihen getanzt, hernach aber, nach seinem ren und auf ein gegebenes Zeichen mit der Glocke, an einem Morgen vor Tag, das Schloß angegriffen und ihren Tyrannen ermordet haben. „Ich habe diese Glocke gesehen, sie hängt noch im Kirchthurm, zogen und sonst zu nichts gebraucht. “ ;Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
696;5;5;Die drei Kröten in Chlodwigs Wappenschild;NoCategorie;NoGroup;Frankenburg;0.0;0.0;Die drei Kröten in Chlodwigs Wappenschild.im Weilerthal, Frankenburg genannt, und eine capelle, wie man fenstern von dickem glaß, naemlich drey schwarze Krotten in weißen feld, dan die alten nahmen gern in ihre schilde die allergreulichsten thiere. Aber als er ein christ wurde, aendert er das wapen nam domit sein lieblichkeit dagegen anzuzeigen, schlug solches auch auf die müng, begabe die statt Straßburg damit, welche sie heutiges Tages auf ihr müng schlagen. “ ;Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
697;5;6;Die heilige Odilia in Scherrweiler;NoCategorie;NoGroup;Scherweiler;7.41512520333;48.2952491317;"Die heilige Odilia in Scherrweiler. Nachdem der grausame Attich sein Töchterlein Odilia verstoßen hatte, lebte dieselbe während einem Jahre in Scherrweiler bei einer Amme und wurde von da erst nach dem Kloster Palma ge= bracht. In Scherrweiler is nt och eine ihr geweihte Kapelle. Eine andere Sage meldet, Odilia sei in einer Kiste ins Wasser ausgesezt worden ; als dieselbe aber gegen die jeßige Odilienmühle zu schwimmen kam, standen die Räder still. Der Müller kam heraus, fand das Mägdlein in der Kiste und erzog es. weiler lebte, kam sie einmal zu einem Zimmermann, der machte ein gar grämlich Gesicht, denn er hatte einen Balken um einen Schuh lige Kind hatte Mitleiden mit ihm und sagte zu dem armen Manne: „Zieh du an dem einen Ende, ich will an dem andern ziehen. “ Der Zimmermann, der das wunderbare Kind wohl kannte, that, wie es ihm sagte, und siehe, der Balken zog sich in die gewünschte Länge. ";Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
698;5;7;Hans Marx von Eckwersheim;NoCategorie;NoGroup;Schloß Bilstein bei Urbeis;0.0;0.0;"Hans Marx von Eckwersheim.Der tapfere Ritter Hans Marg von Ewersheim, Herr zu Bilstein, hatte, unter Straßburgs glorreichem Banner, den Sieg der Eidgenossen gegen Karl den Kühnen vor Nanzig's Thoren mit erfochten. Mit eigener Hand nahm er den Grafen Ludwig von Nassau, den man nur den reichen Grafen von Nassau nannte, gefangen, und, ein gutes Lösegeld erwartend, schleppte er ihn auf sein festes Schloß Bilstein, in einem Seitenthale des Weilerthals. Da jedoch Herr Mary in Straßburgs Sold und Dienste stand, so verlangte die Stadt, wie recht und natürlich, die Auslieferung des reichen Gefangenen, und da sie Weigerung erfuhr, sandte sie · den weisen und kraftvollen Ammeister Peter Schott, an der Spige eines Fähnleins Reißiger nach Bilstein, um ihn mit Gewalt abzufordern. Mary saß eben mit seinem gezwungenen Gaste am wohlbestellten Imbiß, als der Ammeister mit seinem Trosse über die Zugbrücke in den Hof ritt. Er drang sofort, ohne den geringsten Widerstand, bis in den Speisesaal ; so daß ihm der erstaunte und verblüffte Ritter entgegenrief: „Hat Euch der Teufel hereingetragen ?"" ,,Nein, Herr Mary, "" entgegnete kurz entschlossen der Ammeister, „ unser Herr Gott hat mich hereingetragen. "" burg nicht lange mit sich spaßen ließen und ergab sich übel oder wohl mochten. Des andern Morgens stiegen sämmtliche Herren zu Pferde, nebst dem Grafen von Nassau und Mary von Eckwersheim, und ritten in Begleitung der Reiterschaar nach Straßburg. Der Graf von Nassau wurde nun in ein sicheres Zimmer, im dritten Geschosse des Pfennigthurms, gesezt und daselbst während mehr denn fünfzehn Wochen behalten. Endlich ließ ihn die Stadt ten, von fünfzig tausend Gulden, ohne die Gebühr „ für Azung“ . ";Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
699;5;8;Hans Marx von Eckwersheim und Anton von Wilsperg;NoCategorie;NoGroup;Dambachu Bernstein;0.0;0.0;"Hans Marx von Eckwersheim und Anton von Wilsperg.mit Anthony von Wilsperg, obervogt zu Zabern und kunte Marx den Wilsperger zu keinem rechten bringen, den Wilsperger nit recht hatte. Dowil aber die Marren zwo hend in irem wappen führen, entspotte im Wilsperg er wolle ein rechten Marren aus im machen, dawil er recht haben wil, oder wolte kein edelknecht sein. Eins mollen wahr Hans Mary zu Danbach (Dambach) ins bad gangen, von Bilstein aus dem Weillertall, daruff er wohnet mit einem knecht. Do hatte in Wilsperger ausgespürtt und als herr Mary aus dem bad ging nackent, hatt nur ein weißen mantel um, to erwischte in Wilsperger mit seinem diener und hiewe im bede hende ab, saß auf und reiten billigen gewallt mochte in herr Mary den Wilsperger dennoch zu keinem rechten bringen, und als herr Hans sterben wollte, ruff er lautt : Anthony von Wilsperg, dawil du mir unrecht gethan, auch mit gewaltt mir meine bede hend abgehawen hast und mir nicht zu keinen rechten hast ston wollen, so beruff ich dich ins thal Josaphatt vir den gerechten unser beden richter doch bitt ich gott er wolle dir verzeihen, und ist doruff verstorben. burg zum Hohensteg, und als im herr Hans Bock die ladung von herr Hans Marren selig ahn zeygt, ist er gelingen umgefallen, kein Zinkgref, in „ Der Teutschen Scharpfsinnige, kluge Sprüche wersheims Verstümmelung also : „ Als ihm in einem feindlichen. Treffeu beyde Händ mit einem Schlachtschwert (so die Schweißer Zweyhändler nennen) in einem streich abgehawen worden, vnd man ordnet worden, was er jhr zu entbieten wolte hat er mit frischem muth geantwortet : Man soll jhr seiner Hausfrawen sagen, daß sichs hawene Händ im Schild geführet. "" ";Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
700;5;9;Die treue Gattin;NoCategorie;NoGroup;Ebersmünster;7.53361664193;48.3033027968;"Die treue Gattin. In kurzer Entfernung von der alten Abtei Ebersmünster an der Römerstraße finden sich Spuren einer alten Befestigung, die „Heidenschloß“ genannt wird. Man erzählt, daß der Besizer des festen Schlosses bösen Argwohn gegen seine Gattin gefaßt hatte. Um sie zu prüfen, gab er eines Tages eine Reise vor ; verbarg sich aber nur in der Nähe, und, um sie zu überraschen, stieg er Nachts, verkleidet, mittelst einer Leiter vor das Fenster ihres Schlafgemachs. Die treue Gattin erwachte plößlich bei dem Geräusche und da sie der vermummten Gestalt an ihrem Fenster ansichtig wurde, faßte sie ein Schwert und brachte derselben einen tödtlichen Streich bei. Kaum war sie ihres Irrthums gewahr worden, so gerieth sie in Verzweiflung, welche ihrem Leben bald ein Ende machte. Jezt noch, erzählt das Volk, fahre das unglückliche Paar in stillen Nächten in einer krystallenen Kutsche längs des Römerweges hin und ein Rudel höllischer Hunde jage ihnen bellend nach. ";Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
701;5;10;Der Sturm auf dem Rheine;NoCategorie;NoGroup;Markolsheim;7.56101805973;48.1496222393;"Der Sturm auf dem Rheine. Eine Frau von Markolsheim fuhr vor einigen Jahren fahrtstage über den Rhein. Als sie mitten im Flusse waren, erhob sich plöglich ein furchtbares Gewitter ; der Nachen schwankte auf und nieder und alle begannen zu zagen. Da fragte der Ferge : „Hat eins von Euch ein Kleidungsstück, an welchem es heute etwas gearbeitet hat?"" Alle schwiegen; jedoch ein Mädchen, welches sich zu verbergen suchte, wurde von den andern verrathen, und gestand, daß es etwas an seinem Vorstecker genäht habe. „ Nur fohlen, und alsogleich legte sich der Sturm. ";Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
